證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 現金流量避險,　　 管理費用,　　　 管理費用合計
2603,2014年01月01日至2014年03月31日,,             34320714,,             34496092,               -175378,                              0,                              0,               -175378,,              1399295,,                193584,             -1381089,,,                225854,,                 63561,,                128087,,               -686659,               -525331,             -1906420,,                 19831,             -1926251,             -1926251,,,                713218,                  5147,                              0,,                 85103,                  1144,                802324,                802324,             -1123927,,             -1693835,               -232416,,               -766766,               -357161,,                             -0.49,,                             -0.49,,,,,,,,,
2603,2013年第3季,,             35991279,,             34579971,              1411308,,,              1411308,,              1354031,,                313105,                370382,,,                168654,,               -171995,,                113163,,                -51966,               -168470,                201912,,                112392,                 89520,                 89520,,,,,,,,,,               -512572,               -423052,,                 48549,                 40971,,               -365180,                -57872,,                              0.01,,                              0.01,               -694934,                174063,,,                 11654,                  3355,                              0,,
2603,2013年第2季,,             36495731,,             35642834,                852897,,,                852897,,              1388617,,                288074,               -247646,,,                152225,,                 -1273,,                 99259,,               -250277,               -198584,               -446230,,                123070,               -569300,               -569300,,,,,,,,,,                339686,               -229614,,               -400537,               -168763,,               -438986,                209372,,                             -0.12,,                             -0.12,                500794,               -100562,,,                -60585,                    -39,,,
2603,2013年度,,            139216384,,            138827639,                388745,                              0,                              0,                388745,,              5496528,,              4334622,               -773161,,,                640324,,                 62308,,                412086,,             -1106532,               -815986,             -1589147,,                457657,             -2046804,             -2046804,,,,,,,,,,              1457237,               -589567,,             -1497304,               -549500,,               -250135,               -339432,,                             -0.43,,                             -0.43,              1197486,                392306,               -126233,,                -10124,                 -3802,,,
2603,2013年07月01日至2013年09月30日,,             35991279,,             34579971,              1411308,,,              1411308,,              1354031,,,                 57277,,,                168654,,                141110,,                113163,,                -51966,                144635,                201912,,                112392,                 89520,                 89520,,,,,,,,,,               -512572,               -423052,,                 48549,                 40971,,               -365180,                -57872,,                              0.01,,                              0.01,               -723388,                174063,,,                 40108,                  3355,,,              1354031
2603,2013年04月01日至2013年06月30日,,             36495731,,             35642834,                852897,,,                852897,,              1388617,,,               -535720,,,                152225,,                286801,,                 99259,,               -250277,                 89490,               -446230,,                123070,               -569300,               -569300,,,,,,,,,,                339686,               -229614,,               -400537,               -168763,,               -438986,                209372,,                             -0.12,,                             -0.12,                596669,               -100562,,,               -156460,                    -39,,,              1388617
2603,2013年01月01日至2013年12月31日,,            139216384,,            138827639,                388745,,,                388745,,              5496528,,,             -5107783,,,                640324,,              4396930,,                412086,,             -1106532,              3518636,             -1589147,,                457657,             -2046804,             -2046804,,,,,,,,,,              1457237,               -589567,,             -1497304,               -549500,,               -250135,               -339432,,                             -0.43,,                             -0.43,              1197486,                392306,               -126233,,                -10124,                 -3802,,,
2603,2013年01月01日至2013年09月30日,,            105868709,,            104515970,              1352739,,,              1352739,,              4056773,,                781221,             -1922813,,,                479362,,                 95677,,                304311,,               -569127,               -298399,             -2221212,,                215423,             -2436635,             -2436635,,,,,,,,,,              1030539,             -1406096,,             -2190663,               -245972,,             -1369552,                -36544,,                             -0.63,,                             -0.63,                796834,                159864,,,                 77157,                  3316,                              0,,
2603,2013年01月01日至2013年06月30日,,             69877430,,             69935999,                -58569,,,                -58569,,              2702742,,                468116,             -2293195,,,                310708,,                267672,,                191148,,               -517161,               -129929,             -2423124,,                103031,             -2526155,             -2526155,,,,,,,,,,              1543111,               -983044,,             -2239212,               -286943,,             -1004372,                 21328,,                             -0.64,,                             -0.64,              1491768,                -14199,,,                 65503,                    -39,,,
2603,2013年01月01日至2013年03月31日,,             33381699,,             34293165,               -911466,,,               -911466,,              1314125,,                180042,             -2045549,,,                158483,,                268945,,                 91889,,               -266884,                 68655,             -1976894,,                -20039,             -1956855,             -1956855,,,,,,,,,,              1203425,               -753430,,             -1838675,               -118180,,               -565386,               -188044,,                             -0.53,,                             -0.53,                990974,                 86363,,,                126088,                              0,,,
2603,2012年07月01日至2012年09月30日,,             40229625,,             37222572,              3007053,,,              3007053,,              1278929,,,              1728124,,,                139056,,                246258,,                 70541,,                835930,              1150703,              2878827,,                202745,              2676082,              2676082,,,,,,,,,,               -789000,              1887082,,              2540526,                135556,,              1792302,                 94780,,                              0.73,,                              0.73,               -778390,                 70468,,,                -81078,                              0,,,              1278929
2603,2012年04月01日至2012年06月30日,,             37448892,,             35426819,              2022073,,,              2022073,,              1342787,,,                679286,,,                243841,,                625630,,                106671,,               -516748,                246052,                925338,,                  5710,                919628,                919628,,,,,,,,,,               -492792,                426836,,                784559,                135069,,                476052,                -49216,,                              0.23,,                              0.22,               -739785,                -97529,,,                344522,                              0,,,              1342787
2603,2012年01月01日至2012年12月31日,,            141026391,,            136864018,              4162373,,,              4162373,,              5278403,,,             -1116030,,,                857552,,              1496952,,                457770,,               -735704,              1161030,                 45000,,                256671,               -211671,               -211671,,,,,,,,,,             -2829994,             -3041665,,                312544,               -524215,,             -1942231,             -1099434,,                              0.09,,                              0.09,             -2254867,                 47989,               -110563,,               -510167,                  2386,,,
2603,2012年01月01日至2012年09月30日,,            103705734,,            100239904,              3465830,,,              3465830,,              3865935,,,               -400105,,,                698893,,                921624,,                352498,,               -912771,                355248,                -44857,,                133873,               -178730,               -178730,,,,,,,,,,             -2070202,             -2248932,,                188642,               -367372,,             -1483076,               -765856,,                              0.05,,                              0.05,             -1766961,                 48773,,,               -352014,                              0,,,              3865935
2603,2012年01月01日至2012年06月30日,,             63476109,,             63017332,                458777,,,                458777,,              2587006,,,             -2128229,,,                559837,,                675366,,                281957,,             -1748701,               -795455,             -2923684,,                -68872,             -2854812,             -2854812,,,,,,,,,,             -1281202,             -4136014,,             -2351884,               -502928,,             -3275378,               -860636,,                             -0.68,,                             -0.68,               -988571,                -21695,,,               -270936,                              0,,,              2587006
2603,2012年01月01日至2012年03月31日,,             26027217,,             27590513,             -1563296,,,             -1563296,,              1244219,,,             -2807515,,,                315996,,                 49736,,                175286,,             -1231953,             -1041507,             -3849022,,                -74582,             -3774440,             -3774440,,,,,,,,,,               -788410,             -4562850,,             -3136443,               -637997,,             -3751430,               -811420,,                             -0.90,,                             -0.90,               -248786,                 75834,,,               -615458,,,,              1244219
