證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 其他費損,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 其他收益
2227,2013年第3季,,,              7944520,,                  6233,,                  6100,              7956853,,,              6388856,              6388856,              1567997,              1567997,,,                603302,,                 88327,,                160178,                851807,,                    -15,                716175,,,,                 84365,                    295,                 84660,,                  1006,                 -6508,                    889,                  5882,                -10495,,                  4852,                  4852,,              1598009,              1667322,              2383497,,                406092,              1977405,              1977405,,,,,,,,,,,               -261976,              1715429,,              1977405,,              1715429,,                              6.59,                              6.59,,                              6.59,                              6.59,,,               -261931,                    -55,                    -10,                              0,                              0,                              0,                              0,
2227,2013年第2季,,,              6823487,,                  2601,,                 23166,              6849254,,,              5553230,              5553230,              1296024,              1296024,,,                584047,,                 88158,,                165830,                838035,,                              0,                457989,,,,                 86148,                     91,                 86239,,                    358,                199178,                    123,                  8046,                191613,,                    823,                    823,,              1408468,              1685497,              2143486,,                364457,              1779029,              1779029,,,,,,,,,,,                344755,              2123784,,              1779029,,              2123784,,                              5.93,                              5.93,,                              5.93,                              5.93,,,                344801,                    -55,                     -9,,,,,
2227,2013年度,,,             31412448,,                 16872,,                 56730,             31486050,,,             26037200,             26037200,              5448850,              5448850,,,              2611485,,                387862,,                617309,              3616656,,                    -15,              1832179,,,,                348901,                  4553,                353454,,                  3745,                391529,                  1741,                 27955,                369060,,                 16994,                 16994,,              6269191,              6974711,              8806890,,              1506893,              7299997,              7299997,,,,,,,,,,,              1115187,              8415184,,              7299997,,              8415184,,                             24.33,                             24.33,,                             24.32,                             24.32,,,              1114504,                    823,                    140,,,,,
2227,2013年07月01日至2013年09月30日,,,              7944520,,                  6233,,                  6100,              7956853,,,              6388856,              6388856,              1567997,              1567997,,,                603302,,                 88327,,                160178,                851807,,                    -15,                716175,,,,                 84365,                    295,                 84660,,                  1006,                 -6508,                    889,                  5882,                -10495,,                  4852,                  4852,,              1598009,              1667322,              2383497,,                406092,              1977405,              1977405,,,,,,,,,,,               -261976,              1715429,,              1977405,,              1715429,,                              6.59,                              6.59,,                              6.59,                              6.59,,,               -261931,                    -55,                    -10,,,,,
2227,2013年04月01日至2013年06月30日,,,              6823487,,                  2601,,                 23166,              6849254,,,              5553230,              5553230,              1296024,              1296024,,,                584047,,                 88158,,                165830,                838035,,                              0,                457989,,,,                 86148,                     91,                 86239,,                    358,                199178,                    123,                  8046,                191613,,                    823,                    823,,              1408468,              1685497,              2143486,,                364457,              1779029,              1779029,,,,,,,,,,,                344755,              2123784,,              1779029,,              2123784,,                              5.93,                              5.93,,                              5.93,                              5.93,,,                344801,                    -55,                     -9,,,,,
2227,2013年01月01日至2013年12月31日,,,             31412448,,                 16872,,                 56730,             31486050,,,             26037200,             26037200,              5448850,              5448850,,,              2611485,,                387862,,                617309,              3616656,,                    -15,              1832179,,,,                348901,                  4553,                353454,,                  3745,                391529,                  1741,                 27955,                369060,,                 16994,                 16994,,              6269191,              6974711,              8806890,,              1506893,              7299997,              7299997,,,,,,,,,,,              1115187,              8415184,,              7299997,,              8415184,,                             24.33,                             24.33,,                             24.32,                             24.32,,,              1114504,                    823,                    140,,,,,
2227,2013年01月01日至2013年09月30日,,,             22346698,,                 10820,,                 44619,             22402137,,,             18385863,             18385863,              4016274,              4016274,,,              1826775,,                290821,,                449596,              2567192,,                    -15,              1449067,,,,                243450,                  1663,                245113,,                  1608,                237595,                  1158,                 21111,                219250,,                  6128,                  6128,,              4164259,              4622494,              6071561,,              1034281,              5037280,              5037280,,,,,,,,,,,                780144,              5817424,,              5037280,,              5817424,,                             16.79,                             16.79,,                             16.78,                             16.78,,,                780265,                   -146,                    -25,                              0,                              0,                              0,                              0,
2227,2013年01月01日至2013年06月30日,,,             14402178,,                  4587,,                 38519,             14445284,,,             11997007,             11997007,              2448277,              2448277,,,              1223473,,                202494,,                289418,              1715385,,                              0,                732892,,,,                159085,                  1368,                160453,,                    602,                244103,                    269,                 15229,                229745,,                  1276,                  1276,,              2566250,              2955172,              3688064,,                628189,              3059875,              3059875,,,,,,,,,,,              1042120,              4101995,,              3059875,,              4101995,,                             10.20,                             10.20,,                             10.19,                             10.19,,,              1042196,                    -91,                    -15,,,,,
2227,2013年01月01日至2013年03月31日,,,              7578691,,                  1986,,                 15353,              7596030,,,              6443777,              6443777,              1152253,              1152253,,,                639426,,                114336,,                123588,                877350,,,                274903,,,,                 72937,                  1277,                 74214,,                    244,                 44925,                    146,                  7183,                 38132,,                    453,                    453,,              1157782,              1269675,              1544578,,                263732,              1280846,              1280846,,,,,,,,,,,                697365,              1978211,,              1280846,,              1978211,,                              4.27,                              4.27,,                              4.27,                              4.27,,,                697395,                    -36,                     -6,,,,,
2227,2012年07月01日至2012年09月30日,,,              6423404,,                  1539,,                  4133,              6429076,,,              5546197,              5546197,                882879,                882879,,,                476588,,                 99780,,                141737,                718105,,                   -265,                164509,,,,                 54589,                 13080,                 67669,,                 23457,                -97577,                -19355,                  9130,               -102605,,                    535,                    535,,              1155003,              1119532,              1284041,,                217629,              1066412,              1066412,,,,,,,,,,,               -400880,                665532,,              1066412,,                665532,,                              3.55,                              3.55,,                              3.55,                              3.55,,,               -400845,                    -42,                     -7,,,,,
2227,2012年04月01日至2012年06月30日,,,              7248968,,                  2392,,                  8320,              7259680,,,              6248801,              6248801,              1010879,              1010879,,,                438537,,                 89131,,                148024,                675692,,                              0,                335187,,,,                 86561,                  2874,                 89435,,                 -1426,                 47838,                  6134,                 12080,                 40466,,                    497,                    497,,              1837303,              1966707,              2301894,,                491766,              1810128,              1810128,,,,,,,,,,,                161814,              1971942,,              1810128,,              1971942,,                              6.03,                              6.03,,                              6.03,                              6.03,,,                161849,                    -42,                     -7,,,,,
2227,2012年01月01日至2012年12月31日,,,             29009942,,                 67095,,                 57493,             29134530,,,             25463593,             25463593,              3670937,              3670937,,,              2151658,,                399603,,                607468,              3158729,,                    180,                512388,,,,                234014,                  1270,                235284,,                 18589,                 98214,                              0,                 42296,                 74507,,                  1944,                  1944,,              5280899,              5588746,              6101134,,              1162064,              4939070,              4939070,,,,,,,,,,,               -912581,              4026489,,              4939070,,              4026489,,                             16.46,                             16.46,,                             16.45,                             16.45,,,               -904066,                -10259,                 -1744,,,,,
2227,2012年01月01日至2012年09月30日,,,             23750559,,                  6747,,                 25276,             23782582,,,             20570012,             20570012,              3212570,              3212570,,,              1679284,,                314413,,                405972,              2399669,,                    180,                813081,,,,                174394,                 25171,                199565,,                 14075,                -42988,                  2087,                 32795,                -59621,,                  1350,                  1350,,              3859384,              3997978,              4811059,,                918152,              3892907,              3892907,,,,,,,,,,,               -716755,              3176152,,              3892907,,              3176152,,                             12.98,                             12.98,,                             12.97,                             12.97,,,               -716650,                   -126,                    -21,,,,,
2227,2012年01月01日至2012年06月30日,,,             17327155,,                  5208,,                 21143,             17353506,,,             15023815,             15023815,              2329691,              2329691,,,              1202696,,                214633,,                264235,              1681564,,                    445,                648572,,,,                119805,                 12091,                131896,,                 -9382,                 54589,                 21442,                 23665,                 42984,,                    815,                    815,,              2704381,              2878446,              3527018,,                700523,              2826495,              2826495,,,,,,,,,,,               -315875,              2510620,,              2826495,,              2510620,,                              9.42,                              9.42,,                              9.41,                              9.41,,,               -315805,                    -84,                    -14,,,,,
2227,2012年01月01日至2012年03月31日,,,             10078187,,                  2816,,                 12823,             10093826,,,              8775014,              8775014,              1318812,              1318812,,,                764159,,                125502,,                116211,              1005872,,                    445,                313385,,,,                 33244,                  9217,                 42461,,                 -7956,                  6751,                 15308,                 11585,                  2518,,                    318,                    318,,                867078,                911739,              1225124,,                208757,              1016367,              1016367,,,,,,,,,,,               -477689,                538678,,              1016367,,                538678,,                              3.39,                              3.39,,                              3.38,                              3.38,,,               -477654,                    -42,                     -7,,,,,                    445
