證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1709,2014年01月01日至2014年03月31日,,,,              3048187,              3048187,              3048187,,,              2742482,              2742482,              2742482,                305705,                305705,,,                144498,,                 39754,,                  4380,                188632,                117073,,,                  1724,,                 20820,,                  8253,,                   -691,                 13600,                130673,,                 26124,                104549,                104549,,,                    834,                   -243,,                  4015,                    734,                  3872,                  3872,                108421,,                 97865,                  6684,,                101737,                  6684,,                              0.23,                              0.23,,                              0.23,                              0.23,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,
1709,2013年第3季,,,,              2598269,              2598269,              2598269,,,              2342443,              2342443,              2342443,                255826,                255826,,,                125229,,                 37860,,                  5072,                168161,                 87665,,,                    533,,                 -2969,,                  7654,,                   -194,                -10284,                 77381,,                 18668,                 58713,                 58713,,,,,,,,,                 -2159,                 56554,,                 53991,                  4722,,                 51832,                  4722,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,,,,,                   -106,                 -1159,,,                 -1408,                   -514
1709,2013年第2季,,,,              3091225,              3091225,              3091225,,,              2817570,              2817570,              2817570,                273655,                273655,,,                144884,,                 34396,,                  6378,                185658,                 87997,,,                  8396,,                 23960,,                  7872,,                    434,                 24918,                112915,,                 52411,                 60504,                 60504,,,,,,,,,                  1323,                 61827,,                 66510,                 -6006,,                 67833,                 -6006,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,                              0,                  2083,,,                   -503,                    257
1709,2013年度,,,,,,             11321970,,,,,             10240673,              1081297,              1081297,,,                561206,,                137014,,                 21110,                719330,                361967,,,                 28123,,                 43956,,                 30192,,                  1431,                 43318,                405285,,                101672,                303613,                303613,,,,,,,,,                 40826,                344439,,                296779,                  6834,,                335095,                  9344,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,,,,,,,                      7,                 34732,                  8741,,                  2380,                  5034
1709,2013年07月01日至2013年09月30日,,,,              2598269,              2598269,              2598269,,,              2342443,              2342443,              2342443,                255826,                255826,,,                125229,,                 37860,,                  5072,                168161,                 87665,,,                    533,,                 -2969,,                  7654,,                   -194,                -10284,                 77381,,                 18668,                 58713,                 58713,,,,,,,,,                 -2159,                 56554,,                 53991,                  4722,,                 51832,                  4722,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,,,,,                   -106,                 -1159,,,                 -1408,                   -514
1709,2013年04月01日至2013年06月30日,,,,              3091225,              3091225,              3091225,,,              2817570,              2817570,              2817570,                273655,                273655,,,                144884,,                 34396,,                  6378,                185658,                 87997,,,                  8396,,                 23960,,                  7872,,                    434,                 24918,                112915,,                 52411,                 60504,                 60504,,,,,,,,,                  1323,                 61827,,                 66510,                 -6006,,                 67833,                 -6006,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,,                  2083,,,                   -503,                    257
1709,2013年01月01日至2013年12月31日,,,,,,             11321970,,,,,             10240673,              1081297,              1081297,,,                561206,,                137014,,                 21110,                719330,                361967,,,                 28123,,                 43956,,                 30192,,                  1431,                 43318,                405285,,                101672,                303613,                303613,,,,,,,,,                 40826,                344439,,                296779,                  6834,,                335095,                  9344,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,,,,,,,                      7,                 34732,                  8741,,                  2380,                  5034
1709,2013年01月01日至2013年09月30日,,,,              8726490,              8726490,              8726490,,,              7884348,              7884348,              7884348,                842142,                842142,,,                417130,,                 97248,,                 16634,                531012,                311130,,,                  9429,,                 38071,,                 23395,,                    941,                 25046,                336176,,                 99250,                236926,                236926,,,,,,,,,                  8161,                245087,,                233070,                  3856,,                241231,                  3856,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,,,,                   -106,                  7027,,,                  2808,                  1568
1709,2013年01月01日至2013年06月30日,,,,              6128221,              6128221,              6128221,,,              5541905,              5541905,              5541905,                586316,                586316,,,                291901,,                 59388,,                 11561,                362850,                223466,,,                  8896,,                 41039,,                 15740,,                  1135,                 35330,                258796,,                 80582,                178214,                178214,,,,,,,,,                 10320,                188534,,                179079,                   -865,,                189399,                   -865,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,,,,,,                              0,                  8186,,,                  4216,                  2082
1709,2013年01月01日至2013年03月31日,,,,              3036995,              3036995,              3036995,,,              2724334,              2724334,              2724334,                312661,                312661,,,                147018,,                 24991,,                  5184,                177193,                135468,,,                    499,,                 17080,,                  7869,,                    702,                 10412,                145880,,                 28171,                117709,                117709,,,,,,,,,                  8997,                126706,,                112569,                  5140,,                121566,                  5140,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,,,,,,                              0,                  6103,,,                  4719,                  1825
1709,2012年07月01日至2012年09月30日,,,,              3154666,              3154666,              3154666,,,              2794271,              2794271,              2794271,                360395,                360395,,,                142283,,                 32453,,                  4648,                179384,                181011,,,                  5060,,                 -9719,,                  9777,,                    -10,                -14446,                166565,,                 30433,                136132,                136132,,,,,,,,,                    412,                136544,,                130446,                  5686,,                130785,                  5759,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,,,,                              0,                    412,,,                              0,                              0
1709,2012年04月01日至2012年06月30日,,,,              2964869,              2964869,              2964869,,,              2612835,              2612835,              2612835,                352034,                352034,,,                158757,,                 36677,,                  8475,                203909,                148125,,,                 12677,,                  7238,,                  3732,,                  1280,                 17463,                165588,,                 32378,                133210,                133210,,,,,,,,,                  1984,                135194,,                131504,                  1706,,                133399,                  1795,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,                  1759,,,                    271,                     46
1709,2012年01月01日至2012年12月31日,,,,,,             11979113,,,,,             10726564,              1252549,              1252549,,,                578575,,                145253,,                 17163,                740991,                511558,,,                 48004,,                -32770,,                 19932,,                  4942,                    244,                511802,,                 92481,                419321,                419321,,,,,,,,,                -59454,                359867,,                405259,                 14062,,                348418,                 11449,,                              0.94,                              0.94,,                              0.94,                              0.94,,,,,,,,,,,,                              0,                 -4919,                -63819,,                 -5030,                -14314
1709,2012年01月01日至2012年09月30日,,,,              9496436,              9496436,              9496436,,,              8432213,              8432213,              8432213,              1064223,              1064223,,,                446855,,                105485,,                 13123,                565463,                498760,,,                 19367,,                 -6183,,                 14917,,                  1906,                    173,                498933,,                 90816,                408117,                408117,,,,,,,,,                  2000,                410117,,                395890,                 12227,,                397651,                 12466,,                              0.92,                              0.92,,                              0.92,                              0.92,,,,,,,,,,,,                              0,                  3696,,,                 -2043,                   -347
1709,2012年01月01日至2012年06月30日,,,,              6341770,              6341770,              6341770,,,              5637942,              5637942,              5637942,                703828,                703828,,,                304572,,                 73032,,                  8475,                386079,                317749,,,                 14307,,                  3537,,                  5141,,                  1916,                 14619,                332368,,                 60383,                271985,                271985,,,,,,,,,                  1588,                273573,,                265443,                  6542,,                266865,                  6708,,                              0.62,                              0.62,,                              0.62,                              0.62,,,,,,,,,,,,,                  3284,,,                 -2043,                   -347
1709,2012年01月01日至2012年03月31日,,,,              3376902,              3376902,              3376902,,,              3025109,              3025109,              3025109,                351793,                351793,,,                145815,,                 36355,,                              0,                182170,                169623,,,                  1629,,                 -3700,,                  1409,,                    637,                 -2843,                166780,,                 28005,                138775,                138775,,,,,,,,,                   -396,                138379,,                133939,                  4836,,                133466,                  4913,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,                  1524,,,                 -2313,                   -393
