證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8101,2013年度,,             30710187,,             28797690,              1912497,              1912497,,,                154401,,                514899,,                867207,              1536507,                375990,,,                 73822,,                -67748,,                 73510,,,                -67436,                308554,,                 81165,                227389,                138629,,,,,,,,,,                138749,                277378,,                169695,                -31066,,                304243,                -26865,,                              0.41,,                              0.41,,                -88760,                101155,                 54124,                 -2088,                 14442
8101,2013年07月01日至2013年09月30日,,              9889348,,              9296306,                593042,                593042,,,                 40911,,                130098,,                222351,                393360,                199682,,,                 23870,,                -17853,,                 27945,,,                -21928,                177754,,                 20352,                157402,                157402,,,,,,,,,,                 -9917,                147485,,                173182,                -15780,,                163401,                -15916,,                              0.42,,                              0.42,,,                -25057,                 10903,,                 -4237
8101,2013年04月01日至2013年06月30日,,              8493590,,              8008728,                484862,                484862,,,                 57083,,                135979,,                240637,                433699,                 51163,,,                 12405,,                -24919,,                 19227,,,                -31741,                 19422,,                 15881,                  3541,                  3541,,,,,,,,,,                 49000,                 52541,,                 11550,                 -8009,,                 58753,                 -6212,,                              0.03,,                              0.03,,,                 36033,                 18787,,                  5820
8101,2013年01月01日至2013年12月31日,,             30710187,,             28797690,              1912497,              1912497,,,                154401,,                514899,,                867207,              1536507,                375990,,,                 73822,,                -67748,,                 73510,,,                -67436,                308554,,                 81165,                227389,                138629,,,,,,,,,,                138749,                277378,,                169695,                -31066,,                304243,                -26865,,                              0.41,,                              0.41,,                -88760,                101155,                 54124,                 -2088,                 14442
8101,2013年01月01日至2013年09月30日,,             22859913,,             21457447,              1402466,              1402466,,,                115457,,                377739,,                632579,              1125775,                276691,,,                 47068,,                -28737,,                 56039,,,                -37708,                238983,,                 46233,                192750,                131671,,,,,,,,,,                 94215,                225886,,                153049,                -21378,,                243820,                -17934,,                              0.37,,                              0.37,,                -61079,                 74211,                 32034,,                 12030
8101,2013年01月01日至2013年06月30日,,             13165822,,             12373235,                792587,                792587,,,                 81139,,                258682,,                414191,                754012,                 38575,,,                 23240,,                -11961,,                 33710,,,                -22431,                 16144,,                 25881,                 -9737,                -25731,,,,,,,,,,                104132,                 78401,,                -20133,                 -5598,,                 80419,                 -2018,,                             -0.05,,                             -0.05,,                -15994,                 99268,                 21131,,                 16267
8101,2013年01月01日至2013年03月31日,,              4930744,,              4618641,                312103,                312103,,,                 30782,,                134253,,                178515,                343550,                -31447,,,                 10846,,                 13183,,                 18742,,,                  5287,                -26160,,                 10000,                -36160,                -29272,,,,,,,,,,                 55132,                 25860,,                -31683,                  2411,,                 21666,                  4194,,                             -0.08,,                              0.00,,                  6888,                 63600,                  2344,,                 10812
8101,2012年07月01日至2012年09月30日,,              2870512,,              2698470,                172042,                172042,,,                 42189,,                123159,,                179307,                344655,               -172613,,,                 27313,,                -27253,,                 16222,,,                -16162,               -188775,,                 10724,               -199499,               -199499,,,,,,,,,,                -40247,               -239746,,               -192045,                 -7454,,               -230407,                 -9339,,                             -0.47,,                             -0.47,,,                -42301,                 -4816,,                 -6870
8101,2012年04月01日至2012年06月30日,,              5229071,,              4850520,                378551,                378551,,,                 61126,,                129505,,                237218,                427849,                -49298,,,                 17402,,                -21703,,                 22072,,,                -26373,                -75671,,                 17164,                -92835,                -92835,,,,,,,,,,                -23213,               -116048,,                -93144,                    309,,               -116877,                    829,,                             -0.23,,                             -0.23,,,                -32268,                  3481,,                 -5574
8101,2012年01月01日至2012年12月31日,,             20822560,,             19714113,              1108447,              1108447,,,                170120,,                484462,,                801028,              1455610,               -347163,,,                 94467,,                -59380,,                 62395,,,                -27308,               -374471,,                 52520,               -426991,               -502365,,,,,,,,,,                -62885,               -565250,,               -475984,                -26381,,               -535839,                -29411,,                             -1.16,,                             -1.16,,                -75374,               -121926,                 38648,                              0,                -20393
8101,2012年01月01日至2012年09月30日,,             12953640,,             12108222,                845418,                845418,,,                153594,,                384878,,                622645,              1161117,               -315699,,,                 87540,,                -21260,,                 62215,,,                  4065,               -311634,,                 37308,               -348942,               -348942,,,,,,,,,,                -66468,               -415410,,               -341688,                 -7254,,               -404698,                -10712,,                             -0.83,,                             -0.83,,,               -116673,                 30959,,                -19246
8101,2012年01月01日至2012年06月30日,,             10083128,,              9409752,                673376,                673376,,,                111405,,                261719,,                443338,                816462,               -143086,,,                 60227,,                  5993,,                 45993,,,                 20227,               -122859,,                 26584,               -149443,               -149443,,,,,,,,,,                -26221,               -175664,,               -149643,                    200,,               -174291,                 -1373,,                             -0.36,,                             -0.36,,,                -74372,                 35775,,                -12376
8101,2012年01月01日至2012年03月31日,,              4854057,,              4559232,                294825,                294825,,,                 50279,,                132214,,                206120,                388613,                -93788,,,                 42866,,                 27655,,                 23921,,,                 46600,                -47188,,                  9420,                -56608,                -56608,,,,,,,,,,                 -3008,                -59616,,                -56499,                   -109,,                -57414,                 -2202,,                             -0.14,,,,,                -35302,                 32294,,
