證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
3209,2014年01月01日至2014年03月31日,,              5037014,,              4749002,                288012,                288012,,,                100643,,                 84756,,                 26535,                211934,                 76078,,,                  5395,,                 17656,,                 12948,,                              0,                 10103,                 86181,,                 17533,                 68648,                 68648,,,                  7603,                  1285,                  6318,                  6318,                 74966,,                 75726,                 -7078,,                 82002,                 -7036,,                              0.73,                              0.73,,                              0.72,                              0.72,,,,
3209,2013年第3季,,              4749026,,              4494723,                254303,                254303,,,                 95323,,                 73709,,                 28627,                197659,                 56644,,,                  6007,,                 -2941,,                 10026,,,                 -6960,                 49684,,                  6447,                 43237,                 43237,,,,,,                 -4652,                 38585,,                 47518,                 -4281,,                 42883,                 -4298,,                              0.46,                              0.46,,                              0.44,                              0.44,                 -4652,,                              0,
3209,2013年第2季,,              4768171,,              4516207,                251964,                251964,,,                 79522,,                 92065,,                 30907,                202494,                 49470,,,                  7207,,                 13494,,                 12067,,,                  8634,                 58104,,                 12206,                 45898,                 45898,,,,,,                  1394,                 47292,,                 51313,                 -5415,,                 52733,                 -5441,,                              0.53,                              0.53,,                              0.50,                              0.50,                  1394,,                              0,
3209,2013年度,,             19210296,,             18239075,                971221,                971221,,,                362550,,                319920,,                118118,                800588,                170633,,,                 60939,,                 35661,,                 46216,,,                 50384,                221017,,                 45149,                175868,                175868,,,,,,                 11523,                187391,,                201627,                -25759,,                212291,                -24900,,                              1.94,                              1.94,,                              1.92,                              1.92,                  7183,                  2268,                 -2072,
3209,2013年07月01日至2013年09月30日,,              4749026,,              4494723,                254303,                254303,,,                 95323,,                 73709,,                 28627,                197659,                 56644,,,                  6007,,                 -2941,,                 10026,,,                 -6960,                 49684,,                  6447,                 43237,                 43237,,,,,,                 -4652,                 38585,,                 47518,                 -4281,,                 42883,                 -4298,,                              0.49,                              0.49,,                              0.47,                              0.47,                 -4652,,,
3209,2013年04月01日至2013年06月30日,,              4768171,,              4516207,                251964,                251964,,,                 79522,,                 92065,,                 30907,                202494,                 49470,,,                  7207,,                 13494,,                 12067,,,                  8634,                 58104,,                 12206,                 45898,                 45898,,,,,,                  1394,                 47292,,                 51313,                 -5415,,                 52733,                 -5441,,                              0.54,                              0.54,,                              0.51,                              0.51,                  1394,,,
3209,2013年01月01日至2013年12月31日,,             19210296,,             18239075,                971221,                971221,,,                362550,,                319920,,                118118,                800588,                170633,,,                 60939,,                 35661,,                 46216,,,                 50384,                221017,,                 45149,                175868,                175868,,,,,,                 11523,                187391,,                201627,                -25759,,                212291,                -24900,,                              2.07,                              2.07,,                              2.05,                              2.05,                  7183,                  2268,,                  2072
3209,2013年01月01日至2013年09月30日,,             14150417,,             13418350,                732067,                732067,,,                262222,,                234257,,                 87330,                583809,                148258,,,                 18144,,                 30052,,                 32804,,,                 15392,                163650,,                 33603,                130047,                130047,,,,,,                  4584,                134631,,                147277,                -17230,,                151878,                -17247,,                              1.42,                              1.42,,                              1.38,                              1.38,                  4584,,                              0,
3209,2013年01月01日至2013年06月30日,,              9401391,,              8923627,                477764,                477764,,,                166899,,                160548,,                 58703,                386150,                 91614,,,                 12137,,                 32993,,                 22778,,,                 22352,                113966,,                 27156,                 86810,                 86810,,,,,,                  9236,                 96046,,                 99759,                -12949,,                108995,                -12949,,                              1.02,                              1.02,,                              0.99,                              0.99,                  9236,,                              0,
3209,2013年01月01日至2013年03月31日,,              4633220,,              4407420,                225800,                225800,,,                 87377,,                 68483,,                 27796,                183656,                 42144,,,                  4930,,                 19499,,                 10711,,,                 13718,                 55862,,                 14950,                 40912,                 40912,,,,,,                  7842,                 48754,,                 48446,                 -7534,,                 56262,                 -7508,,                              0.50,                              0.50,,                              0.49,                              0.49,                  7842,,                              0,
3209,2012年07月01日至2012年09月30日,,              5009931,,              4761490,                248441,                248441,,,                127250,,                 43930,,                 14825,                186005,                 62436,,,                  1755,,                    633,,                  8611,,,                 -6223,                 56213,,                 15754,                 40459,                 40459,,,,,,                 -5517,                 34942,,                 50630,                -10171,,                 45042,                -10100,,                              0.52,                              0.52,,                              0.45,                              0.45,                 -5517,,,
3209,2012年04月01日至2012年06月30日,,              3630090,,              3411683,                218407,                218407,,,                 84979,,                 72357,,                 35387,                192723,                 25684,,,                 13466,,                 10772,,                  6609,,,                 17629,                 43313,,                 11349,                 31964,                 31964,,,,,,                  3380,                 35344,,                 41476,                 -9512,,                 44842,                 -9498,,                              0.44,                              0.44,,                              0.43,                              0.43,                  3380,,,
3209,2012年01月01日至2012年12月31日,,             16907389,,             16062857,                844532,                844532,,,                346592,,                270631,,                145242,                762465,                 82067,,,                 30236,,                  8006,,                 36714,,,                  1528,                 83595,,                 25676,                 57919,                 57919,,,,,,                -12915,                 45004,,                 99139,                -41220,,                 86296,                -41292,,                              1.02,                              1.02,,                              0.99,                              0.99,                -11159,                 -2053,,                    297
3209,2012年01月01日至2012年09月30日,,             12628944,,             11962885,                666059,                666059,,,                289989,,                178036,,                 87189,                555214,                110845,,,                 21340,,                 11039,,                 22978,,,                  9401,                120246,,                 35205,                 85041,                 85041,,,,,,                 -8668,                 76373,,                113838,                -28797,,                105078,                -28705,,                              1.17,                              1.17,,                              1.03,                              1.03,                 -8668,,,
3209,2012年01月01日至2012年06月30日,,              7619013,,              7201395,                417618,                417618,,,                162739,,                134106,,                 72364,                369209,                 48409,,,                 19585,,                 10406,,                 14367,,,                 15624,                 64033,,                 19451,                 44582,                 44582,,,,,,                 -3151,                 41431,,                 63208,                -18626,,                 60036,                -18605,,                              0.67,                              0.67,,                              0.60,                              0.60,                 -3151,,,
3209,2012年01月01日至2012年03月31日,,              3988923,,              3789712,                199211,                199211,,,                 77760,,                 61749,,                 36977,                176486,                 22725,,,                  6119,,                   -366,,                  7758,,,                 -2005,                 20720,,                  8102,                 12618,                 12618,,,,,,                 -6531,                  6087,,                 21732,                 -9114,,                 15194,                 -9107,,                              0.23,                              0.23,,                              0.18,                              0.18,                 -6531,,,
