證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1110,2013年第3季,,                500996,,                436469,                 64527,                 64527,,,                  1605,,                 12096,                 13701,                 50826,,,                 52836,,                  1494,,                    389,,                    545,                 54486,                105312,,                 -3720,                109032,                109032,,,,,,,                 54664,                163696,,                108815,                    217,,                163478,                    218,,                              0.19,,,                 54389,,                    275,
1110,2013年第2季,,                487650,,                419977,                 67673,                 67673,,,                  2366,,                 10825,                 13191,                 54482,,,                  7911,,                -55892,,                    400,,                    869,                -47512,                  6970,,                -10181,                 17151,                 17151,,,,,,,                -45821,                -28670,,                 16990,                    161,,                -28834,                    164,,                              0.03,,,                -47381,,                  1560,                              0
1110,2013年度,,              2024604,,              1766933,                257671,                257671,,,                  8637,,                 54604,                 63241,                194430,,,                 70117,,               -153204,,                  1700,,                  2287,                -82500,                111930,,                -34930,                146860,                146860,,,,,,,                216128,                362988,,                146033,                    827,,                362154,                    834,,                              0.26,,,                212690,,                  3473,                     35
1110,2013年07月01日至2013年09月30日,,                500996,,                436469,                 64527,                 64527,,,                  1605,,                 12096,                 13701,                 50826,,,                 52836,,                  1494,,                    389,,                    545,                 54486,                105312,,                 -3720,                109032,                109032,,,,,,,                 54664,                163696,,                108815,                    217,,                163478,                    218,,                              0.19,,,                 54389,,                    275,
1110,2013年04月01日至2013年06月30日,,                487650,,                419977,                 67673,                 67673,,,                  2366,,                 10825,                 13191,                 54482,,,                  7911,,                -55892,,                    400,,                    869,                -47512,                  6970,,                -10181,                 17151,                 17151,,,,,,,                -45821,                -28670,,                 16990,                    161,,                -28834,                    164,,                              0.03,,,                -47381,,                  1560,                              0
1110,2013年01月01日至2013年12月31日,,              2024604,,              1766933,                257671,                257671,,,                  8637,,                 54604,                 63241,                194430,,,                 70117,,               -153204,,                  1700,,                  2287,                -82500,                111930,,                -34930,                146860,                146860,,,,,,,                216128,                362988,,                146033,                    827,,                362154,                    834,,                              0.26,,,                212690,,                  3473,                     35
1110,2013年01月01日至2013年09月30日,,              1448873,,              1250076,                198797,                198797,,,                  6472,,                 35222,                 41694,                157103,,,                 63675,,                -47742,,                  1312,,                     59,                 14680,                171783,,                -15497,                187280,                187280,,,,,,,                129979,                317259,,                186606,                    674,,                316582,                    677,,                              0.33,,,                128557,,                  1422,
1110,2013年01月01日至2013年06月30日,,                947877,,                813607,                134270,                134270,,,                  4867,,                 23126,                 27993,                106277,,,                 10839,,                -49236,,                    923,,                   -486,                -39806,                 66471,,                -11777,                 78248,                 78248,,,,,,,                 75315,                153563,,                 77791,                    457,,                153104,                    459,,                              0.14,,,                 74168,,                  1147,                              0
1110,2013年01月01日至2013年03月31日,,                460227,,                393630,                 66597,                 66597,,,                  2501,,                 12301,                 14802,                 51795,,,                  2928,,                  6656,,                    523,,                 -1355,                  7706,                 59501,,                 -1596,                 61097,                 61097,,,,,,,                121136,                182233,,                 60801,                    296,,                181938,                    295,,                              0.11,,                              0,                121549,,                   -413,
1110,2012年07月01日至2012年09月30日,,                398777,,                368187,                 30590,                 30590,,,                  1949,,                  6442,                  8391,                 22199,,,                 46195,,                 -4209,,                    439,,                  2558,                 44105,                 66304,,                  2174,                 64130,                 64130,,,,,,,                 44749,                108879,,                 63947,                    183,,                108693,                    186,,                              0.11,,,                 44367,,                    382,
1110,2012年04月01日至2012年06月30日,,                342389,,                311638,                 30751,                 30751,,,                  2655,,                 16491,                 19146,                 11605,,,                  2813,,                 -4399,,                    470,,                  1473,                   -583,                 11022,,                  1904,                  9118,                  9118,,,,,,,                 27276,                 36394,,                  9004,                    114,,                 36277,                    117,,                              0.02,,,                 31161,,                 -3885,                              0
1110,2012年01月01日至2012年12月31日,,              1635019,,              1479720,                155299,                155299,,,                  8795,,                 47728,                 56523,                 98776,,,                119673,,               -122049,,                  1830,,                 12490,                  8284,                107060,,                 38487,                 68573,                 68573,,,,,,,                153482,                222055,,                 67922,                    651,,                221397,                    658,,                              0.12,,,                151189,,                  2236,                    -57
1110,2012年01月01日至2012年09月30日,,              1123642,,              1025941,                 97701,                 97701,,,                  6479,,                 33772,                 40251,                 57450,,,                109060,,                  7181,,                  1393,,                  9003,                123851,                181301,,                 19452,                161849,                161849,,,,,,,                184434,                346283,,                161304,                    545,,                345732,                    551,,                              0.28,,,                183646,,                    788,
1110,2012年01月01日至2012年06月30日,,                724865,,                657754,                 67111,                 67111,,,                  4530,,                 27330,                 31860,                 35251,,,                 62865,,                 11390,,                    954,,                  6445,                 79746,                114997,,                 17278,                 97719,                 97719,,,,,,,                139685,                237404,,                 97357,                    362,,                237039,                    365,,                              0.17,,,                139279,,                    406,                              0
1110,2012年01月01日至2012年03月31日,,                382476,,                346116,                 36360,                 36360,,,                  1875,,                 10839,                 12714,                 23646,,,                 60052,,                 15789,,                    484,,                  4972,                 80329,                103975,,                 15374,                 88601,                 88601,,,,,,,                112409,                201010,,                 88353,                    248,,                200762,                    248,,                              0.15,,,                108118,,                  4291,                              0
