證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他費損,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　　 處分投資損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）
2476,2014年01月01日至2014年06月30日,,              2322924,,              1671117,                651807,                651807,,,                116377,,                208269,,                 60270,                384916,,                    727,                     91,                    636,                267527,,,,                 36858,                              0,                    906,                 15908,                 53672,,                    208,                    728,                              0,                              0,                  1689,                              0,                     55,                -13608,,                    767,,                 14599,                 53896,                321423,,                 87462,                233961,                233961,,,                -89236,                     90,,                   -162,,                    684,                -88462,                -88462,                145499,,                193484,                 40477,,                121241,                 24258,,                              0.79,                              0.79,,                              0.79,                              0.79,                 12800,                    846,,,,,,,,,,,,,
2476,2014年01月01日至2014年03月31日,,              1127611,,                814501,                313110,                313110,,,                 58233,,                104538,,                 30097,                192868,,,,                    315,                120557,,,,                 19317,,                    549,                     72,                 19938,,                    391,                    309,                  3495,                              0,                    209,                              0,                    515,                  3471,,                    471,,                  5599,                 28537,                149094,,                 43428,                105666,                105666,,,,,,,,,,                 -5362,                100304,,                 90803,                 14863,,                 88221,                 12083,,                              0.37,                              0.37,,                              0.37,                              0.37,                              0,,,,,,                 -6350,                    -11,,,                    999,,                    391,                    608,
2476,2013年第3季,,              1261744,,                921789,                339955,                339955,,,                 64860,,                104125,,                 29542,                198527,,                    444,                     45,                    399,                141827,,,,                 16222,                  3533,                              0,                  2303,                 22058,,                     92,                     65,                              0,                              0,                    721,                              0,                  1405,                -10493,,                    214,,                  6637,                 17988,                159815,,                 53961,                105854,                105854,,,,,,,,,,                -75036,                 30818,,                 85545,                 20309,,                 22059,                  8759,,                              0.35,                              0.35,,                              0.35,                              0.35,                  8524,,,,,,                -75242,                     75,,,                    131,,,,
2476,2013年第2季,,              1176455,,                871801,                304654,                304654,,,                 64448,,                102431,,                 31458,                198337,,                    847,                     45,                    802,                107119,,,,                 16900,                  3602,                              0,                  8594,                 29096,,                              0,                  2199,                  1361,                    335,                  1287,                     58,                              0,                  2550,,                    203,,                  9465,                 40908,                148027,,                 22249,                125778,                125778,,,,,,,,,,                 62297,                188075,,                108360,                 17418,,                159239,                 28836,,                              0.44,                              0.44,,                              0.44,                              0.44,                              0,,,,,,                 62189,                     13,,,                     95,,                    267,                   -172,
2476,2013年度,,              4579741,,              3356134,              1223607,              1223607,,,                255679,,                402581,,                138439,                796699,,                  2499,                    181,                  2318,                429226,,,,                 68061,                  7193,                              0,                 21889,                 97143,,                              0,                  4660,                  1494,                  4099,                  3765,                  1009,                              0,                  5479,,                  1302,,                 37184,                138504,                567730,,                157372,                410358,                410358,,,,,,,,,,                192212,                602570,,                345197,                 65161,,                504586,                 97984,,                              1.41,                              1.41,,                              1.41,                              1.41,,,,,,                              0,                189441,                     19,                  6794,,                     77,                  4119,,,
2476,2013年07月01日至2013年09月30日,,              1261744,,                921789,                339955,                339955,,,                 64860,,                104125,,                 29542,                198527,,                    444,                     45,                    399,                141827,,,,                 16222,                  3533,,                  2301,                 22056,,                     93,                     67,,                              0,                    722,                              0,                  1405,                -10491,,                    214,,                  6637,                 17988,                159815,,                 53961,                105854,                105854,,,,,,,,,,                -75036,                 30818,,                 85545,                 20309,,                 22059,                  8759,,                              0.35,                              0.35,,                              0.35,                              0.35,                  8524,,,,,                              0,                -75438,                     75,,,                    327,,,,
2476,2013年04月01日至2013年06月30日,,              1176455,,                871801,                304654,                304654,,,                 64448,,                102431,,                 31458,                198337,,,,                    802,                107119,,,,                 16900,                  3602,,                  8708,                 29210,,,                  2165,                  1361,                    335,                  1367,                     58,                              0,                  2436,,                    203,,                  9465,                 40908,                148027,,                 22249,                125778,                125778,,,,,,,,,,                 62297,                188075,,                108360,                 17418,,                159239,                 28836,,                              0.44,                              0.44,,                              0.44,                              0.44,                              0,,,,,,                 62456,                     13,,,                   -172,,,                   -172,
2476,2013年01月01日至2013年12月31日,,              4579741,,              3356134,              1223607,              1223607,,,                255679,,                402581,,                138439,                796699,,                  2499,                    181,                  2318,                429226,,,,                 68061,                  7193,,                 22146,                 97400,,,                  4660,                  1494,                  4099,                  4022,                  1009,,                  5222,,                  1302,,                 37184,                138504,                567730,,                157372,                410358,                410358,,,,,,,,,,                192212,                602570,,                345197,                 65161,,                504586,                 97984,,                              1.41,                              1.41,,                              1.41,                              1.41,                              0,,,,,,                189441,                     19,                  6794,,                     77,                  4119,                    429,                    474,                   -826
2476,2013年01月01日至2013年09月30日,,              3401702,,              2531892,                869810,                869810,,,                184758,,                309942,,                 86149,                580849,,                  2153,                    135,                  2018,                290979,,,,                 50466,                  7135,                              0,                 18050,                 75651,,                              0,                  4637,                              0,                              0,                  2802,                    248,                    813,                    379,,                    959,,                 30480,                105551,                396530,,                106750,                289780,                289780,,,,,,,,,,                129210,                418990,,                243505,                 46275,,                351324,                 67666,,                              1.00,                              1.00,,                              0.99,                              0.99,                    395,,,,,,                127511,                    102,,,                  1597,,,,
2476,2013年01月01日至2013年06月30日,,              2139958,,              1610103,                529855,                529855,,,                119898,,                205817,,                 56607,                382322,,                  1709,                     90,                  1619,                149152,,,,                 34244,                  3602,                              0,                 15747,                 53593,,                              0,                  4572,                  8129,                    592,                  2081,                    340,                              0,                 10872,,                    745,,                 23843,                 87563,                236715,,                 52789,                183926,                183926,,,,,,,,,,                204246,                388172,,                157960,                 25966,,                329265,                 58907,,                              0.65,                              0.65,,                              0.64,                              0.64,                              0,,,,,,                202753,                     27,,,                  1466,,                  1582,                   -116,
2476,2013年01月01日至2013年03月31日,,                963503,,                738302,                225201,                225201,,,                 55450,,                103386,,                 25149,                183985,,,,                    817,                 42033,,,,                 17344,,                              0,                  7153,                 24497,,                              0,                  2373,                  6768,                    257,                    794,                    282,                              0,                  8322,,                    542,,                 14378,                 46655,                 88688,,                 30540,                 58148,                 58148,,,,,,,,,,                141949,                200097,,                 49600,                  8548,,                170026,                 30071,,                              0.20,                              0.20,,                              0.20,                              0.20,                              0,,,,,,                140564,                     14,,,                  1371,,                  1315,                     56,
2476,2012年07月01日至2012年09月30日,,              1226399,,                856671,                369728,                369728,,,                 68667,,                105651,,                 12298,                186616,,                  1758,                     46,                  1712,                184824,,,,                 18379,                  3934,,                 12989,                 35302,,                              0,                              0,,                  1124,                   -629,                      4,                              0,                 -4890,,                    366,,                 18146,                 48192,                233016,,                 75626,                157390,                157390,,,,,,,,,,                -12524,                144866,,                136051,                 21339,,                115697,                 29169,,                              0.56,                              0.56,,                              0.56,                              0.56,                  6469,,,,,                    170,                -11197,                   -837,,,                   -490,,,,
2476,2012年04月01日至2012年06月30日,,              1165216,,                850925,                314291,                314291,,,                 46382,,                 92294,,                 12461,                151137,,,,                    375,                163529,,,,                 13041,                  2161,,                  4056,                 19258,,,                     39,                              0,                              0,                  2783,                     81,                     55,                 -2968,,                    137,,                 14689,                 30842,                194371,,                 71866,                122505,                122505,,,,,,,,,,                 -1753,                120752,,                103233,                 19272,,                100888,                 19864,,                              0.42,                              0.42,,                              0.42,                              0.42,                     88,,,,,,                 -2809,                    325,,,                    731,,,                    731,
2476,2012年01月01日至2012年12月31日,,              4467041,,              3284253,              1182788,              1182788,,,                211883,,                386621,,                 50953,                649457,,                  4269,                    175,                  4094,                537425,,,,                 55682,                  7127,,                 50908,                113717,,,                  4992,                              0,                    640,                 -2591,                  1257,,                  4743,,                  1385,,                 49596,                166671,                704096,,                237250,                466846,                466846,,,,,,,,,,               -134454,                332392,,                403153,                 63693,,                286002,                 46390,,                              1.65,                              1.65,,                              1.64,                              1.64,                  2223,,,,,,               -114476,                   -171,                -24227,,                    301,                 -4119,                   -196,                    497,                              0
2476,2012年01月01日至2012年09月30日,,              3394891,,              2475821,                919070,                919070,,,                153729,,                297494,,                 37681,                488904,,                  2614,                    132,                  2482,                432648,,,,                 43574,                  6095,,                 17403,                 67072,,                              0,                  4777,,                    997,                  3037,                     85,                              0,                 -5437,,                  1066,,                 38821,                 99390,                532038,,                181449,                350589,                350589,,,,,,,,,,                -98424,                252165,,                301233,                 49356,,                208204,                 43961,,                              1.23,                              1.23,,                              1.23,                              1.23,                  8089,,,,,                              0,                -98912,                   -151,,,                    639,,,,
2476,2012年01月01日至2012年06月30日,,              2168492,,              1619150,                549342,                549342,,,                 85062,,                191843,,                 25383,                302288,,,,                    770,                247824,,,,                 25195,                  2161,,                  4414,                 31770,,,                  4947,                              0,                              0,                  3666,                     81,                    127,                   -547,,                    700,,                 20675,                 51198,                299022,,                105823,                193199,                193199,,,,,,,,,,                -85900,                107299,,                165182,                 28017,,                 92507,                 14792,,                              0.68,                              0.68,,                              0.67,                              0.67,                  1620,,,,,,                -87715,                    686,,,                  1129,,,                  1129,
2476,2012年01月01日至2012年03月31日,,              1003276,,                768225,                235051,                235051,,,                 38680,,                 99549,,                 12922,                151151,,,,                    395,                 84295,,,,                 12154,,,                    358,                 12512,,,                  4908,                              0,                              0,                    883,                              0,                     72,                  2421,,                    563,,                  5986,                 20356,                104651,,                 33957,                 70694,                 70694,,,,,,,,,,                -84147,                -13453,,                 61949,                  8745,,                 -8381,                 -5072,,                              0.25,                              0.25,,                              0.25,                              0.25,                  1532,,,,,,                -84906,                    361,,,                    398,,,                    398,
