證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 利息費用
3679,2014年01月01日至2014年06月30日,,,,,              1783772,                 21205,              1762567,              1762567,,              1445446,                317121,                317121,,,                 37312,,                114826,,                 35031,                187169,                129952,,,,,,                 25879,,,,,,                 15534,,                  8583,                 32830,                162782,,,,                 47450,                115332,                115332,,,,,,                -86464,                -14699,                -71765,                -71765,                 43567,,                115332,,                 43567,,                              1.45,,                              1.45,,,,,,,,,,,,,,
3679,2014年01月01日至2014年03月31日,,,,                838799,                838799,                  9958,                828841,                828841,,                680647,                148194,                148194,,,                 19702,,                 59134,,                 16775,                 95611,                 52583,,,,,,                  7083,,,,,,                 29504,,                  4449,                 32138,                 84721,,,,                 27292,                 57429,                 57429,,,,,,                  6260,                  1064,                  5196,                  5196,                 62625,,                 57429,,                 62625,,                              0.72,,                              0.72,,                680647,                680647,,,,,,,,,,,
3679,2013年第3季,,,,,              1379030,                 17772,              1361258,              1361258,,              1102451,                258807,                258807,,,                 23747,,                 77164,,                 19827,                120738,                138069,,,,,                 18358,                 18358,,,,,,                -15937,,                  4917,                 -2496,                135573,,,,                 19715,                115858,                115858,,,,,,,,,                -47191,                 68667,,                115858,,                 68667,,                              1.44,,                              1.44,,,              1102451,,,                 19715,                -56856,                 -9665,,,,,,
3679,2013年第2季,,,,,              1084408,                 19150,              1065258,              1065258,,                924774,                140484,                140484,,,                 16871,,                 52972,,                 18443,                 88286,                 52198,,,,,,                 15973,,,,,,                    296,,                  4388,                 11881,                 64079,,,,                 27244,                 36835,                 36835,,,,,,,,,                 59071,                 95906,,                 36835,,                 95906,,                              0.46,,                              0.45,,,,,,,                 71170,                 12099,,,,,,
3679,2013年度,,,,              4971805,              4971805,                 71919,              4899886,              4899886,,              4123733,                776153,                776153,,,                 84286,,                272103,,                 77957,                434346,                341807,,,,                 50778,                 12864,                 63642,,                              0,                              0,,                    636,                -12853,,                 17977,                 32812,                374619,,,                 30025,                 93171,                281448,                281448,,,,,,,,,                190911,                472359,,                281448,,                472359,,                              3.50,,                              3.48,,,,                    756,                 11461,                 63146,                230013,                 39102,,,,,,
3679,2013年07月01日至2013年09月30日,,,,,              1379030,                 17772,              1361258,              1361258,,              1102451,                258807,                258807,,,                 23747,,                 77164,,                 19827,                120738,                138069,,,,                 14206,                  4152,                 18358,,,,,                    244,                -15937,,                  4917,                 -2496,                135573,,,,                 19715,                115858,                115858,,,,,,,,,                -47191,                 68667,,                115858,,                 68667,,                              1.44,,                              1.44,,,,,,,                -56856,                 -9665,,                              0,,                 15693,                 15693,                  4917
3679,2013年04月01日至2013年06月30日,,,,,              1084408,                 19150,              1065258,              1065258,,                924774,                140484,                140484,,,                 16871,,                 52972,,                 18443,                 88286,                 52198,,,,                 14610,                  1363,                 15973,,,,,,                    296,,                  4388,                 11881,                 64079,,,,                 27244,                 36835,                 36835,,,,,,,,,                 59071,                 95906,,                 36835,,                 95906,,                              0.46,,                              0.45,,,,,,,                 71170,                 12099,,,,,,                  4388
3679,2013年01月01日至2013年12月31日,,,,              4971805,              4971805,                 71919,              4899886,              4899886,,              4123733,                776153,                776153,,,                 84286,,                272103,,                 77957,                434346,                341807,,,,                 50778,                 12864,                 63642,,                              0,,,                    636,                -12853,,                 17977,                 32812,                374619,,,                 30025,                 93171,                281448,                281448,,,,,,,,,                190911,                472359,,                281448,,                472359,,                              3.50,,                              3.48,,,,                    756,                 11461,                 63146,                230013,                 39102,,,,,,
3679,2013年01月01日至2013年09月30日,,,,,              3650924,                 52270,              3598654,              3598654,,              3041549,                557105,                557105,,,                 63025,,                201541,,                 57627,                322193,                234912,,,,,                 46440,                 46440,,,,,,                 -9675,,                 13114,                 23651,                258563,,,,                 66661,                191902,                191902,,,,,,,,,                126563,                318465,,                191902,,                318465,,                              2.38,,                              2.37,,,              3041549,,,                 66661,                152486,                 25923,,,,,,
3679,2013年01月01日至2013年06月30日,,,,,              2271894,                 34498,              2237396,              2237396,,              1939098,                298298,                298298,,,                 39278,,                124377,,                 37800,                201455,                 96843,,,,,,                 28082,,,,,,                  6262,,                  8197,                 26147,                122990,,,,                 46946,                 76044,                 76044,,,,,,,,,                173754,                249798,,                 76044,,                249798,,                              0.94,,                              0.93,,,,,,,                209342,                 35588,,,,,,
3679,2013年01月01日至2013年03月31日,,,,              1187486,              1187486,                 15348,              1172138,              1172138,,              1010601,                161537,                161537,,,                 22443,,                 70973,,                 23079,                116495,                 45042,,,,,,                 12109,,,,,,                  5569,,                  3809,                 13869,                 58911,,,,                 19702,                 39209,                 39209,,,,,,,,,                114683,                153892,,                 39209,,                153892,,                              0.48,,                              0.48,,              1010601,              1010601,,,,                138172,                 23489,,,,,,
3679,2012年07月01日至2012年09月30日,,,,,              1405207,                 10316,              1394891,              1394891,,              1152487,                242404,                242404,,,                 22446,,                 72549,,                 16965,                111960,                130444,,,,                  9128,                  3598,                 12726,,,,,                 11576,                -21862,,                  3783,                -12919,                117525,,,,                 35530,                 81995,                 81995,,,,,,,,,                -38666,                 43329,,                 81995,,                 43329,,                              1.01,,                              1.00,,,,,,,                -46587,                 -7921,,                              0,,                 10286,                 10286,                  3783
3679,2012年04月01日至2012年06月30日,,,,,              1356834,                 14716,              1342118,              1342118,,              1106113,                236005,                236005,,,                 18402,,                 80328,,                 15502,                114232,                121773,,,,                 13141,                  4652,                 17793,,,,,,                 15186,,                  3038,                 29941,                151714,,,,                 24457,                127257,                127257,,,,,,,,,                 18643,                145900,,                127257,,                145900,,                              1.57,,                              1.56,,,,,,,                 22462,                  3819,,,,,,                  3038
3679,2012年01月01日至2012年12月31日,,,,              5369780,              5369780,                 47866,              5321914,              5321914,,              4384113,                937801,                937801,,,                 88953,,                274929,,                 62005,                425887,                511914,,,,                 40232,                 12063,                 52295,,                 10278,,,                  4889,                -30280,,                 13758,                  8257,                520171,,,                -13981,                113252,                406919,                406919,,,,,,,,,               -120981,                285938,,                406919,,                285938,,                              5.01,,                              4.97,,,,                              0,                 35669,                127233,               -145760,                -24779,,,,,,
3679,2012年01月01日至2012年09月30日,,,,,              4025692,                 34523,              3991169,              3991169,,              3266372,                724797,                724797,,,                 68340,,                227343,,                 46044,                341727,                383070,,,,                 27417,                 11421,                 38838,,,,,                  3188,                -17657,,                  9417,                 11764,                394834,,,,                101632,                293202,                293202,,,,,,,,,               -114964,                178238,,                293202,,                178238,,                              3.61,,                              3.59,,,,,,,               -138511,                -23547,,                              0,,                 14469,                 14469,                  9417
3679,2012年01月01日至2012年06月30日,,,,,              2620485,                 24207,              2596278,              2596278,,              2113885,                482393,                482393,,,                 45894,,                154794,,                 29079,                229767,                252626,,,,                 18289,                  7823,                 26112,,,,,,                  4205,,                  5634,                 24683,                277309,,,,                 66102,                211207,                211207,,,,,,,,,                -76298,                134909,,                211207,,                134909,,                              2.60,,                              2.58,,,,,,,                -91924,                -15626,,,,,,                  5634
3679,2012年01月01日至2012年03月31日,,,,,              1263651,                  9491,              1254160,              1254160,,              1007772,                246388,                246388,,,                 27492,,                 74466,,                 13577,                115535,                130853,,,,                  5148,                  3171,                  8319,,                  2684,                              0,,                  2810,                -10981,,                  2596,                 -5258,                125595,,,,                 41645,                 83950,                 83950,,,,,,,,,                -94941,                -10991,,                 83950,,                -10991,,                              1.03,,                              1.03,,,,                              0,                 10855,,               -114386,                -19445,,,,,,                  2596
