證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 與可能重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 廣告費,　　 其他綜合損益,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2534,2013年第2季,,                 28271,,                 13220,                 15051,                 15051,,,                295947,,                 45540,                341487,               -326436,,,                  3783,,                              0,,                 32410,,                    485,                -28142,               -354578,,                  3786,               -358364,               -358364,,,,,,,,                -48975,               -407339,,                             -0.61,                    485,,                -50145,                              0,,                  1170,,,,,,,,,,                              0,                              0,                              0,,                              0,,                              0
2534,2013年度,,                829887,,                190694,                639193,                639193,,,                790191,,                171671,                961862,               -322669,,,                 22599,,                337257,,                139330,,                  3069,                223595,                -99074,,                 46337,               -145411,               -145411,,,,,,,,                -58599,               -204010,,                             -0.25,                  3069,,                -44603,                -18075,,                  4079,,,,,,,,,,,,,,,,
2534,2013年07月01日至2013年09月30日,,                 29041,,                 12375,                 16666,                 16666,,,                116931,,                 40419,                157350,               -140684,,,                 17791,,                              0,,                 33950,,                    886,                -15273,               -155957,,                  3968,               -159925,               -159925,,,,,,,,                 45213,               -114712,,                             -0.27,                    886,,                 45706,                              0,,                   -493,,,                 29041,                 29041,                 29041,,                 12375,                 12375,                116931,                              0,                              0,                              0,,,,
2534,2013年01月01日至2013年12月31日,,                829887,,                190694,                639193,                639193,,,                790191,,                171671,                961862,               -322669,,,                 22599,,                337257,,                139330,,                  3069,                223595,                -99074,,                 46337,               -145411,               -145411,,,,,,,,                -58599,               -204010,,                             -0.25,                  3069,,                -44603,                -18075,,                  4079,,,,,,,,,,,,,,,,
2534,2013年01月01日至2013年09月30日,,                 64968,,                 28351,                 36617,                 36617,,,                422880,,                121241,                544121,               -507504,,,                 21674,,                              0,,                102108,,                  2068,                -78366,               -585870,,                 11559,               -597429,               -597429,,,,,,,,                -41403,               -638832,,                             -1.01,                  2068,,                -29129,                -15978,,                  3704,,,                 64968,                 64968,                 64968,,                 28351,                 28351,                422880,                              0,,,,,,
2534,2013年01月01日至2013年06月30日,,                 35927,,                 15976,                 19951,                 19951,,,                305949,,                 80822,                386771,               -366820,,,                  3883,,                              0,,                 68158,,                  1182,                -63093,               -429913,,                  7591,               -437504,               -437504,,,,,,,,                -86616,               -524120,,                             -0.74,                  1182,,                -74835,                -15978,,                  4197,,,,,,,,,,                              0,                              0,                              0,,                              0,,                              0
2534,2013年01月01日至2013年03月31日,,                  7656,,                  2756,                  4900,                  4900,,,                 10002,,                 35282,                 45284,                -40384,,,                    100,,,,                 35748,,                    697,                -34951,                -75335,,                  3805,                -79140,                -79140,,,,,,,,                -37641,               -116781,,                             -0.13,                    697,,                -24690,                -15978,,                  3027,,,,,,,,,,,,,,,,
2534,2012年07月01日至2012年09月30日,,                  6755,,                  2769,                  3986,                  3986,,,                  2013,,                 25651,                 27664,                -23678,,,                 17153,,                              0,,                 32033,,                  2655,                -12225,                -35903,,                  2979,                -38882,                -38882,,,,,,,,                 -8040,                -46922,,                             -0.07,                  2655,,                 -8794,                              0,,                    754,,,                  6755,                  6755,                  6755,,                  2769,                  2769,                  2013,                              0,                              0,                              0,,,,
2534,2012年01月01日至2012年12月31日,,                 85404,,                 41661,                 43743,                 43743,,,                 20012,,                129142,                149154,               -105411,,,                 18044,,                490253,,                110957,,                  8513,                405853,                300442,,                 21175,                279267,                279267,,,,,,,,                 89850,                369117,,                              0.47,                  8513,,                 82844,                   -739,,                  7745,,,,,,,,,,,,,,,,
2534,2012年01月01日至2012年09月30日,,                 64698,,                 32075,                 32623,                 32623,,,                  5475,,                 93262,                 98737,                -66114,,,                 17745,,                490303,,                 79486,,                  5605,                434167,                368053,,                 17797,                350256,                350256,,,,,,,,                 87475,                437731,,                              0.59,                  5605,,                 86063,                              0,,                  1412,,,                 64698,                 64698,                 64698,,                 32075,                 32075,                  5475,                              0,                490503,                    200,,,,
