證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計
2504,2014年01月01日至2014年03月31日,,,,,,,              7719365,,,,,              6946088,                773277,                773277,,,                 78108,,                456075,,                    988,                535171,                238106,,,                 34568,,                -37544,,                 72778,,                 11811,                -63943,                174163,,                 25881,                148282,                148282,,,,,,                -28656,                -34342,                 -1748,,                    275,                -64471,                -64471,                 83811,,                103411,                 44871,,                 29618,                 54193,,                              0.07,,                              0.07,,,,,,,,,,
2504,2013年第3季,,,,              8202469,              8202469,              8202469,              8202469,,,              7463237,              7463237,              7463237,                739232,                739232,,,                 86850,,                468106,,                    939,                555895,                183337,,,                151090,,                -21128,,                 12072,,                -17274,                100616,                283953,,                  5518,                278435,                278435,,,,,,,,,,,,                 39243,                317678,,                200575,                 77860,,                237740,                 79938,,                              0.13,,                              0.13,                -97857,                134419,                  2864,,,                   -183,,,,
2504,2013年第2季,,,,              7428319,              7428319,              7428319,              7428319,,,              6979010,              6979010,              6979010,                449309,                449309,,,                 69999,,                425718,,                  1073,                496790,                -47481,,,                 40883,,                181551,,                109488,,                  9088,                122034,                 74553,,                 16861,                 57692,                 57692,,,,,,,,,,,,                -20843,                 36849,,                 76183,                -18491,,                 51898,                -15049,,                              0.05,,                              0.05,                143205,               -159016,                 -5107,,,                     75,,,,
2504,2013年度,,,,             31632387,             31632387,             31632387,             31632387,,,             29217003,             29217003,             29217003,              2415384,              2415384,,,                281772,,              1911698,,                  6477,              2199947,                215437,,,                938786,,                335613,,                297355,,                 53339,              1030383,              1245820,,                131637,              1114183,              1114183,,,,,,,,,,,,                599861,              1714044,,                930700,                183483,,              1522207,                191837,,                              0.62,,                              0.62,                460067,                142474,                 -3713,                 -1501,,                  1565,                   -969,,,
2504,2013年07月01日至2013年09月30日,,,,              8202469,              8202469,              8202469,              8202469,,,              7463237,              7463237,              7463237,                739232,                739232,,,                 86850,,                468106,,                    939,                555895,                183337,,,                151090,,                -21128,,                 12072,,                -17274,                100616,                283953,,                  5518,                278435,                278435,,,,,,,,,,,,                 39243,                317678,,                200575,                 77860,,                237740,                 79938,,                              0.13,,                              0.13,                -98040,                134420,                  2863,,,,,,,
2504,2013年04月01日至2013年06月30日,,,,              7428319,              7428319,              7428319,              7428319,,,              6979010,              6979010,              6979010,                449309,                449309,,,                 69999,,                425718,,                  1073,                496790,                -47481,,,                 40883,,                181551,,                109488,,                  9088,                122034,                 74553,,                 16861,                 57692,                 57692,,,,,,,,,,,,                -20843,                 36849,,                 76183,                -18491,,                 51898,                -15049,,                              0.05,,                              0.05,                143280,               -159017,                 -5106,,,,,,,
2504,2013年01月01日至2013年12月31日,,,,             31632387,             31632387,             31632387,             31632387,,,             29217003,             29217003,             29217003,              2415384,              2415384,,,                281772,,              1911698,,                  6477,              2199947,                215437,,,                938786,,                335613,,                297355,,                 53339,              1030383,              1245820,,                131637,              1114183,              1114183,,,,,,,,,,,,                599861,              1714044,,                930700,                183483,,                591507,              1122537,,                              0.62,,                              0.62,                460067,                142474,                 -3713,                  2377,,                  1565,                  2909,,,
2504,2013年01月01日至2013年09月30日,,,,             22383262,             22383262,             22383262,             22383262,,,             20840406,             20840406,             20840406,              1542856,              1542856,,,                215688,,              1323353,,                  3242,              1542283,                    573,,,                227075,,                285377,,                166304,,                  5398,                351546,                352119,,                 23646,                328473,                328473,,,,,,,,,,,,                365087,                693560,,                328481,                     -8,,                676935,                 16625,,                              0.22,,                              0.22,                299328,                 69458,                 -3930,,,                    231,,,,
2504,2013年01月01日至2013年06月30日,,,,             14180793,             14180793,             14180793,             14180793,,,             13377169,             13377169,             13377169,                803624,                803624,,,                128838,,                855247,,                  2303,                986388,               -182764,,,                 75985,,                306505,,                154232,,                 22672,                250930,                 68166,,                 18128,                 50038,                 50038,,,,,,,,,,,,                325844,                375882,,                127906,                -77868,,                439195,                -63313,,                              0.08,,                              0.08,                397185,                -64961,                 -6794,,,                    414,,,,
2504,2013年01月01日至2013年03月31日,,,,              6752474,              6752474,              6752474,              6752474,,,              6398159,              6398159,              6398159,                354315,                354315,,,                 58839,,                429529,,                  1230,                489598,               -135283,,,                 35102,,                124954,,                 44744,,                 13584,                128896,                 -6387,,                  1267,                 -7654,                 -7654,,,,,,,,,,,,                346687,                339033,,                 51723,                -59377,,                387297,                -48264,,                              0.03,,                              0.03,                253980,                 94055,                 -1687,,,                    339,,,,
2504,2012年07月01日至2012年09月30日,,,,              6777617,              6777617,              6777617,              6777617,,,              6189526,              6189526,              6189526,                588091,                588091,,,                232014,,                286442,,                    960,                519416,                 68675,,,                 99754,,                -14971,,                 30491,,                 15525,                 69817,                138492,,                 33809,                104683,                104683,,,,,,,,,,,,                -30221,                 74462,,                 42662,                 62021,,                -12726,                 87188,,                              0.03,,                              0.03,                -75387,                 45166,                              0,,,,,,,
2504,2012年04月01日至2012年06月30日,,,,              6454485,              6454485,              6454485,              6454485,,,              5838361,              5838361,              5838361,                616124,                616124,,,                190781,,                295258,,                  1117,                487156,                128968,,,                 19238,,                 14245,,                 27475,,                 15590,                 21598,                150566,,                100909,                 49657,                 49657,,,,,,,,,,,,                 10757,                 60414,,                -11918,                 61575,,                  2864,                 57550,,                             -0.01,,                             -0.01,                 24225,                -13468,                              0,,,,,,,
2504,2012年01月01日至2012年12月31日,,,,             26163807,             26163807,             26163807,             26163807,,,             23834565,             23834565,             23834565,              2329242,              2329242,,,                864244,,              1135057,,                  4911,              2004212,                325030,,,                202035,,                 95735,,                130384,,                 53544,                220930,                545960,,                185311,                360649,                360649,,,,,,,,,,,,                 19193,                379842,,                199008,                161641,,                -11123,                390965,,                              0.13,,                              0.13,               -267031,                282548,                  2771,                              0,,                    905,                              0,,,
2504,2012年01月01日至2012年09月30日,,,,             18752651,             18752651,             18752651,             18752651,,,             17171673,             17171673,             17171673,              1580978,              1580978,,,                627903,,                809567,,                  3106,              1440576,                140402,,,                149621,,                 12033,,                 84740,,                 43523,                120437,                260839,,                153645,                107194,                107194,,,,,,,,,,,,               -123483,                -16289,,                -18041,                125235,,               -167527,                151238,,                             -0.01,,                             -0.01,               -266317,                142834,                              0,,,,,,,
2504,2012年01月01日至2012年06月30日,,,,             11975034,             11975034,             11975034,             11975034,,,             10982147,             10982147,             10982147,                992887,                992887,,,                395889,,                523125,,                  2146,                921160,                 71727,,,                 49867,,                 27004,,                 54249,,                 27998,                 50620,                122347,,                119836,                  2511,                  2511,,,,,,,,,,,,                -93262,                -90751,,                -60703,                 63214,,               -154801,                 64050,,                             -0.04,,                             -0.04,               -190930,                 97668,                              0,,,,,,,
2504,2012年01月01日至2012年03月31日,,,,              5520549,              5520549,              5520549,              5520549,,,              5143786,              5143786,              5143786,                376763,                376763,,,                205108,,                227867,,                  1029,                434004,                -57241,,,                 30629,,                 12759,,                 26774,,                 12408,                 29022,                -28219,,                 18927,                -47146,                -47146,,,,,,,,,,,,               -104019,               -151165,,                -48785,                  1639,,               -157665,                  6500,,                             -0.03,,                             -0.03,               -215155,                111136,                              0,,,,,,                 30629,                 30629
