證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　　 其他收入－其他,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　　 利息收入,　　　　 利息收入合計,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資損失之份額
1809,2014年01月01日至2014年03月31日,,                771522,,                629724,                141798,                141798,,,                 56525,,                 54214,,                 14251,                124990,,                  3625,                 20433,,,                 10778,,                 -1007,,                  4514,,                 -1916,                  3341,                 23774,,                 11467,                 12307,                 12307,,,                  1538,                  1538,                  1538,                 13845,,                 21179,                 -8872,,                 27037,                -13192,,,                              0.11,,,                              0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2013年第3季,,              1002072,,                758475,                243597,                243597,,,                 69573,,                 55921,,                 16852,                142346,,                  5042,                106293,,,                  5994,,                 -8082,,                  3048,,                 -2146,                 -7282,                 99011,,                 19845,                 79166,                 79166,,,,,                -27445,                 51721,,                 62988,                 16178,,                 43972,                  7749,,                              0.33,                              0.33,,                              0.33,                              0.33,                -27445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2013年第2季,,                934307,,                731735,                202572,                202572,,,                 65742,,                 54681,,                 17973,                138396,,                  5073,                 69249,,,                 15665,,                 -7749,,                  3022,,                 -1023,                  3871,                 73120,,                 11110,                 62010,                 62010,,,,,                 37710,                 99720,,                 56490,                  5520,,                 80318,                 19402,,                              0.30,                              0.30,,                              0.30,                              0.30,                 37710,,,,,                              0,                              0,,                              0,,                              0,,                              0,                              0.00,,,,,,,,,,,,,,,,,,
1809,2013年度,,              3502527,,              2764174,                738353,                738353,,,                250149,,                233294,,                 68894,                552337,,                 21520,                207536,,,                 33689,,                -16217,,                 12407,,                 -9460,                 -4395,                203141,,                 49047,                154094,                154094,,,,,                150484,                304578,,                142588,                 11506,,                243684,                 60894,,                              0.75,                              0.75,,                              0.75,                              0.75,                137029,                 15330,,                    731,                  2606,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2013年07月01日至2013年09月30日,,              1002072,,                758475,                243597,                243597,,,                 69573,,                 55921,,                 16852,                142346,,                  5042,                106293,,,                  5994,,                 -8082,,                  3048,,                 -2146,                 -7282,                 99011,,                 19845,                 79166,                 79166,,,,,                -27445,                 51721,,                 62988,                 16178,,                 43972,                  7749,,,                              0.33,,,                              0.33,                -27445,,,                              0,,                              0,                              0,,,,,,,,                  5994,,,,,,,,,,,,,,,,,
1809,2013年04月01日至2013年06月30日,,                934307,,                731735,                202572,                202572,,,                 65742,,                 54681,,                 17973,                138396,,                  5073,                 69249,,,                 15665,,                 -7749,,                  3022,,                 -1023,                  3871,                 73120,,                 11110,                 62010,                 62010,,,,,                 37710,                 99720,,                 56490,                  5520,,                 80318,                 19402,,,                              0.30,,,                              0.30,                 16327,,,                 21383,,                              0,                              0,,,,,,,,                 15665,,,,,,,,,,,,,,,,,
1809,2013年01月01日至2013年12月31日,,              3502527,,              2764174,                738353,                738353,,,                250149,,                233294,,                 68894,                552337,,                 21520,                207536,,,                 33689,,                -16217,,                 12407,,                 -9460,                 -4395,                203141,,                 49047,                154094,                154094,,,,,                150484,                304578,,                142588,                 11506,,                243684,                 60894,,,                              0.75,,,,                137029,                 15330,,                    731,                  2606,                              0,                              0,,,,,,                              0,,,,,,,,,,,,,,,,,,,
1809,2013年01月01日至2013年09月30日,,              2641327,,              2102733,                538594,                538594,,,                188114,,                169099,,                 49207,                406420,,                 16946,                149120,,,                 25712,,                 -7482,,                  9386,,                 -5194,                  3650,                152770,,                 36580,                116190,                116190,,,,,                 92048,                208238,,                111537,                  4653,,                170881,                 37357,,                              0.59,                              0.59,,                              0.59,                              0.59,                 92048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2013年01月01日至2013年06月30日,,              1639255,,              1344258,                294997,                294997,,,                118541,,                113178,,                 32355,                264074,,                 11904,                 42827,,,                 19718,,                    600,,                  6338,,                 -3048,                 10932,                 53759,,                 16735,                 37024,                 37024,,,,,                119493,                156517,,                 48549,                -11525,,                126909,                 29608,,                              0.26,                              0.26,,                              0.26,                              0.26,                119493,,,,,                              0,                              0,,                              0,,                              0,,                              0,                              0.00,,,,,,,,,,,,,,,,,,
1809,2013年01月01日至2013年03月31日,,                704948,,                612523,                 92425,                 92425,,,                 52799,,                 58497,,                 14382,                125678,,                  6831,                -26422,,,                  4053,,                  8349,,                  3316,,                 -2025,                  7061,                -19361,,                  5625,                -24986,                -24986,,,,,                 82364,                 57378,,                 -7941,                -17045,,                 46591,                 10787,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                 82364,,,,,                              0,                              0,,                              0,,                              0,,                              0,                              0.00,,,,,,,,,,,,,,,,,,
1809,2012年07月01日至2012年09月30日,,              1042696,,                843788,                198908,                198908,,,                 65510,,                 43577,,                 17214,                126301,,                  5872,                 78479,,,                  8351,,                  8692,,                  3443,,                 -2071,                 11529,                 90008,,                 29493,                 60515,                 60515,,,,,                -34697,                 25818,,                 53173,                  7342,,                 28816,                 -2998,,,                              0.28,,,                              0.28,                -34686,,,                    -11,,                              0,                              0,,,,,,,,                  8351,,,,,,,,,,,,,,,,,
1809,2012年04月01日至2012年06月30日,,              1063701,,                844759,                218942,                218942,,,                 66978,,                 62091,,                 19134,                148203,,                  5811,                 76550,,,                  4006,,                 -4546,,                  3317,,                    496,                 -3361,                 73189,,                 14858,                 58331,                 58331,,,,,                 29297,                 87628,,                 47506,                 10825,,                 53911,                 33717,,,                              0.25,,,                              0.25,                 54761,,,                -25464,,                              0,                              0,,,,,,,,                  4006,,,,,,,,,,,,,,,,,
1809,2012年01月01日至2012年12月31日,,              3856855,,              3116181,                740674,                740674,,,                248875,,                226107,,                 68535,                543517,,                 24273,                221430,,,                 15969,,                 -9293,,                 13828,,                 -6258,                -13410,                208020,,                 76713,                131307,                131307,,,,,               -101789,                 29518,,                124785,                  6522,,                 59112,                -29594,,,                              0.66,,,,               -104559,                  3951,,                   -509,                    672,                              0,                              0,,,,,,                              0,,,,,,,,,,,,,,,,,,,
1809,2012年01月01日至2012年09月30日,,              2979458,,              2396757,                582701,                582701,,,                184675,,                163293,,                 50982,                398950,,                 18740,                202491,,,                 14897,,                 -7408,,                 10157,,                 -3531,                 -6199,                196292,,                 64114,                132178,                132178,,,,,                -95487,                 36691,,                119124,                 13054,,                 57864,                -21173,,,                              0.63,,,                              0.63,                -95620,,,                    133,,                              0,                              0,,,,,,,,                 14897,,,,,,,,,,,,,,,,,
1809,2012年01月01日至2012年06月30日,,              1936762,,              1552969,                383793,                383793,,,                119165,,                119716,,                 33768,                272649,,                 12868,                124012,,,                  6546,,                -16100,,                  6714,,                 -1460,                -17728,                106284,,                 34621,                 71663,                 71663,,,,,                -60790,                 10873,,                 65951,                  5712,,                 29048,                -18175,,,                              0.35,,,                              0.35,                -36134,,,                -24656,,                              0,                              0,,,,,,,,                  6546,,,,,,,,,,,,,,,,,
1809,2012年01月01日至2012年03月31日,,                873061,,                708210,                164851,                164851,,,                 52187,,                 57625,,                 14634,                124446,,                  7057,                 47462,,,                  2911,,                -11925,,                  3397,,                 -1956,                -14367,                 33095,,                 19763,                 13332,                 13332,,,,,                -90087,                -76755,,                 18444,                 -5112,,                -24863,                -51892,,                              0.10,                              0.10,,                              0.10,                              0.10,                -90895,,,                    808,,,,,,,,,,                              0.00,                    993,,                873061,,,                              0,                              0,,                  1918,                    523,                              0,                  3565,                    808,                  8985,                              0,                  6220,                  3397,                  1956
