證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 維修收入,　　　　 維修收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 維修成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
4104,2014年01月01日至2014年03月31日,,,              1203932,,,                 54094,                 54094,,                122165,              1380191,,,              1001920,,                 29203,                 29203,                 80509,              1111632,                268559,                 10493,                 10046,                268112,,,                117642,,                 75909,                193551,                 74561,,,                  3468,,                 58150,,                  8621,,                    283,                 53280,                127841,,                 30361,                 97480,                 97480,,,,,,,                 24008,                -21537,                 -3492,,                  3203,                 16699,                -14517,                -14517,                 82963,,                 79591,                 17889,,                 79955,                  3008,,                              0.70,                              0.70,,                              0.70,                              0.70,                              0,,,,,,,,
4104,2013年第3季,,,              1266128,,,                 56154,                 56154,,                123191,              1445473,,,              1053246,,                 36344,                 36344,                 75165,              1164755,                280718,                 17783,                 17658,                280593,,,                131885,,                 75223,                207108,                 73485,,,                  4382,,                 48153,,                 10641,,                 -3025,                 38869,                112354,,                 15898,                 96456,                 96456,,,,,,,,,,,,,,                -43318,                 53138,,                 86202,                 10254,,                 40393,                 12745,,                              0.76,                              0.76,,                              0.75,                              0.75,,                -37561,                -43796,,                              0,,                 26954,,                 11085
4104,2013年第2季,,,              1255983,,,                 55746,                 55746,,                128032,              1439761,,,              1052588,,                 32740,                 32740,                 71745,              1157073,                282688,                 14778,                 15232,                283142,,,                160077,,                 68466,                228543,                 54599,,,                  3657,,                132595,,                 10202,,                -11113,                114937,                169536,,                 36359,                133177,                133177,,,,,,,,,,,,,,                 10587,                143764,,                120986,                 12191,,                121991,                 21773,,                              1.07,                              1.07,,                              1.04,                              1.04,,                 17691,                  5021,,                              0,,                -18668,                 -6543,
4104,2013年度,,,              5004368,,,                222633,                222633,,                513960,              5740961,,,              4145479,,                130562,                130562,                310146,              4586187,              1154774,                 61762,                 62638,              1155650,,,                497542,,                349455,                846997,                308653,,,                 14172,,                157344,,                 41438,,                -24030,                106048,                414701,,                 88296,                326405,                326405,,,,,,,,,,,,,,                237971,                564376,,                299942,                 26463,,                493798,                 70578,,                              2.66,                              2.66,,                              2.61,                              2.61,,                 47022,                207571,                  7211,                  3492,,                -21238,                  6087,
4104,2013年07月01日至2013年09月30日,,,              1266128,,,                 56154,                 56154,,                123191,              1445473,,,              1053246,,                 36344,                 36344,                 75165,              1164755,                280718,                 17783,                 17658,                280593,,,                131885,,                 75223,                207108,                 73485,,,                  4382,,                 48153,,                 10641,,                 -3025,                 38869,                112354,,                 15898,                 96456,                 96456,,,,,,,,,,,,,,                -43318,                 53138,,                 86202,                 10254,,                 40393,                 12745,,                              0.76,                              0.76,,                              0.75,                              0.75,,                -37561,                -43796,,,,                 26954,,                 11085
4104,2013年04月01日至2013年06月30日,,,              1255983,,,                 55746,                 55746,,                128032,              1439761,,,              1052588,,                 32740,                 32740,                 71745,              1157073,                282688,                 14778,                 15232,                283142,,,                160077,,                 68466,                228543,                 54599,,,                  3657,,                132595,,                 10202,,                -11113,                114937,                169536,,                 36359,                133177,                133177,,,,,,,,,,,,,,                 10587,                143764,,                120986,                 12191,,                121991,                 21773,,,                              1.07,,,                              1.04,,                 17691,                  5021,,,,                -18668,,                  6543
4104,2013年01月01日至2013年12月31日,,,              5004368,,,                222633,                222633,,                513960,              5740961,,,              4145479,,                130562,                130562,                310146,              4586187,              1154774,                 61762,                 62638,              1155650,,,                497542,,                349455,                846997,                308653,,,                 14172,,                157344,,                 41438,,                -24030,                106048,                414701,,                 88296,                326405,                326405,,,,,,,,,,,,,,                237971,                564376,,                299942,                 26463,,                493798,                 70578,,                              2.66,                              2.66,,                              2.61,                              2.61,,                 47022,                207571,                  7211,                  3492,,                -21238,                  6087,
4104,2013年01月01日至2013年09月30日,,,              3652210,,,                166283,                166283,,                374952,              4193445,,,              3022632,,                 97853,                 97853,                219133,              3339618,                853827,                 46148,                 47073,                854752,,,                422467,,                231447,                653914,                200838,,,                 10410,,                193645,,                 30062,,                -13147,                160846,                361684,,                 67548,                294136,                294136,,,,,,,,,,,,,,                209460,                503596,,                260875,                 33261,,                447241,                 56355,,                              2.31,                              2.31,,                              2.26,                              2.26,,                 15747,                204879,,                              0,,                  8494,,                -19660
4104,2013年01月01日至2013年06月30日,,,              2386082,,,                110129,                110129,,                251761,              2747972,,,              1969386,,                 61509,                 61509,                143968,              2174863,                573109,                 28365,                 29415,                574159,,,                290582,,                156224,                446806,                127353,,,                  6028,,                145492,,                 19421,,                -10122,                121977,                249330,,                 51650,                197680,                197680,,,,,,,,,,,,,,                252778,                450458,,                174673,                 23007,,                406848,                 43610,,                              1.55,                              1.55,,                              1.52,                              1.52,,                 53308,                248675,,                              0,,                -18460,                 30745,
4104,2013年01月01日至2013年03月31日,,,              1130099,,,                 54383,                 54383,,                123729,              1308211,,,                916798,,                 28769,                 28769,                 72223,              1017790,                290421,                 13587,                 14183,                291017,,,                130505,,                 87758,                218263,                 72754,,,                  2371,,                 12897,,                  9219,,                    991,                  7040,                 79794,,                 15291,                 64503,                 64503,,,,,,,,,,,,,,                242191,                306694,,                 53688,                 10815,,                284858,                 21836,,,                              0.48,,,                              0.47,,                 35617,                243654,,                              0,,                    208,                 37288,
4104,2012年07月01日至2012年09月30日,,,              1252083,,,                 57060,                 57060,,                125964,              1435107,,,              1026663,,                 27914,                 27914,                 63131,              1117708,                317399,                    939,                    988,                317448,,,                134155,,                 99447,                233602,                 83846,,,                  6001,,                 48933,,                  9138,,                  8460,                 54256,                138102,,                 28528,                109574,                109574,,,,,,,,,,,,,,                -39140,                 70434,,                 96223,                 13351,,                 60929,                  9505,,                              0.85,                              0.85,,                              0.83,                              0.83,,                -56954,                  2168,,,,                  8484,,                  7162
4104,2012年04月01日至2012年06月30日,,,              1467762,,,                 59699,                 59699,,                125864,              1653325,,,              1188902,,                 26607,                 26607,                 69867,              1285376,                367949,                  3153,                  5569,                370365,,,                151689,,                102694,                254383,                115982,,,                  5875,,                    659,,                  9958,,                 12154,                  8730,                124712,,                 32051,                 92661,                 92661,,,,,,,,,,,,,,                133230,                225891,,                 61019,                 31642,,                192662,                 33229,,,                              0.54,,,                              0.54,,                 13906,                166854,,,,                 -7722,,                -39808
4104,2012年01月01日至2012年12月31日,,,              5278138,,,                227771,                227771,,                491062,              5996971,,,              4253330,,                120942,                120942,                262595,              4636867,              1360104,                 29048,                 29274,              1360330,,,                578111,,                397808,                975919,                384411,,,                 18857,,                 83964,,                 41000,,                  2848,                 64669,                449080,,                 95200,                353880,                353880,,,,,,,,,,,,,,                211305,                565185,,                270784,                 83096,,                477275,                 87910,,                              2.40,                              2.40,,                              2.37,                              2.37,,                -48856,                275464,                  4650,                              0,,                 16578,                 36531,
4104,2012年01月01日至2012年09月30日,,,              4027777,,,                171781,                171781,,                371254,              4570812,,,              3232500,,                 89841,                 89841,                198746,              3521087,              1049725,                 22429,                 24439,              1051735,,,                433399,,                292129,                725528,                326207,,,                 14649,,                 53570,,                 31712,,                 27094,                 63601,                389808,,                 82222,                307586,                307586,,,,,,,,,,,,,,                 95227,                402813,,                222966,                 84620,,                319479,                 83334,,                              1.97,                              1.97,,                              1.95,                              1.95,,                -79940,                190928,,,,                 10615,,                -26376
4104,2012年01月01日至2012年06月30日,,,              2775694,,,                114721,                114721,,                245290,              3135705,,,              2205837,,                 61927,                 61927,                135615,              2403379,                732326,                 21490,                 23451,                734287,,,                299244,,                192682,                491926,                242361,,,                  8648,,                  4637,,                 22574,,                 18634,                  9345,                251706,,                 53694,                198012,                198012,,,,,,,,,,,,,,                134367,                332379,,                126743,                 71269,,                258550,                 73829,,,                              1.12,,,                              1.11,,                -22986,                188760,,,,                  2131,,                -33538
4104,2012年01月01日至2012年03月31日,,,              1307932,,,                 55022,                 55022,,                119426,              1482380,,,              1062247,,                 30502,                 30502,                 25254,              1118003,                364377,                 18337,                 17882,                363922,,,                147555,,                 89988,                237543,                126379,,,                  7797,,                 -1046,,                 12616,,                  6480,                    615,                126994,,                 21643,                105351,                105351,,,,,,,,,,,,,,                  1137,                106488,,                 65724,                 39627,,                 65888,                 40600,,,                              0.58,,,                              0.58,,                -36892,                 21906,,,,                  9853,                 -6270,
