證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益
2032,2013年07月01日至2013年09月30日,,,                866501,                866501,,                820483,                 46018,                 46018,,,                 16425,,                  9956,                 26381,                 19637,,,                  1474,,                   -164,,                    132,,                    452,                  1630,                 21267,,                  3595,                 17672,                 17672,,,,,                              0,                 17672,,                              0.14,,                              0.14,,                869521,                  2996,                     24,,,,                              0,,,,,,,,
2032,2013年04月01日至2013年06月30日,,,                895886,                895886,,                900259,                 -4373,                 -4373,,,                 15342,,                  7769,                 23111,                -27484,,,                    513,,                    485,,                    269,,                  4731,                  5460,                -22024,,                 -3388,                -18636,                -18636,,,,,                              0,                -18636,,                             -0.14,,                             -0.14,,                899258,                  3268,                    104,,,,                              0,,,,,,,,
2032,2013年01月01日至2013年12月31日,,,              3484026,              3484026,,              3346378,                137648,                137648,,,                 65641,,                 38218,                103859,                 33789,,,                  5205,,                    274,,                  1026,,                 11518,                 15971,                 49760,,                  7846,                 41914,                 41914,,,,,                  5488,                 47402,,                              0.32,,                              0.32,,              3494838,                 10083,                    729,                  4676,,                    812,,,,,,,,,
2032,2013年01月01日至2013年09月30日,,,              2638664,              2638664,,              2545055,                 93609,                 93609,,,                 48889,,                 27900,                 76789,                 16820,,,                  4849,,                    969,,                    942,,                  7833,                 12709,                 29529,,                  4691,                 24838,                 24838,,,,,                              0,                 24838,,                              0.19,,                              0.19,,              2647350,                  8355,                    331,,,,                              0,,,,,,,,
2032,2013年01月01日至2013年06月30日,,,              1772163,              1772163,,              1724572,                 47591,                 47591,,,                 32464,,                 17944,                 50408,                 -2817,,,                  3375,,                  1133,,                    810,,                  7381,                 11079,                  8262,,                  1096,                  7166,                  7166,,,,,                              0,                  7166,,                              0.05,,                              0.05,,              1777829,                  5359,                    307,,,,                              0,,,,,,,,
2032,2013年01月01日至2013年03月31日,,,                876277,                876277,,                824313,                 51964,                 51964,,,                 17122,,                 10175,                 27297,                 24667,,,                  2862,,                    648,,                    541,,                  2650,                  5619,                 30286,,                  4484,                 25802,                 25802,,,,,                              0,                 25802,,                              0.20,,                              0.20,,                878571,                  2091,                    203,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0
2032,2012年07月01日至2012年09月30日,,,              1121071,              1121071,,              1091720,                 29351,                 29351,,,                 21255,,                  9384,                 30639,                 -1288,,,                   -239,,                   -556,,                    743,,                  3040,                  1502,                    214,,                 -2366,                  2580,                  2580,,,,,                              0,                  2580,,                              0.02,,                              0.02,,              1126580,                  5268,                    241,,,,                              0,,,,,,,,
2032,2012年04月01日至2012年06月30日,,,              1111766,              1111766,,              1101550,                 10216,                 10216,,,                 18702,,                  9676,                 28378,                -18162,,,                 -1486,,                   -916,,                    883,,                  3920,                    635,                -17527,,                 -3005,                -14522,                -14522,,,,,                              0,                -14522,,                             -0.11,,                             -0.11,,              1116106,                  4035,                    305,,,,                              0,,,,,,,,
2032,2012年01月01日至2012年12月31日,,,              4175240,              4175240,,              4061311,                113929,                113929,,,                 75462,,                 38457,                113919,                     10,,,                  2819,,                 -2168,,                  3342,,                 12260,                  9569,                  9579,,                 -3109,                 12688,                 12688,,,,,                    246,                 12934,,                              0.10,,                              0.10,,              4192650,                 16373,                  1037,                   -460,,                    706,,,,,,,,,
2032,2012年01月01日至2012年09月30日,,,              3213070,              3213070,,              3129505,                 83565,                 83565,,,                 58876,,                 28798,                 87674,                 -4109,,,                  1981,,                 -2045,,                  2746,,                  9940,                  7130,                  3021,,                 -2859,                  5880,                  5880,,,,,                              0,                  5880,,                              0.05,,                              0.05,,              3226836,                 13090,                    676,,,,                              0,,,,,,,,
2032,2012年01月01日至2012年06月30日,,,              2091999,              2091999,,              2037785,                 54214,                 54214,,,                 37621,,                 19414,                 57035,                 -2821,,,                  2220,,                 -1489,,                  2003,,                  6900,                  5628,                  2807,,                   -493,                  3300,                  3300,,,,,                              0,                  3300,,                              0.03,,                              0.03,,              2100256,                  7822,                    435,,,,                              0,,,,,,,,
2032,2012年01月01日至2012年03月31日,,,                980233,                980233,,                936235,                 43998,                 43998,,,                 18919,,                  9738,                 28657,                 15341,,,                  3706,,                   -573,,                  1120,,                  2980,                  4993,                 20334,,                  2512,                 17822,                 17822,,,,,                              0,                 17822,,                              0.14,,                              0.14,,                984150,                  3787,                    130,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0
