證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　　 沖銷逾期應付款利益,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 壞帳轉回利益,　　　 賠償損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 處分投資性不動產利益,　　　　 銀行存款利息,　　　　 無活絡市場債券投資利息收入,　　　 處分投資性不動產損失
1616,2013年度,,,,              3418600,                    106,                  3660,              3414834,              3414834,,,              3329626,              3329626,                 85208,                 85208,,,                 70793,,                107370,,                 17479,                195642,               -110434,,,                 26384,,                102500,,                 31287,                 97597,                -12837,,                -16103,                  3266,                  3266,,,,,,                 15776,                 19042,,                  3266,,                 19042,,                              0.02,,,,,,,,,,,,                 22546,                 -2937,                  3833,,,,,,,,,
1616,2013年07月01日至2013年09月30日,,,,                873755,                     -1,                    586,                873170,                873170,,,                852774,                852774,                 20396,                 20396,,,                 17555,,                 27587,,                  6609,                 51751,                -31355,,,                  5689,,                 22284,,                  7605,                 20368,                -10987,,                  7487,                -18474,                -18474,,,,,,                 -8891,                -27365,,                -18474,,                -27365,,                             -0.10,,,,                  5262,                              0,                  8580,                 21345,                  7637,                      4,                              0,,                -10712,,                 -1821,                    427,,,,,,,,
1616,2013年04月01日至2013年06月30日,,,,                914371,                    106,                    341,                913924,                913924,,,                905703,                905703,                  8221,                  8221,,,                 18697,,                 25103,,                  3909,                 47709,                -39488,,,                  6807,,                -17239,,                  7789,                -18221,                -57709,,                -22637,                -35072,                -35072,,,,,,                  5904,                -29168,,                -35072,,                -29168,,                             -0.18,,,,                  7014,,                              0,                              0,                  6706,,                  5156,                  5377,                  7113,,                  1209,                   -207,,,,,                              0,,,
1616,2013年01月01日至2013年12月31日,,,,              3418600,                    106,                  3660,              3414834,              3414834,,,              3329626,              3329626,                 85208,                 85208,,,                 70793,,                107370,,                 17479,                195642,               -110434,,,                 26384,,                102500,,                 31287,                 97597,                -12837,,                -16103,                  3266,                  3266,,,,,,                 15776,                 19042,,                  3266,,                 19042,,                              0.02,,                  7700,,                 14684,                 95078,                              0,                 52819,                  4237,,                 17864,,                 22546,                 -2937,                  3833,                  4000,                 13296,,                 10000,                 10000,,,,
1616,2013年01月01日至2013年09月30日,,,,              2493139,                    105,                  3280,              2489754,              2489754,,,              2443821,              2443821,                 45933,                 45933,,,                 52373,,                 79051,,                 13576,                145000,                -99067,,,                 15109,,                 97789,,                 23594,                 89304,                 -9763,,                -15615,                  5852,                  5852,,,,,,                 11757,                 17609,,                  5852,,                 17609,,                              0.03,,,,,,,,,,,,                 14165,,                  2408,,,,,,,,,
1616,2013年01月01日至2013年06月30日,,,,              1619384,                    106,                  2694,              1616584,              1616584,,,              1591047,              1591047,                 25537,                 25537,,,                 34818,,                 51464,,                  6967,                 93249,                -67712,,,                  9847,,                 75078,,                 15989,                 68936,                  1224,,                -23102,                 24326,                 24326,,,,,,                 20648,                 44974,,                 24326,,                 44974,,                              0.13,,,,,,,,,,,,                 24877,,                  4229,,,,,,,,,
1616,2013年01月01日至2013年03月31日,,,,                705013,,                  2353,                702660,                702660,,,                685344,                685344,                 17316,                 17316,,,                 16121,,                 26361,,                  3058,                 45540,                -28224,,,                  2833,,                 92524,,                  8200,                 87157,                 58933,,                   -465,                 59398,                 59398,,,,,,                 14744,                 74142,,                 59398,,                 74142,,                              0.31,,                  1243,,                  1590,                 94239,,                 20155,                  1321,                              0,                 20549,                              0,                 17764,,                  3020,,,,,,,,,
1616,2012年07月01日至2012年09月30日,,,,              1172055,                    663,                    332,              1171060,              1171060,,,              1116210,              1116210,                 54850,                 54850,,,                 18264,,                 27655,,                  2553,                 48472,                  6378,,,                 11011,,                 13906,,                  8425,                 16492,                 22870,,                  2213,                 20657,                 20657,,,,,,                -11723,                  8934,,                 20657,,                  8934,,                              0.11,,,,                 10510,                              0,                 21637,                  1964,                  7869,                  1826,                              0,,                -14123,,                 -2400,                    501,,,,,,,,
1616,2012年04月01日至2012年06月30日,,,,              1150917,                  2102,                    529,              1148286,              1148286,,,              1085502,              1085502,                 62784,                 62784,,,                 16266,,                 26738,,                  2555,                 45559,                 17225,,,                  5051,,                -10433,,                  8238,                -13620,                  3605,,                    240,                  3365,                  3365,,,,,,                  1846,                  5211,,                  3365,,                  5211,,                              0.02,,,,                  4885,,                              0,                  6675,                  3691,,                 14742,                              0,                  2223,,                    377,                    166,,,,,                  1325,,,
1616,2012年01月01日至2012年12月31日,,,,              4313242,                    221,                  4879,              4308142,              4308142,,,              4127849,              4127849,                180293,                180293,,,                 70687,,                108048,,                 10730,                189465,                 -9172,,,                 35974,,                 24445,,                 33051,                 27368,                 18196,,                  5516,                 12680,                 12680,,,,,,                -21677,                 -8997,,                 12680,,                 -8997,,                              0.07,,                  1504,,                 24318,                  1450,                 40346,                    340,                  8936,,                              0,,                -28084,                  1633,                 -4774,                 10152,                  8755,,                              0,                              0,,,,
1616,2012年01月01日至2012年09月30日,,,,              3298622,                  2922,                  1232,              3294468,              3294468,,,              3140572,              3140572,                153896,                153896,,,                 51544,,                 80748,,                  7545,                139837,                 14059,,,                 29485,,                 25728,,                 24952,                 30261,                 44320,,                  5516,                 38804,                 38804,,,,,,                -22632,                 16172,,                 38804,,                 16172,,                              0.20,,,,                 18282,                              0,                 32662,                  7094,                 13452,                    576,                              0,,                -27267,,                 -4635,                 11203,,,,,,,,
1616,2012年01月01日至2012年06月30日,,,,              2126567,                  2259,                    900,              2123408,              2123408,,,              2024362,              2024362,                 99046,                 99046,,,                 33280,,                 53093,,                  4992,                 91365,                  7681,,,                 18474,,                 11822,,                 16527,                 13769,                 21450,,                  3303,                 18147,                 18147,,,,,,                -10909,                  7238,,                 18147,,                  7238,,                              0.10,,,,                  7772,,                 11025,                  5130,                  5583,,                              0,                              0,                -13144,,                 -2235,                 10702,,,,,                  1250,,,
1616,2012年01月01日至2012年03月31日,,,,                975650,                    157,                    371,                975122,                975122,,,                938860,                938860,                 36262,                 36262,,,                 17014,,                 26355,,                  2437,                 45806,                 -9544,,,                 13423,,                 22255,,                  8289,                 27389,                 17845,,                  3063,                 14782,                 14782,,,,,,                -12755,                  2027,,                 14782,,                  2027,,                              0.08,,                    203,,                  2684,,                 25767,                 -1545,                  1892,,                              0,,                -15367,,                 -2612,                 10536,,,,,                              0,                    203,                              0,                     75
