證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 外幣兌換損失,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
2030,2013年第3季,,,              3169185,              3169185,,              2941307,                227878,                227878,,,                152734,,                 49522,                202256,                 25622,,,                  1543,,                  6341,                  1566,                  4775,,                 40585,                 40585,                -34267,                 -8645,,                  6280,                -14925,                -14925,,,,,,                -19638,                -34563,,                -14913,,                -34551,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,                -20403,                    765,,,                    -12,                    -12,,,,,
2030,2013年第2季,,,,              3401901,,              3181533,                220368,                220368,,,                153556,,                 45433,                198989,                 21379,,,                  3003,,                 15745,                    139,                 15606,,                 39274,                 39274,                -20665,                    714,,                  3955,                 -3241,                 -3241,,,,,,                 40444,                 37203,,                 -3253,,                 37221,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,                 41089,                   -645,,,                     12,                    -18,                              0,,,,
2030,2013年度,,,,             12983533,,             11998244,                985289,                985289,,,                609532,,                195811,                805343,                179946,,,                 12373,,                 44526,                  4794,                 39732,,                158668,                158668,               -106563,                 73383,,                 35684,                 37699,                 37699,,,,,,                119014,                156713,,                 37729,,                156743,,                              0.15,                              0.15,,                              0.15,                              0.15,                111886,                    565,                  8426,                  1863,                    -30,                    -30,,,,,
2030,2013年07月01日至2013年09月30日,,,              3169185,              3169185,,              2941307,                227878,                227878,,,                152734,,                 49522,                202256,                 25622,,,                  1543,,                  6341,                  1566,                  4775,,                 40585,                 40585,                -34267,                 -8645,,                  6280,                -14925,                -14925,,,,,,                -19638,                -34563,,                -14913,,                -34551,,                             -0.06,                             -0.06,,,,                -20403,                    765,,,                    -12,                    -12,,,              3176494,                    553,                  6756
2030,2013年04月01日至2013年06月30日,,,              3401901,              3401901,,              3181533,                220368,                220368,,,                153556,,                 45433,                198989,                 21379,,,                  3003,,                 15745,                    139,                 15606,,                 39274,                 39274,                -20665,                    714,,                  3955,                 -3241,                 -3241,,,,,,                 40444,                 37203,,                 -3253,,                 37221,,                             -0.01,                             -0.01,,,,                 41089,                   -645,,,                     12,                    -18,                              0,,              3410878,                    166,                  8811
2030,2013年01月01日至2013年12月31日,,,             12983533,             12983533,,             11998244,                985289,                985289,,,                609532,,                195811,                805343,                179946,,,                 12373,,                 44526,                  4794,                 39732,,                158668,                158668,               -106563,                 73383,,                 35684,                 37699,                 37699,,,,,,                119014,                156713,,                 37729,,                156743,,                              0.15,                              0.15,,,,                111886,                    565,                  8426,                  1863,                    -30,                    -30,,,,,
2030,2013年01月01日至2013年09月30日,,,              9853670,              9853670,,              9129850,                723820,                723820,,,                461325,,                137604,                598929,                124891,,,                  9288,,                 25559,                  1860,                 23699,,                117753,                117753,                -84766,                 40125,,                 22951,                 17174,                 17174,,,,,,                 78429,                 95603,,                 17204,,                 95633,,                              0.07,                              0.07,,                              0.07,                              0.07,                 78019,                    410,,,                    -30,                    -30,,,              9887122,                    834,                 32618
2030,2013年01月01日至2013年06月30日,,,,              6684485,,              6188543,                495942,                495942,,,                308591,,                 88082,                396673,                 99269,,,                  7745,,                 19218,                    294,                 18924,,                 77168,                 77168,                -50499,                 48770,,                 16671,                 32099,                 32099,,,,,,                 98067,                130166,,                 32117,,                130184,,                              0.12,                              0.12,,                              0.12,                              0.12,                 98422,                   -355,,,                    -18,                    -18,                              0,,,,
2030,2013年01月01日至2013年03月31日,,,,              3282584,,              3007010,                275574,                275574,,,                155035,,                 42649,                197684,                 77890,,,                  4742,,                  3473,                    155,                  3318,,                 37894,                 37894,                -29834,                 48056,,                 12716,                 35340,                 35340,,,,,,                 57623,                 92963,,                 35370,,                 92963,,                              0.14,                              0.14,,,,                 57333,                    290,,,                    -30,,,,,,
2030,2012年07月01日至2012年09月30日,,,              3600660,              3600660,,              3453743,                146917,                146917,,,                167124,,                 50856,                217980,                -71063,,,                  1531,,                 10341,                    908,                  9433,,                 40693,                 40693,                -29729,               -100792,,                -15822,                -84970,                -84970,,,,,,                -41167,               -126137,,                -84977,,               -126143,,                             -0.32,                             -0.32,,,,                -41560,                    393,,,                      7,                      6,,,              3614736,                    499,                 13577
2030,2012年04月01日至2012年06月30日,,,              4236102,              4236102,,              4043022,                193080,                193080,,,                186244,,                 46652,                232896,                -39816,,,                  3454,,                              0,                   -177,                -11954,,                 44876,                 44876,                -53376,                -93192,,                -17208,                -75984,                -75984,,,,,,                 14619,                -61365,,                -75986,,                -61365,,                             -0.29,                             -0.29,,,,                 14286,                    333,,,                      2,                              0,                 12131,,              4302957,                    329,                 66526
2030,2012年01月01日至2012年12月31日,,,             15015917,             15015917,,             14424272,                591645,                591645,,,                650740,,                203723,                854463,               -262818,,,                 11406,,                 21548,                  1364,                 20184,,                168677,                168677,               -137087,               -399905,,                -44798,               -355107,               -355107,,,,,,                -58770,               -413877,,               -355088,,               -413859,,                             -1.35,                             -1.35,,,,                -74077,                 12773,                  2534,                              0,                    -19,                    -18,,,,,
2030,2012年01月01日至2012年09月30日,,,             11650726,             11650726,,             11166605,                484121,                484121,,,                508082,,                141334,                649416,               -165295,,,                 11347,,                  7633,                  1442,                  6191,,                130095,                130095,               -112557,               -277852,,                -47182,               -230670,               -230670,,,,,,                -60225,               -290895,,               -230681,,               -290904,,                             -0.87,                             -0.87,,,,                -72973,                 12748,,,                     11,                      9,,,             11742512,                  1595,                 90191
2030,2012年01月01日至2012年06月30日,,,              8050066,              8050066,,              7712862,                337204,                337204,,,                340958,,                 90478,                431436,                -94232,,,                  9816,,                              0,                    534,                 -3242,,                 89402,                 89402,                -82828,               -177060,,                -31360,               -145700,               -145700,,,,,,                -19058,               -164758,,               -145704,,               -164761,,                             -0.55,                             -0.55,,,,                -31413,                 12355,,,                      4,                      3,                  2708,,              8127776,                  1096,                 76614
2030,2012年01月01日至2012年03月31日,,,,              3813964,,              3669840,                144124,                144124,,,                154714,,                 43826,                198540,                -54416,,,                  6362,,                  9423,                    711,                  8712,,                 44526,                 44526,                -29452,                -83868,,                -14152,                -69716,                -69716,,,,,,                -33676,               -103392,,                -69718,,               -103392,,                             -0.26,                             -0.26,,,,                -45698,                 12022,,,                      2,,,,,,
