證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 金融資產減損迴轉利益,　　　　 減損迴轉利益合計,　　　 外幣兌換損失,　　　 利息費用,　　　 可能重分類至損益之其他項目,　　　 廉價購買利益,　　　 處分投資性不動產利益,　　　 減損損失,　　　　 減損損失合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）
1611,2014年01月01日至2014年03月31日,,,                749942,                749942,,,                557807,                557807,                192135,                              0,                    760,                192895,,,                 52084,,                 62005,,                 33547,                147636,                 45259,,,,                  1306,                  3579,,                 19209,,                 15670,,                -44119,                -37001,                  8258,,                  6089,                  2169,                  2169,,,,,,,,,                 23674,                              0,,                 23674,,                 -3599,,,                   -666,                   -475,                 -3790,                 19884,                 22053,,                  2463,                   -294,,                 22347,                   -294,,,                              0.01,,,                              0.01,                 23674,,                749942,                749942,                557807,                  2273,                    126,                  4792,                  6050,                  8241,,                              0,                              0,                              0,                 15670,                              0,,,,,,,,,,,,,,
1611,2013年第3季,,,                727103,                727103,,,                554704,                554704,                172399,                              0,                    285,                172684,,,                 50039,,                 66482,,                 40275,                156796,                 15888,,,,                    671,                    671,,                  1948,,                 13901,,                  1762,                 -9520,                  6368,,                  2054,                  4314,                  4314,,,,,,,,,,,,,,,,,,,,                  2885,                  7199,,                  4909,                   -595,,                  7794,                   -595,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,,,,,,,,,                 -5248,                 10500,,,                 -3927,                  1560,,
1611,2013年第2季,,,                779379,                779379,,,                618100,                618100,                161279,                              0,                    195,                161474,,,                 50415,,                 65496,,                 44283,                160194,                  1280,,,,                  1398,                  1398,,                 -6466,,                 58739,,                 -8425,                -72232,                -70952,,                  1453,                -72405,                -72405,,,,,,,,,,,,,,,,,,,,               -101814,               -174219,,                -70745,                 -1660,,               -172559,                 -1660,,,                             -0.18,,,                             -0.18,,,,,,,,,,,,,,,,,,,,,,,                    360,               -105008,,,                  3489,                   -655,,
1611,2013年度,,,              3202980,              3202980,,,              2509039,              2509039,                693941,                  6880,                              0,                687061,,,                355756,,                274725,,                165833,                796314,               -109253,,,,                  5199,                271139,,               -470360,,                102447,,                -73220,               -374888,               -484141,,                 61496,               -545637,               -545637,,,,,,,,,,,,,,,,,,,,                101697,               -443940,,               -539469,                 -6168,,               -437772,                 -6168,,                             -1.35,                             -1.35,,                             -1.35,                             -1.35,,,,              3202980,,                 89307,,,,,,,,,,,                176633,                151006,,                621366,,                              0,                  9982,                 72502,                 14058,,                 10932,                 -5777,,
1611,2013年07月01日至2013年09月30日,,,,                727103,,,,                554704,                172399,                   -285,,                172684,,,                 50039,,                 66482,,                 40275,                156796,                 15888,,,,                    671,                    671,,                  1948,,                 13901,,                  1762,                 -9520,                  6368,,                  2054,                  4314,                  4314,,,,,,,,,,,,,,,,,,,,                  2885,                  7199,,                  4909,                   -595,,                  7794,                   -595,,,                              0.01,,,                              0.01,,,,,,,,,,,,,,,,,,,,,,,                 -5248,                 10500,,,                 -3927,                  1560,,                              0
1611,2013年04月01日至2013年06月30日,,,                779379,                779379,,,                618100,                618100,                161279,                   -195,,                161474,,,                 50415,,                 65496,,                 44283,                160194,                  1280,,,,                  1398,                  1398,,                 -6466,,                 58739,,                 -8425,                -72232,                -70952,,                  1453,                -72405,                -72405,,,,,,,,,,,,,,,,,,,,               -101814,               -174219,,                -70745,                 -1660,,               -172559,                 -1660,,,                             -0.18,,,                             -0.18,,,,,,,,,,,,,,,,,,,,,,,                    360,               -105008,,,                  3489,                   -655,,
1611,2013年01月01日至2013年12月31日,,,,              3202980,,,,              2509039,                693941,                  6880,,                687061,,,                355756,,                274725,,                165833,                796314,               -109253,,,,                  5199,                271139,,               -470360,,                102447,,                -73220,               -374888,               -484141,,                 61496,               -545637,               -545637,,,,,,,,,,,,,,,,,,,,                101697,               -443940,,               -539469,                 -6168,,               -437772,                 -6168,,,                             -1.35,,,                             -1.35,,,,,,                 89307,,,,,,,,,,,                176633,                151006,,                621366,,,                  9982,                 72502,                 14058,,                 10932,                 -5777,,
1611,2013年01月01日至2013年09月30日,,,              2565701,              2565701,,,              2040774,              2040774,                524927,                    924,                              0,                524003,,,                157027,,                178733,,                127475,                463235,                 60768,,,,                  2913,                  2913,,                 66617,,                 85824,,                -14139,                -30433,                 30335,,                 22020,                  8315,                  8315,,,,,,,,,,,,,,,,,,,,                 22185,                 30500,,                 11972,                 -3657,,                 34157,                 -3657,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,                 -3803,                 19251,,,                  7128,                   -391,,                              0
1611,2013年01月01日至2013年06月30日,,,              1838598,              1838598,,,              1486070,              1486070,                352528,                  1209,                              0,                351319,,,                106988,,                112251,,                 87200,                306439,                 44880,,,,                  2242,                  2242,,                 64669,,                 71923,,                -15901,                -20913,                 23967,,                 19966,                  4001,                  4001,,,,,,,,,,,,,,,,,,,,                 19300,                 23301,,                  7063,                 -3062,,                 26363,                 -3062,,,                              0.02,,,                              0.02,,,,,,,,,,,,,,,,,,,,,,,                  1445,                  8751,,,                 11055,                 -1951,,
1611,2013年01月01日至2013年03月31日,,,              1059219,              1059219,,,                867970,                867970,                191249,                  1404,                              0,                189845,,,                 56573,,                 46755,,                 42917,                146245,                 43600,,,,                    844,                  2395,,                 69584,,                 13184,,                 -7476,                 51319,                 94919,,                 18513,                 76406,                 76406,,,,,,,,,,,,,,,,,,,,                121114,                197520,,                 77808,                 -1402,,                198922,                 -1402,,,                              0.20,,,                              0.16,,,              1059219,              1059219,                867970,                  1551,                              0,                              0,                 15065,                  5515,,                 49004,                 49004,,                 13184,,,,,,,,                  1085,                113759,,,                  7566,,                  1296,
1611,2012年07月01日至2012年09月30日,,,,              1824592,,,,              1494057,                330535,                 -1687,,                332222,,,                 72338,,                 30110,,                 32835,                135283,                196939,,,,                    785,                    785,,               -393006,,                 10667,,                 -1884,               -404772,               -207833,,                 25227,               -233060,               -233060,,,,,,,,,,,,,,,,,,,,                -45603,               -278663,,               -232645,                   -415,,               -278550,                   -113,,,                             -0.58,,,                             -0.58,,,,,,,,,,,,,,,,,,,,,,,                   -622,                              0,,,                -44585,                   -396,,                              0
1611,2012年04月01日至2012年06月30日,,,              1846923,              1846923,,,              1500087,              1500087,                346836,                  4961,,                341875,,,                 55402,,                 59143,,                 32081,                146626,                195249,,,,                  1439,                  1439,,                 11742,,                  8943,,                  8138,                 12376,                207625,,                 32513,                175112,                175112,,,,,,,,,,,,,,,,,,,,                  1003,                176115,,                175736,                   -624,,                174936,                  1179,,,                              0.44,,,                              0.41,,,,,,,,,,,,,,,,,,,,,,,                  3605,                              0,,,                 -1667,                   -935,,
1611,2012年01月01日至2012年12月31日,,,,              7071037,,,,              5733699,              1337338,                  7789,,              1329549,,,                281171,,                214821,,                140293,                636285,                693264,,,,                  4312,                 37409,,               -387304,,                 41540,,                -93283,               -484718,                208546,,                105693,                102853,                102853,,,,,,,,,,,,,,,,,,,,                -26985,                 75868,,                107630,                 -4777,,                 80645,                 -4777,,,                              0.27,,,                              0.27,,,,,,                 33097,,,,,,,,,,,                              0,                              0,,                387304,,,                 -1542,                              0,                 -1879,,                -26155,                  2591,,
1611,2012年01月01日至2012年09月30日,,,,              5365287,,,,              4352582,              1012705,                  3274,,              1009431,,,                206218,,                143609,,                 98444,                448271,                561160,,,,                  2998,                  2998,,               -375075,,                 28298,,                -25972,               -426347,                134813,,                 85469,                 49344,                 49344,,,,,,,,,,,,,,,,,,,,                -24588,                 24756,,                 50750,                 -1406,,                 26162,                 -1406,,,                              0.13,,,                              0.13,,,,,,,,,,,,,,,,,,,,,,,                 -1226,                              0,,,                -24117,                    755,,                              0
1611,2012年01月01日至2012年06月30日,,,              3540695,              3540695,,,              2858525,              2858525,                682170,                  4961,,                677209,,,                133880,,                113499,,                 65609,                312988,                364221,,,,                  2213,                  2213,,                 17931,,                 17631,,                -24088,                -21575,                342646,,                 60242,                282404,                282404,,,,,,,,,,,,,,,,,,,,                 21015,                303419,,                283395,                   -991,,                304712,                 -1293,,,                              0.71,,,                              0.67,,,,,,,,,,,,,,,,,,,,,,,                   -604,                              0,,,                 20468,                  1151,,
1611,2012年01月01日至2012年03月31日,,,              1693772,              1693772,,,              1358438,              1358438,                335334,                              0,,                335334,,,                 78478,,                 54356,,                 33528,                166362,                168972,,,,,                  6963,,,,                  8688,,                -32226,                -33951,                135021,,                 27729,                107292,                107292,,,,,,,,,,,,,,,,,,,,                 20012,                127304,,                107659,                   -367,,                129776,                 -2472,,,                              0.27,,,                              0.26,,,              1693772,              1693772,              1358438,                  6963,,,,,,,,,                  8688,,,,,,,,                 -4209,                              0,,,                 22135,,                 -2086,
