證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額
2614,2014年01月01日至2014年06月30日,,              6412254,,              6497310,                -85056,                -85056,,              1924793,             -2009849,,,                 39801,,               -637337,,                193514,,                 99882,               -691168,             -2701017,,                 28183,             -2729200,             -2729200,,,                  5268,,                -11821,                 -6553,                 -6553,             -2735753,,             -2641468,                -87732,,             -2657111,                -78642,,                             -3.80,,,,,,,,,,,,,,,,
2614,2014年01月01日至2014年03月31日,,              3128447,,              3137272,                 -8825,                 -8825,,                931432,               -940257,,,                 19514,,               -505032,,                 90135,,                 30616,               -545037,             -1485294,,                 18486,             -1503780,             -1503780,,,                 31428,,                  6154,                 37582,                 37582,             -1466198,,             -1443570,                -60210,,             -1405705,                -60493,,                             -2.07,,                693851,,                237581,                             -2.07,                              0.00,,,,,,,,,,
2614,2013年第3季,,              2799901,,              1973402,                826499,                826499,,                944165,               -117666,,,                 23205,,                709482,,                 90784,,                 52777,                694680,                577014,,                 39655,                537359,                537359,,,,,,,                 -9912,                527447,,                555923,                -18564,,                546034,                -18587,,                              0.80,,,,,,,                 20628,,,,                              0,,,,                              0,                -30540
2614,2013年第2季,,              2728288,,              2019884,                708404,                708404,,                907391,               -198987,,,                 23428,,                438989,,                101122,,                 71021,                432316,                233329,,                 28051,                205278,                205278,,,,,,,                 21606,                226884,,                189422,                 15856,,                211457,                 15427,,                              0.27,,,,,                              0.27,,                -10103,,,,                              0,,,,,                 31709
2614,2013年第1季,,              3232125,,              2304637,                927488,                927488,,                961898,                -34410,,,                 16877,,               -851536,,                 83480,,                 39531,               -878608,               -913018,,                  7912,               -920930,               -920930,,,,,,,                 61413,               -859517,,               -932523,                 11593,,               -870843,                 11326,,                             -1.34,,,,,,,                  6455,,,,,,,,,                 54958
2614,2013年度,,             11718163,,              8333502,              3384661,              3384661,,              3819187,               -434526,,,                145322,,                268043,,                368397,,                246951,                291919,               -142607,,                 88423,               -231030,               -231030,,,,,,,                150997,                -80033,,               -226209,                 -4821,,                -75212,                 -4821,,                             -0.33,,,,,,,                 49964,                 13691,,                 77151,                -10191,,                             -0.33,,,
2614,2013年07月01日至2013年09月30日,,              2799901,,              1973402,                826499,                826499,,                944165,               -117666,,,                 76122,,                656565,,                 90784,,                 52777,                694680,                577014,,                 39655,                537359,                537359,,,,,,,                 -9912,                527447,,                555923,                -18564,,                546034,                -18587,,                              0.80,,,,,,,                 20628,,,,,,,,                              0,                -30540
2614,2013年04月01日至2013年06月30日,,              2728288,,              2019884,                708404,                708404,,                907391,               -198987,,,                 23428,,                438988,,                101122,,                 71021,                432315,                233328,,                 28051,                205277,                205277,,,,,,,                 21606,                226883,,                189421,                 15856,,                211456,                 15427,,                              0.13,,,,,,,                -10103,,,,,,,,,                 31709
2614,2013年01月01日至2013年12月31日,,             11718163,,              8333501,              3384662,              3384662,,              3819187,               -434525,,,                145322,,                800572,,                368397,,                246951,                824448,                389923,,                 88423,                301500,                301500,,,,,,,                150997,                452497,,                306321,                 -4821,,                457318,                 -4821,,                              0.44,,,,,,,                 49964,                 13691,,                 87342,,,                              0.44,,,
2614,2013年01月01日至2013年09月30日,,              8760314,,              6297923,              2462391,              2462391,,              2813454,               -351063,,,                 63510,,                296935,,                275386,,                163329,                248388,               -102675,,                 75618,               -178293,               -178293,,,,,,,                 73107,               -105186,,               -187178,                  8885,,               -113352,                  8166,,                             -0.27,,,,,,,                 16980,,,,                              0,,,,                              0,                 56127
2614,2013年01月01日至2013年06月30日,,              5960413,,              4324521,              1635892,              1635892,,              1869289,               -233397,,,                 40305,,               -412547,,                184602,,                110552,               -446292,               -679689,,                 35963,               -715652,               -715652,,,,,,,                 83019,               -632633,,               -743101,                 27449,,               -659386,                 26753,,                             -1.07,,,,,                             -1.07,,                 -3648,,,,                              0,,,,,                 86667
2614,2013年01月01日至2013年03月31日,,              3232125,,              2304637,                927488,                927488,,                961898,                -34410,,,                 16877,,               -223284,,                 83480,,                 39531,               -250356,               -284766,,                  7912,               -292678,               -292678,,,,,,,                 61413,               -231265,,               -304422,                 11744,,               -242742,                 11477,,                             -0.21,,,,,,,                  6455,,,,,,,,,                 54958
2614,2012年07月01日至2012年09月30日,,              2859011,,              2257763,                601248,                601248,,              1050399,               -449151,,,                 15825,,                473604,,                 57085,,                 71286,                503630,                 54479,,                  4875,                 49604,                 49604,,,,,,,                -48070,                  1534,,                 28806,                 20798,,                -18442,                 19976,,                              0.04,,,,,,,                  1544,,,,,,,,                              0,                -49614
2614,2012年04月01日至2012年06月30日,,              2630412,,              2046596,                583816,                583816,,                962322,               -378506,,,                 24386,,               -154967,,                 54513,,                 57718,               -127376,               -505882,,                  6232,               -512114,               -512114,,,,,,,                 11616,               -500498,,               -530543,                 18429,,               -518471,                 17973,,                             -0.37,,,,,,,                -10665,,,,,,,,,                 22281
2614,2012年01月01日至2012年12月31日,,             12739576,,             11421685,              1317891,              1317891,,              4188687,             -2870796,,,                215734,,               -896559,,                282355,,                179150,               -784030,             -3654826,,                 21454,             -3676280,             -3676280,,,,,,,                -63122,             -3739402,,             -3743695,                 67415,,             -3806817,                 67415,,                             -5.38,,,,,,,                    140,                -20053,,                -43209,,,                             -5.38,,,
2614,2012年01月01日至2012年09月30日,,              8776004,,              6888504,              1887500,              1887500,,              3073594,             -1186094,,,                 50592,,               -433148,,                169596,,                158656,               -393496,             -1579590,,                 13469,             -1593059,             -1593059,,,,,,,                -49395,             -1642454,,             -1671805,                 78746,,             -1720716,                 78262,,                             -2.40,,,,,,,                -10524,,,,,,,,                              0,                -38871
2614,2012年01月01日至2012年06月30日,,              5916993,,              4630741,              1286252,              1286252,,              2023195,               -736943,,,                 34767,,               -906752,,                112511,,                 87370,               -897126,             -1634069,,                  8594,             -1642663,             -1642663,,,,,,,                 -1325,             -1643988,,             -1700611,                 57948,,             -1702274,                 58286,,                             -1.20,,,,,,,                -12068,,,,,,,,,                 10743
2614,2012年01月01日至2012年03月31日,,              3286581,,              2584145,                702436,                702436,,              1060873,               -358437,,,                 10381,,               -751785,,                 57998,,                 29652,               -769750,             -1128187,,                  2362,             -1130549,             -1130549,,,,,,,                -12941,             -1143490,,             -1170068,                 39519,,             -1183803,                 40313,,                             -0.83,,,,,,,                 -1403,,,,,,,,,                -11538
