證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 股利收入,　　　 外幣兌換利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資損失,　　　 處分不動產、廠房及設備利益
1517,2014年01月01日至2014年03月31日,,,,                900827,                900827,,                 14474,                915301,,,                771228,,                  2160,                773388,                141913,                141913,,,                 26889,,                 41949,,                 15186,                 84024,                 57889,,,,                  8290,                 20866,                 29156,,                  1430,                  2762,,                -10181,                    -24,                  8873,                 38029,                 95918,,                 23507,                 72411,                 72411,,,                 -1075,                 -9799,                -10874,                -10874,                 61537,,                 58200,                 14211,,                 52272,                  9265,,                              0.26,                              0.26,,                              0.25,                              0.25,,,,,,,,
1517,2013年第3季,,,,                961546,                961546,,                  7289,                968835,,,                785011,,                  3603,                788614,                180221,                180221,,,                 25698,,                 42063,,                 14298,                 82059,                 98162,,,,                  6118,                 20924,                 29263,,                  2141,                  3092,,                 -1177,,                    226,                 29489,                127651,,                 23804,                103847,                103847,,,,,,                  4467,                108314,,                 93292,                 10555,,                 97045,                 11269,,                              0.41,                              0.41,,                              0.41,                              0.41,                  2221,,                -14154,                 18621,,,,
1517,2013年第2季,,,,                986491,                986491,,                  2114,                988605,,,                825286,,                  2149,                827435,                161170,                161170,,,                 21325,,                 43886,,                 13725,                 78936,                 82234,,,,                  4941,                 19272,                 24213,,                    706,                  1893,,                              0,,                  5659,                 29872,                112106,,                 34557,                 77549,                 77549,,,,,,                 18726,                 96275,,                 68558,                  8991,,                 82124,                 14151,,                              0.30,                              0.30,,                              0.30,                              0.30,,                  6846,                 19838,                 -1112,,,,
1517,2013年度,,,,              3838703,              3838703,,                 37458,              3876161,,,              3218147,,                 30978,              3249125,                627036,                627036,,,                 91595,,                180415,,                 62430,                334440,                292596,,,,                 21090,                191313,                214624,,                  4652,                  8005,                  1884,,,                 24235,                238859,                531455,,                137659,                393796,                393796,,,,,,                127478,                521274,,                345245,                 48551,,                438082,                 83192,,                              1.52,                              1.52,,                              1.50,                              1.50,                  2221,                 29472,                 75853,                 55675,                 -4880,                   -830,,
1517,2013年07月01日至2013年09月30日,,,,                961546,                961546,,                  7289,                968835,,,                785011,,                  3603,                788614,                180221,                180221,,,                 25698,,                 42063,,                 14298,                 82059,                 98162,,,,                  6118,                 20924,                 29263,,                  2141,                  2242,                    589,                              0,                    261,                    226,                 29489,                127651,,                 23804,                103847,                103847,,,,,,                  4467,                108314,,                 93292,                 10555,,                 97045,                 11269,,                              0.41,                              0.41,,                              0.41,                              0.41,                  2221,                  1177,                -14154,                 18621,,,,
1517,2013年04月01日至2013年06月30日,,,,                986491,                986491,,                  2114,                988605,,,                825286,,                  2149,                827435,                161170,                161170,,,                 21325,,                 43886,,                 13725,                 78936,                 82234,,,,                  4941,                 19272,                 24213,,                    706,                  1311,                    326,                              0,                    256,                  5659,                 29872,                112106,,                 34557,                 77549,                 77549,,,,,,                 18726,                 96275,,                 68558,                  8991,,                 82124,                 14151,,                              0.30,                              0.30,,                              0.30,                              0.30,,                  6846,                 19838,                 -1112,,,                              0,
1517,2013年01月01日至2013年12月31日,,,,              3838703,              3838703,,                 37458,              3876161,,,              3218147,,                 30978,              3249125,                627036,                627036,,,                 91595,,                180415,,                 62430,                334440,                292596,,,,                 21090,                191313,                214624,,                  4652,                  7139,                  1884,                              0,                    866,                 24235,                238859,                531455,,                137659,                393796,                393796,,,,,,                127478,                521274,,                345245,                 48551,,                438082,                 83192,,                              1.52,                              1.52,,                              1.50,                              1.50,                  2221,                 29472,                 75853,                 55675,                 -4880,                   -830,,                              0
1517,2013年01月01日至2013年09月30日,,,,              2866784,              2866784,,                  9928,              2876712,,,              2391627,,                  7173,              2398800,                477912,                477912,,,                 67599,,                134079,,                 44216,                245894,                232018,,,,                 14571,                 61533,                 78325,,                  1628,                  6342,,                -20174,,                 15460,                 93785,                325803,,                 81306,                244497,                244497,,,,,,                 72767,                317264,,                221954,                 22543,,                278987,                 38277,,                              0.97,                              0.97,,                              0.97,                              0.97,                  2221,,                 47345,                 25422,,,,
1517,2013年01月01日至2013年06月30日,,,,              1905238,              1905238,,                  2639,              1907877,,,              1606616,,                  3570,              1610186,                297691,                297691,,,                 41901,,                 92016,,                 29918,                163835,                133856,,,,                  8453,                 40609,                 49062,,                              0,                  3763,,                              0,,                 15234,                 64296,                198152,,                 57502,                140650,                140650,,,,,,                 68300,                208950,,                128662,                 11988,,                181942,                 27008,,                              0.56,                              0.56,,                              0.56,                              0.56,,                 18997,                 61499,                  6801,,,,
1517,2013年01月01日至2013年03月31日,,,,                918747,                918747,,                    525,                919272,,,                781330,,                  1421,                782751,                136521,                136521,,,                 20576,,                 48130,,                 16193,                 84899,                 51622,,,,                  3512,                 21337,                 24849,,                              0,                  1357,,,,                  9575,                 34424,                 86046,,                 22945,                 63101,                 63101,,,,,,                 49574,                112675,,                 60104,                  2997,,                 99818,                 12857,,                              0.26,                              0.26,,                              0.26,                              0.26,,                 12151,                 41661,                  7913,,,                  1219,
1517,2012年07月01日至2012年09月30日,,,,              1034413,              1034413,,                  1568,              1035981,,,                865392,,                              0,                865392,                170589,                170589,,,                 33418,,                 33146,,                 15797,                 82361,                 88228,,,,                  3403,                 23355,                 28450,,                    221,                    111,                    309,                  6522,                              0,                 -6721,                 21729,                109957,,                 22434,                 87523,                 87523,,,,,,                 -6662,                 80861,,                 78437,                  9086,,                 75530,                  5331,,                              0.34,                              0.34,,                              0.34,                              0.34,                  1692,                              0,                -14925,                  8263,,,,
1517,2012年04月01日至2012年06月30日,,,,              1037227,              1037227,,                              0,              1037227,,,                864640,,                    531,                865171,                172056,                172056,,,                  9870,,                 58817,,                 15974,                 84661,                 87395,,,,                  6510,                 17769,                 24279,,                  2456,                              0,                  8043,                  5926,                              0,                -11513,                 12766,                100161,,                 31655,                 68506,                 68506,,,,,,                -21203,                 47303,,                 62384,                  6122,,                 48131,                   -828,,                              0.27,                              0.27,,                              0.27,                              0.27,,                              0,                  7514,                -28717,,,                              0,
1517,2012年01月01日至2012年12月31日,,,,              4018584,              4018584,,                 11148,              4029732,,,              3374976,,                 11287,              3386263,                643469,                643469,,,                 88674,,                183818,,                 68564,                341056,                302413,,,,                 18955,                 84888,                105595,,                    117,                  2271,                              0,                 18968,                              0,                -20978,                 84617,                387030,,                 89517,                297513,                297513,,,,,,                -56820,                240693,,                268250,                 29263,,                227782,                 12911,,                              1.18,                              1.18,,                              1.17,                              1.17,                  1752,                              0,                -43197,                 -1814,                -14228,                 -2419,,                    144
1517,2012年01月01日至2012年09月30日,,,,              3073369,              3073369,,                  4836,              3078205,,,              2588567,,                  3633,              2592200,                486005,                486005,,,                 69587,,                129374,,                 47740,                246701,                239304,,,,                 12634,                 41317,                 55643,,                     87,                    374,                  8764,                 16039,                              0,                -25090,                 30553,                269857,,                 72029,                197828,                197828,,,,,,                -44981,                152847,,                181406,                 16422,,                151802,                  1045,,                              0.80,                              0.80,,                              0.79,                              0.79,                  1692,                              0,                -39748,                 -5233,,,,
1517,2012年01月01日至2012年06月30日,,,,              2038956,              2038956,,                  3268,              2042224,,,              1723175,,                  3633,              1726808,                315416,                315416,,,                 36169,,                 96228,,                 31943,                164340,                151076,,,,                  9231,                 17962,                 27193,,                              0,                    263,                  8455,                  9517,                              0,                -18369,                  8824,                159900,,                 49595,                110305,                110305,,,,,,                -38319,                 71986,,                102969,                  7336,,                 76272,                 -4286,,                              0.45,                              0.45,,                              0.45,                              0.45,,                              0,                -24823,                -13496,,,                    134,
1517,2012年01月01日至2012年03月31日,,,,              1001729,              1001729,,                  3268,              1004997,,,                858535,,                  3102,                861637,                143360,                143360,,,                 26299,,                 37411,,                 15969,                 79679,                 63681,,,,                  2721,                  4300,                  7021,,,                  4370,                    412,                  3591,,                -10963,                 -3942,                 59739,,                 17940,                 41799,                 41799,,,,,,                -17116,                 24683,,                 40585,                  1214,,                 28141,                 -3458,,                              0.18,                              0.18,,                              0.18,                              0.18,,                              0,                -32337,                 15221,,,                  2590,
