證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
5515,2014年01月01日至2014年03月31日,,              1322048,,              1257516,                 64532,                 64532,,,                 17180,,                 87516,                104696,                -40164,,,                 29273,,                -13878,,                  7094,,                   -176,                  8125,                -32039,,                 -1433,                -30606,                -30606,,,                 85245,                 10837,                 14430,                 81652,                 81652,                 51046,,                -31845,                  1239,,                 49446,                  1600,,                             -0.09,,                             -0.09,                             -0.09,                             -0.09,,,,,
5515,2013年第3季,,              1485446,,              1546971,                -61525,                -61525,,,                  8555,,                 89613,                 98168,               -159693,,,                 50804,,                 11758,,                  4074,,                   -160,                 58328,               -101365,,                  1985,               -103350,               -103350,,,,,,,                 26906,                -76444,,               -103853,                    503,,                -76698,                    254,,                             -0.29,,                              0.00,                             -0.29,                              0.00,                -60532,                 77190,,                 10248,
5515,2013年第2季,,              1657870,,              1473046,                184824,                184824,,,                  7153,,                 95190,                102343,                 82481,,,                 23915,,                 21293,,                 10239,,                   -174,                 34795,                117276,,                 50418,                 66858,                 66858,,,,,,,                 62484,                129342,,                 65331,                  1527,,                127265,                  2077,,                              0.18,,                              0.18,                              0.18,                              0.18,                 84627,                 -7850,,                -14293,
5515,2013年度,,              6465940,,              5991492,                474448,                474448,,,                 39121,,                415526,                454647,                 19801,,,                113754,,              1201881,,                 28426,,                   -689,              1286520,              1306321,,                225145,              1081176,              1081176,,,,,,,                315193,              1396369,,              1076890,                  4286,,              1390628,                  5741,,                              3.03,,                              3.02,                              3.03,                              3.02,                255565,                 96160,                  8032,                -44564,
5515,2013年07月01日至2013年09月30日,,              1485446,,              1546971,                -61525,                -61525,,,,,                 98168,                 98168,               -159693,,,                 50804,,                 11758,,                  4074,,                   -160,                 58328,               -101365,,                  1985,               -103350,               -103350,,,,,,,                 26906,                -76444,,               -103853,                    503,,                -76698,                    254,,                             -0.29,,                             -0.29,                             -0.29,                             -0.29,                -60532,                 77190,,                 10248,
5515,2013年04月01日至2013年06月30日,,              1657870,,              1473046,                184824,                184824,,,,,                102343,                102343,                 82481,,,                 23915,,                 21293,,                 10239,,                   -174,                 34795,                117276,,                 50418,                 66858,                 66858,,,,,,,                 62484,                129342,,                 65331,                  1527,,                127265,                  2077,,                              0.18,,                              0.18,                              0.18,                              0.18,                 84627,                 -7850,,                -14293,
5515,2013年01月01日至2013年12月31日,,              6465940,,              5991492,                474448,                474448,,,,,                454647,                454647,                 19801,,,                113754,,              1201881,,                 28426,,                   -689,              1286520,              1306321,,                225145,              1081176,              1081176,,,,,,,                315193,              1396369,,              1076890,                  4286,,              1390628,                  5741,,                              3.03,,                              3.02,                              3.03,                              3.02,                255565,                 96160,                  8032,                -44564,
5515,2013年01月01日至2013年09月30日,,              4380770,,              4179784,                200986,                200986,,,                 23644,,                315032,                338676,               -137690,,,                 89471,,              1145801,,                 22159,,                   -509,              1212604,              1074914,,                177918,                896996,                896996,,,,,,,                197546,              1094542,,                893603,                  3393,,              1090140,                  4402,,                              2.52,,                              2.50,                              2.52,                              2.50,                176326,                 51024,,                -29804,
5515,2013年01月01日至2013年06月30日,,              2895324,,              2632813,                262511,                262511,,,                 15089,,                225419,                240508,                 22003,,,                 38667,,              1134043,,                 18085,,                   -349,              1154276,              1176279,,                175933,              1000346,              1000346,,,,,,,                170640,              1170986,,                997456,                  2890,,              1166838,                  4148,,                              2.81,,                              2.79,                              2.81,                              2.79,                236858,                -26166,,                -40052,
5515,2013年01月01日至2013年03月31日,,              1237454,,              1159767,                 77687,                 77687,,,,,                138165,                138165,                -60478,,,                 14752,,              1112749,,                  7846,,                   -174,              1119481,              1059003,,                125515,                933488,                933488,,,,,,,                108187,              1041675,,                932125,                  1363,,              1039573,                  2102,,                              2.62,,                              2.61,                              2.62,                              2.61,                152262,                -18316,,                -25759,
5515,2012年07月01日至2012年09月30日,,              2080529,,              1933213,                147316,                147316,,,,,                112871,                112871,                 34445,,,                 48570,,                 -5671,,                 14169,,                   -182,                 28548,                 62993,,                 20825,                 42168,                 42168,,,,,,,                -82773,                -40605,,                 40074,                  2094,,                -42201,                  1596,,                              0.11,,                              0.11,                              0.11,                              0.11,               -114598,                 12428,,                 19397,
5515,2012年04月01日至2012年06月30日,,              2355916,,              2203010,                152906,                152906,,,,,                124951,                124951,                 27955,,,                 80563,,                -12836,,                 16662,,                   -195,                 50870,                 78825,,                 44055,                 34770,                 34770,,,,,,,                 50074,                 84844,,                 33857,                    913,,                 83724,                  1120,,                              0.10,,                              0.09,                              0.10,                              0.09,                 47676,                 10468,,                 -8070,
5515,2012年01月01日至2012年12月31日,,              7963654,,              7787670,                175984,                175984,,,,,                508501,                508501,               -332517,,,                147701,,              1062973,,                 62459,,                   -775,              1147440,                814923,,                384163,                430760,                430760,,,,,,,               -109167,                321593,,                424573,                  6187,,                316549,                  5044,,                              1.20,,                              1.19,                              1.20,                              1.19,               -190824,                 51023,                 -1942,                 32576,
5515,2012年01月01日至2012年09月30日,,              6362738,,              6053758,                308980,                308980,,,,,                396095,                396095,                -87115,,,                152052,,              1087948,,                 50135,,                   -591,              1189274,              1102159,,                406230,                695929,                695929,,,,,,,               -140017,                555912,,                691558,                  4371,,                552671,                  3241,,                              1.95,,                              1.94,                              1.95,                              1.94,               -188955,                 17008,,                 31930,
5515,2012年01月01日至2012年06月30日,,              4282209,,              4120545,                161664,                161664,,,,,                283224,                283224,               -121560,,,                103482,,              1093619,,                 35966,,                   -409,              1160726,              1039166,,                385405,                653761,                653761,,,,,,,                -57244,                596517,,                651484,                  2277,,                594872,                  1645,,                              1.83,,                              1.82,                              1.83,                              1.82,                -74357,                  4580,,                 12533,
5515,2012年01月01日至2012年03月31日,,              1926293,,              1917535,                  8758,                  8758,,,,,                158273,                158273,               -149515,,,                 22919,,              1106241,,                 19304,,,              1109856,                960341,,                341350,                618991,                618991,,,,,,,               -107318,                511673,,                617626,                  1365,,                511147,                    526,,                              1.74,,                              1.73,                              1.74,                              1.73,               -122033,                 -5888,,,                -20603
