證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3003,2014年01月01日至2014年03月31日,,                729222,,                517000,                212222,                212222,,,                 51047,,                 38649,,                 10469,                100165,                112057,,,                  9014,,                 19932,,                  3838,,                   -350,                 24758,                136815,,                 27707,                109108,                109108,,,                 -2150,                    525,,                    -65,                   -406,                 -1284,                 -1284,                107824,,                108294,                    814,,                106840,                    984,,                              0.75,,                              0.70,,,,
3003,2013年第3季,,                703473,,                499616,                203857,                203857,,,                 51994,,                 31916,,                 12786,                 96696,                107161,,,                  6842,,                 13262,,                  5563,,                 -2391,                 12150,                119311,,                 26314,                 92997,                 92997,,,,,,,,,                -14969,                 78028,,                 92990,                      7,,                 78034,                     -6,,                              0.67,,                              0.62,                -17903,                   -107,,                 -3041
3003,2013年第2季,,                729250,,                539588,                189662,                189662,,,                 50651,,                 35846,,                 11318,                 97815,                 91847,,,                  7136,,                 -8574,,                  5280,,                   -637,                 -7355,                 84492,,                 42684,                 41808,                 41808,,,,,,,,,                 12973,                 54781,,                 48001,                 -6193,,                 61369,                 -6588,,                              0.34,,                              0.33,                 16503,                   -658,,                  2872
3003,2013年度,,              2782808,,              2025536,                757272,                757272,,,                199293,,                126947,,                 54812,                381052,                376220,,,                 28608,,                 43989,,                 21438,,                 -4062,                 47097,                423317,,                118122,                305195,                305195,,,,,,,,,                 44764,                349959,,                312246,                 -7051,,                356628,                 -6669,,                              2.24,,                              2.06,                 43757,                   -792,                  7632,                  5833
3003,2013年07月01日至2013年09月30日,,                703473,,                499616,                203857,                203857,,,                 51994,,                 35597,,                  9105,                 96696,                107161,,,                  6842,,                 13262,,                  5563,,                 -2391,                 12150,                119311,,                 26314,                 92997,                 92997,,,,,,,,,                -14969,                 78028,,                 92990,                      7,,                 78034,                     -6,,                              0.67,,                              0.62,                -17903,                   -107,,                 -3041
3003,2013年04月01日至2013年06月30日,,                729250,,                539588,                189662,                189662,,,                 50651,,                 35846,,                 11318,                 97815,                 91847,,,                  7136,,                 -8574,,                  5280,,                   -637,                 -7355,                 84492,,                 42684,                 41808,                 41808,,,,,,,,,                 12973,                 54781,,                 48001,                 -6193,,                 61369,                 -6588,,                              0.34,,                              0.33,                 16503,                   -658,,                  2872
3003,2013年01月01日至2013年12月31日,,              2782808,,              2025536,                757272,                757272,,,                199293,,                139586,,                 42173,                381052,                376220,,,                 28608,,                 43989,,                 21438,,                 -4062,                 47097,                423317,,                118122,                305195,                305195,,,,,,,,,                 44764,                349959,,                312246,                 -7051,,                356628,                 -6669,,                              2.24,,                              2.06,                 43757,                   -792,                  7632,                  5833
3003,2013年01月01日至2013年09月30日,,              2073168,,              1522276,                550892,                550892,,,                147746,,                 95202,,                 39818,                282766,                268126,,,                 20405,,                 24282,,                 16176,,                 -2984,                 25527,                293653,,                 89190,                204463,                204463,,,,,,,,,                 24429,                228892,,                211986,                 -7523,,                236486,                 -7594,,                              1.52,,                              1.43,                 29756,                   -257,,                  5070
3003,2013年01月01日至2013年06月30日,,              1369695,,              1022660,                347035,                347035,,,                 95752,,                 69005,,                 21313,                186070,                160965,,,                 13563,,                 11020,,                 10613,,                   -593,                 13377,                174342,,                 62876,                111466,                111466,,,,,,,,,                 39398,                150864,,                118996,                 -7530,,                158452,                 -7588,,                              0.85,,                              0.81,                 47659,                   -150,,                  8111
3003,2013年01月01日至2013年03月31日,,                640445,,                483072,                157373,                157373,,,                 45101,,                 33159,,                  9995,                 88255,                 69118,,,                  6427,,                 19594,,                  5333,,                     44,                 20732,                 89850,,                 20192,                 69658,                 69658,,,,,,,,,                 26425,                 96083,,                 70995,                 -1337,,                 97083,                 -1000,,                              0.51,,                              0.48,                 31156,                    508,,                  5239
3003,2012年07月01日至2012年09月30日,,                713315,,                541307,                172008,                172008,,,                 44418,,                 36353,,                  9594,                 90365,                 81643,,,                  9639,,                -15326,,                  5808,,                              0,                -11495,                 70148,,                 11924,                 58224,                 58224,,,,,,,,,                 -8819,                 49405,,                 60415,                 -2191,,                 51018,                 -1613,,                              0.43,,                              0.41,                -10577,                   -138,,                 -1896
3003,2012年04月01日至2012年06月30日,,                718856,,                545406,                173450,                173450,,,                 44704,,                 42154,,                  8474,                 95332,                 78118,,,                  8787,,                 99398,,                  5310,,                              0,                102875,                180993,,                 57759,                123234,                123234,,,,,,,,,                -18580,                104654,,                125029,                 -1795,,                106843,                 -2189,,                              0.90,,                              0.83,                -22226,                    -65,,                 -3711
3003,2012年01月01日至2012年12月31日,,              2749180,,              2103548,                645632,                645632,,,                170366,,                148066,,                 36543,                354975,                290657,,,                 33195,,                 80612,,                 21288,,                 28132,                120651,                411308,,                 97496,                313812,                313812,,,,,,,,,                -60536,                253276,,                321821,                 -8009,,                258471,                 -5195,,                              2.31,,                              2.12,                -52506,                   -738,                -16697,                 -9405
3003,2012年01月01日至2012年09月30日,,              2133468,,              1635137,                498331,                498331,,,                129112,,                118038,,                 28015,                275165,                223166,,,                 33638,,                 83552,,                 16621,,                 27989,                128558,                351724,,                 85801,                265923,                265923,,,,,,,,,                -48495,                217428,,                271837,                 -5914,,                223490,                 -6062,,                              1.95,,                              1.82,                -59545,                    953,,                -10097
3003,2012年01月01日至2012年06月30日,,              1420153,,              1093830,                326323,                326323,,,                 84694,,                 81685,,                 18421,                184800,                141523,,,                 23999,,                 98878,,                 10813,,                 27989,                140053,                281576,,                 73877,                207699,                207699,,,,,,,,,                -39676,                168023,,                211422,                 -3723,,                172472,                 -4449,,                              1.52,,                              1.41,                -48968,                  1091,,                 -8201
3003,2012年01月01日至2012年03月31日,,                701297,,                548424,                152873,                152873,,,                 39990,,                 39531,,                  9947,                 89468,                 63405,,,                 15212,,                   -520,,                  5503,,                 27989,                 37178,                100583,,                 16118,                 84465,                 84465,,,,,,,,,                -21096,                 63369,,                 86393,                 -1928,,                 65629,                 -2260,,                              0.62,,                              0.58,                -26742,                  1156,,                 -4490
