證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分無形資產損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 處分投資損失,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1605,2014年01月01日至2014年03月31日,,             37069680,,             35895086,              1174594,                  3781,              1170813,,,                404140,,                567918,,                 20381,                992439,                178374,,,,                136859,,                 64968,                201827,,                   -414,,                -77018,               -122932,                 60341,,,                    923,               -498391,,                154244,                154244,,                 60455,               -390353,               -211979,,                -21007,               -190972,               -190972,,,                462545,                179475,                              0,,                 75567,                717587,                717587,                526615,,               -177084,                -13888,,                513824,                 12791,,                             -0.05,                             -0.05,                236763,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
1605,2013年第3季,,             36212529,,             34858141,              1354388,                              0,              1354388,,,                491814,,                604138,,                 51329,              1147281,                207107,,,,                131868,                  2252,                  7083,                141203,,                 33901,,                 76845,               -242879,                 64645,,,                 -1717,                -25275,,                137310,                137310,,                -10681,                -32063,                175044,,               -279106,                454150,                454150,,,,,,,,,               -518208,                -64058,,                415999,                 38151,,               -130316,                 66258,,                              0.12,                              0.12,               -169786,,,,,,,,,,,,,               -297276,               -145890,                              0,,,                -75042,,,
1605,2013年第2季,,             38460402,,             37602746,                857656,                              0,                857656,,,                426362,,                665091,,                121489,              1212942,               -355286,,,,                107748,                 26289,                 57971,                192008,,                 15829,,                249906,                128034,                363431,,,                  8242,                912353,,                178593,                178593,,                 54882,                980650,                625364,,                242839,                382525,                382525,,,,,,,,,              3865654,              4248179,,                291505,                 91020,,              3481239,                766940,,                              0.08,                              0.08,               -890257,,,,,,,,,,,,,                544847,              1719571,                  2100,,,              1599136,,,
1605,2013年度,,            148634957,,            144003799,              4631158,                              0,              4631158,,,              1807680,,              2571429,,                206852,              4585961,                 45197,,,,                408334,                 32835,                743276,              1184445,,                507196,,                598678,                 17029,                669230,,,              2538030,             -2680177,,                614601,                614601,,               -251001,             -2361334,             -2316137,,                115285,             -2431422,             -2431422,,,,,,,,,              4489965,              2058543,,             -2688696,                257274,,              1836583,                221960,,                             -0.77,                             -0.77,                595820,,,,,,,,,,,,,              1445768,              1670622,                    287,                 82406,,              1290882,,,
1605,2013年07月01日至2013年09月30日,,             36212529,,             34858141,              1354388,,              1354388,,,                491814,,                604138,,                 51329,              1147281,                207107,,,,                131868,                  2252,                  7083,                141203,,                 33901,,                 76845,               -242879,                 64645,,,                 -1717,                -25275,,                137310,                137310,,                -10681,                -32063,                175044,,               -279106,                454150,                454150,,,,,,,,,               -518208,                -64058,,                415999,                 38151,,               -130316,                 66258,,                              0.12,                              0.12,               -169786,,,,,,,,,,,,,               -371879,               -146329,                              0,,,,,,
1605,2013年04月01日至2013年06月30日,,             38460402,,             37602746,                857656,,                857656,,,                426362,,                665091,,                121489,              1212942,               -355286,,,,                107748,                 26289,                 57971,                192008,,                 15829,,                249906,                128034,                363431,,,                  8242,                912353,,                178593,                178593,,                 54882,                980650,                625364,,                242839,                382525,                382525,,,,,,,,,              3865654,              4248179,,                291505,                 91020,,              3481239,                766940,,                              0.08,                              0.08,               -890257,,,,,,,,,,,,,                637563,              3225991,                  2100,,,,,,
1605,2013年01月01日至2013年12月31日,,            148634957,,            144003799,              4631158,,              4631158,,,              1807680,,              2571429,,                206852,              4585961,                 45197,,,,                408334,                 32835,                743276,              1184445,,                507196,,                598678,                 17029,                669230,,,              2538030,             -2680177,,                614601,                614601,,               -251001,             -2361334,             -2316137,,                115285,             -2431422,             -2431422,,,,,,,,,              4489965,              2058543,,             -2688696,                257274,,              1836583,                221960,,                             -0.77,                             -0.77,                595820,,,,,,,,,,,,,              1760547,              2643375,                    287,                 82406,,                  3350,,,
1605,2013年01月01日至2013年09月30日,,            109123854,,            105906013,              3217841,                              0,              3217841,,,              1319866,,              1977453,,                182284,              3479603,               -261762,,,,                296380,                 28541,                677344,              1002265,,                 49260,,                445838,                    141,                480905,,,                 36914,                994737,,                439599,                439599,,               -142101,              1415302,              1153540,,                127647,              1025893,              1025893,,,,,,,,,              5110574,              6136467,,                778853,                247040,,              5014865,              1121602,,                              0.22,                              0.22,             -1017317,,,,,,,,,,,,,              1097654,              1907805,                    287,,,              2104828,,,
1605,2013年01月01日至2013年06月30日,,             72911325,,             70989550,              1921775,                              0,              1921775,,,                828052,,              1373315,,                189277,              2390644,               -468869,,,,                164512,                 26289,                670261,                861062,,                 15359,,                368993,                243020,                416260,,,                 38631,              1020012,,                302289,                302289,,               -131420,              1447365,                978496,,                406753,                571743,                571743,,,,,,,,,              5628782,              6200525,,                362854,                208889,,              5145181,              1055344,,                              0.10,                              0.10,               -847531,,,,,,,,,,,,,              1394930,              2053695,                    287,,,              2179870,,,
1605,2013年01月01日至2013年03月31日,,             34450923,,             33386804,              1064119,                              0,              1064119,,,                401690,,                708224,,                 67788,              1177702,               -113583,,,,                 56764,,                612290,                669054,,                   -470,,                119087,                114986,                 52829,,,                 30389,                107659,,                123696,                123696,,               -186302,                466715,                353132,,                163914,                189218,                189218,,,,,,,,,              1763128,              1952346,,                 71349,                117869,,              1663942,                288404,,                              0.02,                              0.02,                 42726,,,,,,,,,,,,,                850083,                334124,                 -1813,,,                580734,,,
1605,2012年07月01日至2012年09月30日,,             36530477,,             35364308,              1166169,,              1166169,,,                439401,,                739977,,                 97296,              1276674,               -110505,,,,                 92528,                    552,                 10292,                103372,,                 10655,,                 17202,               -231278,                 44699,,,              1586325,             -2206118,,                174078,                174078,,               -145481,             -2422305,             -2532810,,               -201748,             -2331062,             -2331062,,,,,,,,,               -945747,             -3276809,,             -2332994,                  1932,,             -3278351,                  1542,,                             -0.66,                             -0.66,                371673,,,,,,,,,,,,,               -615873,               -379893,                 50019,,,,,,
1605,2012年04月01日至2012年06月30日,,             40414614,,             39293013,              1121601,,              1121601,,,                446413,,                720137,,                105488,              1272038,               -150437,,,,                114740,                  8875,                 41969,                165584,,                 29731,,                -77892,                  2363,                 11177,,,                230809,                -57604,,                133250,                133250,,               -154858,               -180128,               -330565,,                184565,               -515130,               -515130,,,,,,,,,               -286331,               -801461,,               -562644,                 47514,,               -849102,                 47641,,                             -0.16,                             -0.16,               -230180,,,,,,,,,,,,,                113362,               -367080,                -32613,,,,,,
1605,2012年01月01日至2012年12月31日,,            157463051,,            149923971,              7539080,,              7539080,,,              1800250,,              3005104,,                450895,              5256249,              2282831,,,,                459489,                 55353,                221810,                736652,,                 11226,,                149787,                 88661,                185616,,,              2669437,             -3336216,,                617659,                617659,,               -829130,             -4046353,             -1763522,,              1361317,             -3124839,             -3124839,,,,,,,,,             -1168576,             -4293415,,             -3186541,                 61702,,             -4302013,                  8598,,                             -0.90,                             -0.90,                730837,,,,,,,,,,,,,             -1540440,                390226,                 61717,                -26525,,                -53554,,,
1605,2012年01月01日至2012年09月30日,,            114797821,,            111033935,              3763886,,              3763886,,,              1324245,,              2210558,,                356323,              3891126,               -127240,,,,                357787,                 10017,                185103,                552907,,                 42825,,                 17601,               -132851,                145558,,,              1817134,             -2744945,,                469067,                469067,,               -574424,             -3235529,             -3362769,,                173701,             -3536470,             -3536470,,,,,,,,,             -1169435,             -4705905,,             -3590777,                 54307,,             -4759519,                 53614,,                             -1.01,                             -1.01,                709828,,,,,,,,,,,,,             -1397241,                180208,                 47598,,,,,,
1605,2012年01月01日至2012年06月30日,,             78267344,,             75669627,              2597717,,              2597717,,,                884844,,              1470581,,                259027,              2614452,                -16735,,,,                265259,                  9465,                174811,                449535,,                 32170,,                    399,                 98427,                100859,,,                230809,               -538827,,                294989,                294989,,               -428943,               -813224,               -829959,,                375449,             -1205408,             -1205408,,,,,,,,,               -223688,             -1429096,,             -1257783,                 52375,,             -1481168,                 52072,,                             -0.35,                             -0.35,                338155,,,,,,,,,,,,,               -781368,                560101,                 -2421,,,,,,
1605,2012年01月01日至2012年03月31日,,             37852730,,             36376614,              1476116,,              1476116,,,                438431,,                750444,,                153539,              1342414,                133702,,,,                150519,                    590,                132842,                283951,,                  2439,,                 78291,                 96064,                 89682,,,                              0,               -481223,,                161739,                161739,,               -274085,               -633096,               -499394,,                190884,               -690278,               -690278,,,,,,,,,                 62643,               -627635,,               -695139,                  4861,,               -632066,                  4431,,                             -0.19,                             -0.19,                568335,,,,,,,,,,,,,               -894730,                927181,                 30192,,,,,                             -0.19,                             -0.19
