證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建成本,　　 確定福利計畫精算利益（損失）
1722,2013年第3季,,,,              3427301,              3427301,                  7288,              3420013,,                170249,,                              0,,                  5352,              3595614,,,              3384153,              3384153,,                 70496,,                              0,              3454649,                140965,                140965,,,                123120,,                199202,,                 11401,                333723,               -192758,,,                 51918,                 51918,,                -16463,,                  1442,,                414835,                448848,                256090,,                 24446,                231644,                231644,,,,,,,,,               -289377,                -57733,,                231644,,                -57733,,                              0.24,                              0.24,,                              0.24,                              0.24,                 -9461,                 -5642,,               -331054,                 56780,,,,,
1722,2013年第2季,,,,              3111888,              3111888,                 18060,              3093828,,                153195,,                              0,,                  5926,              3252949,,,              2927750,              2927750,,                 59963,,                              0,              2987713,                265236,                265236,,,                105733,,                203038,,                  9673,                318444,                -53208,,,                  6406,                  6406,,                  4480,,                  1415,,                 83720,                 93191,                 39983,,                 15688,                 24295,                 24295,,,,,,,,,                 26957,                 51252,,                 24295,,                 51252,,                              0.02,                              0.02,,                              0.02,                              0.02,                 -5486,                -10696,,                 53121,,                  9982,,,,
1722,2013年07月01日至2013年09月30日,,,,              3427301,              3427301,                  7288,              3420013,,                170249,,                              0,,                  5352,              3595614,,,              3384153,              3384153,,                 70496,,                              0,              3454649,                140965,                140965,,,                123120,,                199202,,                 11401,                333723,               -192758,,,                 51918,                 51918,,                -16463,,                  1442,,                414835,                448848,                256090,,                 24446,                231644,                231644,,,,,,,,,               -289377,                -57733,,                231644,,                -57733,,                              0.24,                              0.24,,                              0.24,                              0.24,                 -9461,                 -5642,,               -331054,                 56780,,,,,
1722,2013年04月01日至2013年06月30日,,,,              3111888,              3111888,                 18060,              3093828,,                153195,,                              0,,                  5926,              3252949,,,              2927750,              2927750,,                 59963,,                              0,              2987713,                265236,                265236,,,                105733,,                203038,,                  9673,                318444,                -53208,,,                  6407,                  6407,,                  4479,,                  1415,,                 83720,                 93191,                 39983,,                 15688,                 24295,                 24295,,,,,,,,,                 26957,                 51252,,                 24295,,                 51252,,                              0.02,                              0.02,,                              0.02,                              0.02,                 -5486,                -10696,,                 53121,                 -9982,,,,,
1722,2013年01月01日至2013年12月31日,,,,             13633326,             13633326,                 59141,             13574185,,                661366,,              1749568,,                 33427,             16018546,,,             13395679,             13395679,,                319379,,                 56291,             13771349,              2247197,              2247197,,,                473827,,                939156,,                 46042,              1459025,                788172,,,                156584,                156584,,                 35485,,                  5520,,              1657021,              1843570,              2631742,,                 93671,              2538071,              2538071,,,,,,,,,                106299,              2644370,,              2538071,,              2644370,,                              2.59,                              2.59,,                              2.59,                              2.59,                 -4532,                -41059,,                254292,,                112508,,,,                 10106
1722,2013年01月01日至2013年09月30日,,,,             10534317,             10534317,                 36640,             10497677,,                482210,,              1749568,,                 23790,             12753245,,,             10281583,             10281583,,                194206,,                 56291,             10532080,              2221165,              2221165,,,                324689,,                687359,,                 34640,              1046688,              1174477,,,                 65526,                 65526,,                321761,,                  4355,,              1260799,              1643731,              2818208,,                305209,              2512999,              2512999,,,,,,,,,                -59012,              2453987,,              2512999,,              2453987,,                              2.56,                              2.56,,                              2.56,                              2.56,                 -8688,                -33121,,                -18711,                  1508,,,,,
1722,2013年01月01日至2013年06月30日,,,,              7107016,              7107016,                 29352,              7077664,,                311961,,              1749568,,                 18438,              9157631,,,              6897430,              6897430,,                123710,,                 56291,              7077431,              2080200,              2080200,,,                201569,,                488157,,                 23239,                712965,              1367235,,,                 13608,                 13608,,                338600,,                  2913,,                845587,              1194882,              2562117,,                280763,              2281354,              2281354,,,,,,,,,                230365,              2511719,,              2281354,,              2511719,,                              2.33,                              2.33,,                              2.32,                              2.32,                    773,                -27479,,                312343,,                 55272,,,,
1722,2013年01月01日至2013年03月31日,,,,              3995128,              3995128,                 11292,              3983836,,                158766,,              1749568,,                 12512,              5904682,,,              3969680,              3969680,,                 63747,,                 56291,              4089718,              1814964,              1814964,,,                 95836,,                285119,,                 13566,                394521,              1420443,,,                  7202,                  7202,,                334120,,                  1498,,                761867,              1101691,              2522134,,                265075,              2257059,              2257059,,,,,,,,,                203408,              2460467,,              2257059,,              2460467,,                              2.30,                              2.30,,                              2.30,                              2.30,                  6259,                -16783,,                259222,,                 45290,,              1749568,                 56291,
1722,2012年07月01日至2012年09月30日,,,,              3834821,              3834821,                  5520,              3829301,,                153261,,                              0,,                 31349,              4013911,,,              3522846,              3522846,,                 70354,,                              0,              3593200,                420711,                420711,,,                 85750,,                184283,,                 12553,                282586,                138125,,,                 37819,                 37819,,                -41176,,                     13,,                767012,                763642,                901767,,                136216,                765551,                765551,,,,,,,,,               -170415,                595136,,                765551,,                595136,,                              0.78,                              0.78,,                              0.78,                              0.78,                 -5644,                    590,,               -199230,                 33869,,,,,
1722,2012年04月01日至2012年06月30日,,,,              3659319,              3659319,                  5001,              3654318,,                144387,,                              0,,                 26820,              3825525,,,              3469751,              3469751,,                 64697,,                              0,              3534448,                291077,                291077,,,                 97723,,                169272,,                 11785,                278780,                 12297,,,                 15835,                 15835,,                -19929,,                              0,,                761944,                757850,                770147,,                131808,                638339,                638339,,,,,,,,,                 28335,                666674,,                638339,,                666674,,                              0.65,                              0.65,,                              0.65,                              0.65,                  1654,                -68117,,                 55186,                 39612,,,,,
1722,2012年01月01日至2012年12月31日,,,,             15503776,             15503776,                 30103,             15473673,,                612528,,              2611325,,                104441,             18801967,,,             14918474,             14918474,,                279419,,                322535,             15520428,              3281539,              3281539,,,                399333,,                822342,,                 48430,              1270105,              2011434,,,                 62967,                 62967,,               -313010,,                    517,,              2901084,              2650524,              4661958,,                435546,              4226412,              4226412,,,,,,,,,               -270128,              3956284,,              4226412,,              3956284,,                              4.31,                              4.31,,                              4.31,                              4.31,                 -7733,                 65456,,               -435896,,               -147339,,,,                -39294
1722,2012年01月01日至2012年09月30日,,,,             11916263,             11916263,                 24215,             11892048,,                456072,,              1168275,,                 79778,             13596173,,,             11349306,             11349306,,                204764,,                290199,             11844269,              1751904,              1751904,,,                287439,,                538981,,                 35557,                861977,                889927,,,                 60631,                 60631,,               -173648,,                     13,,              2371315,              2258285,              3148212,,                371599,              2776613,              2776613,,,,,,,,,               -134275,              2642338,,              2776613,,              2642338,,                              2.83,                              2.83,,                              2.83,                              2.83,                 -8520,                 94030,,               -345020,                125235,,,,,
1722,2012年01月01日至2012年06月30日,,,,              8081442,              8081442,                 18695,              8062747,,                302811,,              1168275,,                 48429,              9582262,,,              7826460,              7826460,,                134410,,                290199,              8251069,              1331193,              1331193,,,                201689,,                354698,,                 23004,                579391,                751802,,,                 22812,                 22812,,               -132472,,                              0,,              1604303,              1494643,              2246445,,                235383,              2011062,              2011062,,,,,,,,,                 36140,              2047202,,              2011062,,              2047202,,                              2.05,                              2.05,,                              2.05,                              2.05,                 -2876,                 93440,,               -145790,                 91366,,,,,
1722,2012年01月01日至2012年03月31日,,,,              4422123,              4422123,                 13694,              4408429,,                158424,,              1168275,,                 21609,              5756737,,,              4356709,              4356709,,                 69713,,                290199,              4716621,              1040116,              1040116,,,                103966,,                185426,,                 11219,                300611,                739505,,,,                  6977,,               -112543,,                              0,,                842359,                736793,              1476298,,                103469,              1372829,              1372829,,,,,,,,,                  7805,              1380634,,              1372829,,              1380634,,                              1.40,                              1.40,,                              1.40,                              1.40,                 -4530,                161557,,               -200976,                 51754,,,,,
