證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9943,2013年07月01日至2013年09月30日,,,                460820,,                388917,                849737,,,                225068,,                151066,                376134,                473603,                473603,,                326996,                146607,,,                  7713,,                  1953,,                  1389,                  1389,,                -32735,                -24458,                122149,,                 26397,                 95752,                 95752,,,,,,,,                 -3945,                 91807,,                 95752,,                 91807,,                              0.65,                              0.65,,                              0.65,                              0.65,                -11270,                  7694,,,                   -369,
9943,2013年04月01日至2013年06月30日,,,                425062,,                378278,                803340,,,                212572,,                148163,                360735,                442605,                442605,,                324164,                118441,,,                  6991,,                  7422,,                  1370,                  1370,,                -41227,                -28184,                 90257,,                 29958,                 60299,                 60299,,,,,,,,                -73702,                -13403,,                 60299,,                -13403,,                              0.41,                              0.41,,                              0.41,                              0.41,                -69053,                -16486,,,                 11837,
9943,2013年01月01日至2013年12月31日,,,              1762552,,              1515718,              3278270,,,                850520,,                582471,              1432991,              1845279,              1845279,,              1263354,                581925,,,                 30124,,                -13854,,                  5396,                  5396,,                -83650,                -72776,                509149,,                113034,                396115,                396115,,,,,,,,                -25724,                370391,,                396115,,                370391,,                              2.69,                              2.69,,                              2.69,                              2.69,                -21855,                 -7694,                   -826,,                  4511,                   -140
9943,2013年01月01日至2013年09月30日,,,              1341509,,              1189365,              2530874,,,                653256,,                445545,              1098801,              1432073,              1432073,,                984103,                447970,,,                 21617,,                 14366,,                  4138,                  4138,,                -48780,                -16935,                431035,,                 88013,                343022,                343022,,,,,,,,                -54570,                288452,,                343022,,                288452,,                              2.33,                              2.33,,                              2.33,                              2.33,                -63557,                 -4396,,,                 13383,
9943,2013年01月01日至2013年06月30日,,,                880689,,                800448,              1681137,,,                428188,,                294479,                722667,                958470,                958470,,                657107,                301363,,,                 13904,,                 12413,,                  2749,                  2749,,                -16045,                  7523,                308886,,                 61616,                247270,                247270,,,,,,,,                -50625,                196645,,                247270,,                196645,,                              1.68,                              1.68,,                              1.68,                              1.68,                -52287,                -12090,,,                 13752,
9943,2013年01月01日至2013年03月31日,,,                455627,,                422170,                877797,,,                215616,,                146316,                361932,                515865,                515865,,                332943,                182922,,,                  6913,,                  4991,,                  1379,                  1379,,                 25182,                 35707,                218629,,                 31658,                186971,                186971,,,,,,,,                 23077,                210048,,                186971,,                210048,,                              1.27,                              1.27,,                              1.27,                              1.27,                 16766,                  4396,,,                  1915,
9943,2012年07月01日至2012年09月30日,,,                451809,,                405581,                857390,,,                228026,,                155194,                383220,                474170,                474170,,                346029,                128141,,,                  7115,,                 -3775,,                  1575,                  1575,,                -29044,                -27279,                100862,,                 21857,                 79005,                 79005,,,,,,,,                    304,                 79309,,                 79005,,                 79309,,                              0.54,                              0.54,,                              0.54,                              0.54,                -10583,                 10578,,,                    309,
9943,2012年04月01日至2012年06月30日,,,                437894,,                400310,                838204,,,                214976,,                150233,                365209,                472995,                472995,,                328893,                144102,,,                  6938,,                  5119,,                  1567,                  1567,,                -20760,                -10270,                133832,,                 52645,                 81187,                 81187,,,,,,,,                -15206,                 65981,,                 81187,,                 65981,,                              0.55,                              0.55,,                              0.55,                              0.55,                  6428,                -12655,,,                 -8979,
9943,2012年01月01日至2012年12月31日,,,              1797268,,              1632354,              3429622,,,                876454,,                604551,              1481005,              1948617,              1948617,,              1326965,                621652,,,                 27866,,                 -4031,,                  6212,                  6212,,                 59028,                 76651,                698303,,                132605,                565698,                565698,,,,,,,,                -46063,                519635,,                565698,,                519635,,                              3.84,                              3.84,,                              3.84,                              3.84,                -29032,                  8265,                 -1752,,                -23842,                   -298
9943,2012年01月01日至2012年09月30日,,,              1369574,,              1265479,              2635053,,,                672021,,                460510,              1132531,              1502522,              1502522,,              1010877,                491645,,,                 21307,,                 -4809,,                  4733,                  4733,,                 22070,                 33835,                525480,,                110298,                415182,                415182,,,,,,,,                -19967,                395215,,                415182,,                395215,,                              2.82,                              2.82,,                              2.82,                              2.82,                -20980,                 10098,,,                 -9085,
9943,2012年01月01日至2012年06月30日,,,                917765,,                859898,              1777663,,,                443995,,                305316,                749311,              1028352,              1028352,,                664848,                363504,,,                 14192,,                 -1034,,                  3158,                  3158,,                 51114,                 61114,                424618,,                 88441,                336177,                336177,,,,,,,,                -20271,                315906,,                336177,,                315906,,                              2.28,                              2.28,,                              2.28,                              2.28,                -10397,                   -480,,,                 -9394,
9943,2012年01月01日至2012年03月31日,,,                479871,,                459588,                939459,,,                229019,,                155083,                384102,                555357,                555357,,                335955,                219402,,,                  7254,,                 -6153,,                  1591,                  1591,,                 71874,                 71384,                290786,,                 35796,                254990,                254990,,,,,,,,                 -5065,                249925,,                254990,,                249925,,                              1.73,                              1.73,,                              1.73,                              1.73,                -16825,                 12175,,,                   -415,
