證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 與待出售非流動資產直接相關之權益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　 遞延所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　　 沖銷逾期應付款利益,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益
2429,2013年第3季,,                157689,,                166015,                 -8326,                 -8326,,,                  2582,,                 17450,,                  9544,                 29576,                -37902,,,,                     20,                              0,                              0,                              0,                     20,,                              0,                    119,                    -14,                   -404,                    537,,                  1231,                  1231,,                              0,                    793,                   -793,                 -1467,                -39369,,,                  8289,                -47658,                -47658,,,,,                              0,                -47658,,                             -2.15,                              0,                  8289,,,,                              0,                              0,,,
2429,2013年第2季,,                164192,,                161278,                  2914,                  2914,,,                  3618,,                 14181,,                  2697,                 20496,                -17582,,,,                     16,                              0,                              0,                     48,                     64,,                              0,                    541,                              0,                    764,                   -223,,                    948,                    948,,,                     15,                    -15,                 -1122,                -18704,,,                              0,                -18704,                -18704,,,,,                              0,                -18704,,                             -0.90,                              0,                              0,,,,                              0,                              0,,,
2429,2013年度,,                634714,,                647383,                -12669,                -12669,,,                 10413,,                 47833,,                 12346,                 70592,                -83261,,,,                    131,                              0,                              0,                     55,                    186,,                              0,                  1604,                  2917,                    840,                 -2153,,                  3122,                  3122,,,                  1731,                 -1731,                 -6820,                -90081,,,                              0,                -90081,                -90081,,,,,                    926,                -89155,,                             -3.58,,,,,                              0,                    926,                              0,,,
2429,2013年07月01日至2013年09月30日,,                157689,,                166015,                 -8326,                 -8326,,,                  2582,,                 17450,,                  9544,                 29576,                -37902,,,,                     20,                              0,,                              0,                     20,,                              0,                    119,                    -14,                   -404,                    537,,                  1231,                  1231,,,                    793,                   -793,                 -1467,                -39369,,,                  8289,                -47658,                -47658,,,,,                              0,                -47658,,                             -2.15,                              0,                  8289,,,,                              0,                              0,,,
2429,2013年04月01日至2013年06月30日,,                164192,,                161278,                  2914,                  2914,,,                  3618,,                 14181,,                  2697,                 20496,                -17582,,,,                     16,                              0,,                     48,                     64,,                              0,                    541,                              0,                    764,                   -223,,                    948,                    948,,,                     15,                    -15,                 -1122,                -18704,,,                              0,                -18704,                -18704,,,,,                              0,                -18704,,                             -0.90,                              0,                              0,,,,                              0,                              0,,,
2429,2013年01月01日至2013年12月31日,,                634714,,                647383,                -12669,                -12669,,,                 10413,,                 47833,,                 12346,                 70592,                -83261,,,,                    131,                              0,,                              0,                    186,,                              0,                  1604,                  2917,                    840,                 -2153,,                  3122,                  3122,,,                  1731,                 -1731,                 -6820,                -90081,,,                              0,                -90081,                -90081,,,,,                    926,                -89155,,                             -3.58,,,,,                     55,                    926,                              0,,,
2429,2013年01月01日至2013年09月30日,,                483413,,                473002,                 10411,                 10411,,,                  8368,,                 40305,,                 12245,                 60918,                -50507,,,,                     45,                              0,                              0,                     55,                    100,,                              0,                  1738,                  1019,                  1073,                   -354,,                  2827,                  2827,,                              0,                  1574,                 -1574,                 -4655,                -55162,,,                  8289,                -63451,                -63451,,,,,                              0,                -63451,,                             -2.86,                              0,                  8289,,,,                              0,                              0,,,
2429,2013年01月01日至2013年06月30日,,                325724,,                306987,                 18737,                 18737,,,                  5786,,                 22855,,                  2701,                 31342,                -12605,,,,                     25,                              0,                              0,                     55,                     80,,                              0,                  1619,                  1033,                  1477,                   -891,,                  1596,                  1596,,,                    781,                   -781,                 -3188,                -15793,,,                              0,                -15793,                -15793,,,,,                              0,                -15793,,                             -0.76,                              0,                              0,,,,                              0,                              0,,,
2429,2013年01月01日至2013年03月31日,,                161532,,                145709,                 15823,                 15823,,,                  2168,,                  8674,,                      4,                 10846,                  4977,,,,                      9,                              0,                              0,                      7,                     16,,,                  1078,                  1033,                    713,                   -668,,                    648,                    648,,,                    766,                   -766,                 -2066,                  2911,,,                              0,                  2911,                  2911,,,,,                              0,                  2911,,                              0.14,                              0,,,                              0,,,,                              0,                              0,                              0
2429,2012年07月01日至2012年09月30日,,                226452,,                217389,                  9063,                  9063,,,                  2019,,                 12768,,                              0,                 14787,                 -5724,,,,                     26,                              0,,                     15,                     41,,                 -2519,                  2989,                    748,                  2985,                 -3263,,                    693,                    693,,,                  4416,                 -4416,                 -8331,                -14055,,,                     -5,                -14050,                -14050,,,,,                              0,                -14050,,                             -0.68,                              0,                     -5,,,,                              0,                              0,,,
2429,2012年04月01日至2012年06月30日,,                189100,,                185567,                  3533,                  3533,,,                  1822,,                 12211,,                      6,                 14039,                -10506,,,,                     14,                     42,,                    168,                    224,,                200775,                    958,                    727,                  1068,                199938,,                  1834,                  1834,,,                              0,                              0,                198328,                187822,,,                      8,                187814,                187814,,,,,                -56459,                131355,,                              9.03,                              0,                      8,,,,                              0,                -56459,,,
2429,2012年01月01日至2012年12月31日,,                773404,,                739940,                 33464,                 33464,,,                  9253,,                 38968,,                  6145,                 54366,                -20902,,,,                     72,                    105,,                    495,                  1052,,                176986,                  5459,                  3254,                  5201,                173990,,                  5272,                  5272,,,                  9029,                 -9029,                160741,                139839,,,                              0,                139839,                139839,,,,,                -56799,                 83040,,                              6.72,,,,,                    380,                   -340,                -56459,,,
2429,2012年01月01日至2012年09月30日,,                578950,,                562972,                 15978,                 15978,,,                  6392,,                 33617,,                      6,                 40015,                -24037,,,,                     44,                    105,,                    183,                    332,,                195446,                  4855,                  1483,                  4977,                193841,,                  4588,                  4588,,,                  4416,                 -4416,                185169,                161132,,,                      3,                161129,                161129,,,,,                -56459,                104670,,                              7.75,                              0,                      3,,,,                              0,                -56459,,,
2429,2012年01月01日至2012年06月30日,,                352498,,                345583,                  6915,                  6915,,,                  4373,,                 20849,,                      6,                 25228,                -18313,,,,                     18,                    105,,                    168,                    291,,                197965,                  1866,                    735,                  1992,                197104,,                  3895,                  3895,,,                              0,                              0,                193500,                175187,,,                      8,                175179,                175179,,,,,                -56459,                118720,,                              8.42,                              0,                      8,,,,                              0,                -56459,,,
2429,2012年01月01日至2012年03月31日,,                163398,,                160016,                  3382,                  3382,,,                  2551,,                  8638,,                              0,                 11189,                 -7807,,,,                      4,                     63,,                              0,                     67,,,                    908,                      8,                    924,                 -2834,,                  2061,                  2061,,,                              0,                              0,                 -4828,                -12635,,,                              0,                -12635,                -12635,,,,,                              0,                -12635,,                             -0.61,                  2810,,,                              0,,,,                              0,                              0,                              0
