證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　　 利息收入,　　　　 利息收入合計,　　　 外幣兌換利益
1337,2013年第3季,,,              1853373,,                  4858,              1858231,,              1083336,                774895,                774895,,,                 24408,,                 93596,,                 13459,                131463,                643432,,,                  8463,                  8463,,                -33757,,                 10732,                -36026,                607406,,                157325,                450081,                450081,,,,,               -139670,                310411,,                450081,,                310411,,                              1.80,                              1.80,,                              1.80,                              1.80,               -139670,,,
1337,2013年第2季,,,              1693964,,                  4818,              1698782,,              1100610,                598172,                598172,,,                 13222,,                 80824,,                 12462,                106508,                491664,,,                 11614,                 11614,,                 34935,,                 10093,                 36456,                528120,,                150532,                377588,                377588,,,,,                125966,                503554,,                377588,,                503554,,                              1.51,                              1.51,,                              1.49,                              1.49,                125966,,,
1337,2013年度,,,              7160889,,                 20048,              7180937,,              4775649,              2405288,              2405288,,,                 79582,,                322176,,                 52093,                453851,              1951437,,,                 37887,                 37887,,                -41626,,                 41939,                -45678,              1905759,,                618537,              1287222,              1287222,,,,,                437685,              1724907,,              1287222,,              1724907,,                              5.15,                              5.15,,                              5.15,                              5.15,                437685,,,
1337,2013年07月01日至2013年09月30日,,,              1853373,,                  4858,              1858231,,              1083336,                774895,                774895,,,                 24408,,                 93596,,                 13459,                131463,                643432,,,                  8463,                  8463,,                -33757,,                 10732,                -36026,                607406,,                157325,                450081,                450081,,,,,               -139670,                310411,,                450081,,                310411,,                              2.25,                              2.25,,                              2.25,                              2.25,               -139670,,,
1337,2013年04月01日至2013年06月30日,,,              1693964,,                  4818,              1698782,,              1100610,                598172,                598172,,,                 13222,,                 80824,,                 12462,                106508,                491664,,,                    221,                 11592,,                 34957,,                 10093,                 36456,                528120,,                150532,                377588,                377588,,,,,                125966,                503554,,                377588,,                503554,,                              1.89,                              1.89,,                              1.85,                              1.85,                125966,,                 11371,                 34957
1337,2013年01月01日至2013年12月31日,,,              7160889,,                 20048,              7180937,,              4775649,              2405288,              2405288,,,                 79582,,                322176,,                 52093,                453851,              1951437,,,                 37887,                 37887,,                -41626,,                 41939,                -45678,              1905759,,                618537,              1287222,              1287222,,,,,                437685,              1724907,,              1287222,,              1724907,,                              6.44,                              6.44,,                              6.43,                              6.43,                437685,,,
1337,2013年01月01日至2013年09月30日,,,              4501451,,                 14445,              4515896,,              2771095,              1744801,              1744801,,,                 53769,,                238288,,                 34209,                326266,              1418535,,,                 31725,                 31725,,                 22001,,                 31005,                 22721,              1441256,,                383455,              1057801,              1057801,,,,,                238975,              1296776,,              1057801,,              1296776,,                              4.23,                              4.23,,                              4.22,                              4.22,                238975,,,
1337,2013年01月01日至2013年06月30日,,,              2648078,,                  9587,              2657665,,              1687759,                969906,                969906,,,                 29361,,                144692,,                 20750,                194803,                775103,,,                 23261,                 23261,,                 55759,,                 20273,                 58747,                833850,,                226130,                607720,                607720,,,,,                378645,                986365,,                607720,,                986365,,                              2.43,                              2.43,,                              2.40,                              2.40,                378645,,,
1337,2013年01月01日至2013年03月31日,,,                954114,,                  4769,                958883,,                587149,                371734,                371734,,,                 16139,,                 63868,,                  8288,                 88295,                283439,,,                 11647,                 11647,,                 20824,,                 10180,                 22291,                305730,,                 75598,                230132,                230132,,,,,                252679,                482811,,                230132,,                482811,,                              1.15,                              1.15,,                              1.13,                              1.13,                252679,,,
1337,2012年07月01日至2012年09月30日,,,              1598000,,                  6764,              1604764,,                933524,                671240,                671240,,,                 20040,,                 64001,,                 11360,                 95401,                575839,,,                  2886,                  2886,,                -11356,,                  3634,                -12104,                563735,,                148679,                415056,                415056,,,,,                -55341,                359715,,                415056,,                359715,,                              2.26,                              2.26,,                              2.26,                              2.26,                -55341,,,
1337,2012年04月01日至2012年06月30日,,,              1588279,,                  6735,              1595014,,                929102,                665912,                665912,,,                 26339,,                 67091,,                 11356,                104786,                561126,,,                 15566,                 21989,,                    740,,                    256,                 22473,                583599,,                154357,                429242,                429242,,,,,                 26219,                455461,,                429242,,                455461,,                              2.34,                              2.34,,                              2.34,                              2.34,                 26219,,                  6423,                    740
1337,2012年01月01日至2012年12月31日,,,              5990328,,                 26983,              6017311,,              3598998,              2418313,              2418313,,,                 87116,,                268519,,                 42801,                398436,              2019877,,,                 39596,                 39596,,                -13005,,                 12151,                 14440,              2034317,,                533365,              1500952,              1500952,,,,,               -176490,              1324462,,              1500952,,              1324462,,                              8.03,                              8.03,,                              7.97,                              7.97,               -176490,,,
1337,2012年01月01日至2012年09月30日,,,              4370238,,                 20263,              4390501,,              2569920,              1820581,              1820581,,,                 61635,,                187623,,                 31767,                281025,              1539556,,,                 34350,                 34350,,                 -3408,,                  3890,                 27052,              1566608,,                405934,              1160674,              1160674,,,,,               -180217,                980457,,              1160674,,                980457,,                              6.33,                              6.33,,                              6.32,                              6.32,               -180217,,,
1337,2012年01月01日至2012年06月30日,,,              2772238,,                 13499,              2785737,,              1636396,              1149341,              1149341,,,                 41595,,                123622,,                 20407,                185624,                963717,,,                 15514,                 29873,,                  9539,,                    256,                 39156,              1002873,,                257255,                745618,                745618,,,,,               -124876,                620742,,                745618,,                620742,,                              4.07,                              4.07,,                              4.06,                              4.06,               -124876,,                 14359,                  9539
1337,2012年01月01日至2012年03月31日,,,              1183959,,                  6764,              1190723,,                707294,                483429,                483429,,,                 15256,,                 56531,,                  9051,                 80838,                402591,,,                    -52,                  7884,,                  8799,,                              0,                 16683,                419274,,                102898,                316376,                316376,,,,,               -151095,                165281,,                316376,,                165281,,                              1.99,                              1.99,,                              1.99,                              1.99,               -151095,,                  7936,                  8799
