證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3054,2014年01月01日至2014年03月31日,,                741835,,                682949,                 58886,                 58886,,,                 18274,,                 19084,,                  3840,                 41198,                 17688,,,                  4334,,                  8737,,                  2334,                 10737,                 28425,,                   -643,                 29068,                 29068,,,                     91,                 11603,                 11694,                 11694,                 40762,,                 29068,,                 40762,,                              0.27,                              0.27,,                              0.26,                              0.26,,,,,,
3054,2013年第3季,,                468144,,                405153,                 62991,                 62991,,,                 15074,,                 32121,,                  4229,                 51424,                 11567,,,                 14171,,                 93240,,                    479,                106932,                118499,,                  8039,                110460,                110460,,,,,,                -41774,                 68686,,                110460,,                 68686,,                              1.04,                              1.04,,                              1.03,                              1.03,,                              0,                    -73,                -41701,,
3054,2013年第2季,,                672946,,                544462,                128484,                128484,,,                 14703,,                 22532,,                  4380,                 41615,                 86869,,,                  3945,,                  5078,,                  1078,                  7945,                 94814,,                 13751,                 81063,                 81063,,,,,,                 72813,                153876,,                 81063,,                153876,,                              0.77,                              0.77,,                              0.77,                              0.77,,                              0,                     81,                 72732,,
3054,2013年度,,              2443691,,              2050802,                392889,                392889,,,                 59132,,                 87536,,                 19447,                166115,                226774,,,                 27452,,                 85015,,                  4281,                108395,                335169,,                 45394,                289775,                289775,,,,,,                 80444,                370219,,                289775,,                370219,,                              2.89,                              2.89,,                              2.85,                              2.85,,                    209,                     42,                 80257,                    145,                              0
3054,2013年07月01日至2013年09月30日,,                468144,,                405153,                 62991,                 62991,,,                 15074,,                 32121,,                  4229,                 51424,                 11567,,,                 14171,,                 93240,,                    479,                106932,                118499,,                  8039,                110460,                110460,,,,,,                -41774,                 68686,,                110460,,                 68686,,                              1.04,                              1.04,,                              1.03,                              1.03,,                              0,                    -73,                -41701,,
3054,2013年04月01日至2013年06月30日,,                672946,,                544462,                128484,                128484,,,                 14703,,                 22532,,                  4380,                 41615,                 86869,,,                  3945,,                  5078,,                  1078,                  7945,                 94814,,                 13751,                 81063,                 81063,,,,,,                 72813,                153876,,                 81063,,                153876,,                              0.77,                              0.77,,                              0.77,                              0.77,,                              0,                     81,                 72732,,
3054,2013年01月01日至2013年12月31日,,              2443691,,              2050802,                392889,                392889,,,                 59132,,                 87536,,                 19447,                166115,                226774,,,                 27452,,                 85015,,                  4281,                108395,                335169,,                 45394,                289775,                289775,,,,,,                 80444,                370219,,                289775,,                370219,,                              2.89,                              2.89,,                              2.85,                              2.85,,                    209,                     42,                 80257,                    145,
3054,2013年01月01日至2013年09月30日,,              1827102,,              1506985,                320117,                320117,,,                 44148,,                 73000,,                 13399,                130547,                189570,,,                 21963,,                108523,,                  3565,                127130,                316700,,                 42158,                274542,                274542,,,,,,                102085,                376627,,                274542,,                376627,,                              2.79,                              2.79,,                              2.75,                              2.75,,                    209,                      8,                102077,,
3054,2013年01月01日至2013年06月30日,,              1358958,,              1101832,                257126,                257126,,,                 29074,,                 40879,,                  9170,                 79123,                178003,,,                  7792,,                 15283,,                  3086,                 20198,                198201,,                 34119,                164082,                164082,,,,,,                143859,                307941,,                164082,,                307941,,                              1.73,                              1.73,,                              1.71,                              1.71,,                    209,                     81,                143778,,
3054,2013年01月01日至2013年03月31日,,                686012,,                557370,                128642,                128642,,,                 14371,,                 18347,,                  4790,                 37508,                 91134,,,                  3847,,                 10205,,                  2008,                 12253,                103387,,                 20368,                 83019,                 83019,,,,,,                 71046,                154065,,                 83019,,                154065,,                              0.99,                              0.99,,                              0.87,                              0.87,,                    209,                              0,                 71046,,
3054,2012年07月01日至2012年09月30日,,                635198,,                662713,                -27515,                -27515,,,                  9312,,                 15512,,                  3686,                 28510,                -56025,,,                  6437,,                    974,,                    450,                  7359,                -48666,,                 -1858,                -46808,                -46808,,,,,,                 -9059,                -55867,,                -46808,,                -55867,,                             -0.60,                             -0.60,,                             -0.60,                             -0.60,,                    398,                              0,                 -9059,,
3054,2012年04月01日至2012年06月30日,,                830271,,                801138,                 29133,                 29133,,,                 10367,,                 15811,,                  3906,                 30084,                   -951,,,                  3982,,                  2328,,                    590,                  5932,                  4981,,                  1352,                  3629,                  3629,,,,,,                  3871,                  7500,,                  3629,,                  7500,,                              0.05,                              0.05,,                              0.05,                              0.05,,                    212,                              0,                  3871,,
3054,2012年01月01日至2012年12月31日,,              2736562,,              2690477,                 46085,                 46085,,,                 38318,,                 65271,,                 14499,                118088,                -72003,,,                 18568,,                 -6304,,                  2285,                 12333,                -59670,,                   -882,                -58788,                -58788,,,,,,                  4749,                -54039,,                -58788,,                -54039,,                             -0.76,                             -0.76,,                             -0.76,                             -0.76,,                  2354,                              0,                  4961,                   -212,
3054,2012年01月01日至2012年09月30日,,              2211146,,              2181336,                 29810,                 29810,,,                 27810,,                 48083,,                 10636,                 86529,                -56719,,,                 14394,,                   -207,,                  1244,                 13553,                -43166,,                     15,                -43181,                -43181,,,,,,                 11232,                -31949,,                -43181,,                -31949,,                             -0.56,                             -0.56,,                             -0.56,                             -0.56,,                    610,                              0,                 11232,,
3054,2012年01月01日至2012年06月30日,,              1575948,,              1518623,                 57325,                 57325,,,                 18498,,                 32571,,                  6950,                 58019,                   -694,,,                  7957,,                 -1181,,                    794,                  6194,                  5500,,                  1873,                  3627,                  3627,,,,,,                 20291,                 23918,,                  3627,,                 23918,,                              0.05,                              0.05,,                              0.05,                              0.05,,                    212,                              0,                 20291,,
3054,2012年01月01日至2012年03月31日,,                745677,,                717485,                 28192,                 28192,,,                  8131,,                 16760,,                  3044,                 27935,                    257,,,                  3975,,                 -3509,,                    204,                    262,                    519,,                    521,                     -2,                     -2,,,,,,                 16420,                 16418,,                     -2,,                 16418,,                              0.00,                              0.00,,                              0.00,                              0.00,,                              0,,                 16420,,
