證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 未實現銷貨（損）益
1733,2014年01月01日至2014年03月31日,,                423222,,                309225,                113997,                113997,,,                  8981,,                 18187,,                 26932,                 54100,                 59897,,,                    504,,                 13367,,                  1526,                 12345,                 72242,,                 10113,                 62129,                 62129,,,                     -5,                    522,                    517,                    517,                 62646,,                 62265,                   -136,,                 62784,                   -138,,                              0.63,                              0.63,,                              0.61,                              0.61,,,,,                    504,,,,,,
1733,2013年第3季,,                454277,,                333348,                120929,                119283,,,                  9074,,                 16861,,                 25426,                 51361,                 67922,,,                    835,,                 -2097,,                  1763,                 -8211,                 59711,,                  8120,                 51591,                 51591,,,,,,                 -1362,                 50229,,                 51641,                    -50,,                 50286,                    -57,,                              0.52,                              0.52,,                              0.51,                              0.51,,,,,                    835,,                 -5186,                 -2671,                  1309,,                  1646
1733,2013年第2季,,                496560,,                327385,                169175,                169175,,,                  9920,,                 16809,,                 29325,                 56054,                113121,,,                  1398,,                 63971,,                  1758,                 63611,                176732,,                 13727,                163005,                163005,,,,,,                   -792,                162213,,                163129,                   -124,,                162323,                   -110,,                              1.66,                              1.66,,                              1.57,                              1.57,,,,,                  1398,,,                     49,                   -841,,
1733,2013年度,,              1829221,,              1260778,                568443,                568443,,,                 41863,,                 68441,,                109148,                219452,                348991,,,                  3932,,                100498,,                  6043,                 77388,                426379,,                 55536,                370843,                370843,,,,,,                  3298,                374141,,                371221,                   -378,,                374464,                   -323,,                              3.77,                              3.77,,                              3.60,                              3.60,,,,,                  3932,,                -20999,                    184,                  1229,                  1885,
1733,2013年07月01日至2013年09月30日,,                454277,,                333348,                120929,                119283,,,                  9074,,                 16861,,                 25426,                 51361,                 67922,,,                    835,,                 -2097,,                  1763,                 -8211,                 59711,,                  8120,                 51591,                 51591,,,,,,                 -1362,                 50229,,                 51641,                    -50,,                 50286,                    -57,,                              0.52,                              0.52,,                              0.51,                              0.51,,,,,                    835,,                 -5186,                 -2671,                  1309,,                  1646
1733,2013年04月01日至2013年06月30日,,                496560,,                327385,                169175,                169175,,,                  9920,,                 16809,,                 29325,                 56054,                113121,,,                  1398,,                 63971,,                  1758,                 63611,                176732,,                 13727,                163005,                163005,,,,,,                   -792,                162213,,                163129,                   -124,,                162323,                   -110,,                              1.66,                              1.66,,                              1.57,                              1.57,,,,,,,,                     49,                   -841,,
1733,2013年01月01日至2013年12月31日,,              1829221,,              1260778,                568443,                568443,,,                 41863,,                 68441,,                109148,                219452,                348991,,,                  3932,,                100498,,                  6043,                 77388,                426379,,                 55536,                370843,                370843,,,,,,                  3298,                374141,,                371221,                   -378,,                374464,                   -323,,                              3.77,                              3.77,,                              3.60,                              3.60,,,,,                  3932,,                -20999,                    184,                  1229,                  1885,
1733,2013年01月01日至2013年09月30日,,              1474811,,              1012895,                461916,                460270,,,                 28201,,                 50363,,                 81462,                160026,                300244,,,                  3158,,                 88501,,                  5273,                 81200,                381444,,                 40923,                340521,                340521,,,,,,                 -1681,                338840,,                340791,                   -270,,                339069,                   -229,,                              3.46,                              3.46,,                              3.30,                              3.30,,,,,                  3158,,                 -5186,                 -2509,                    828,,                  1646
1733,2013年01月01日至2013年06月30日,,              1020534,,                679547,                340987,                340987,,,                 19127,,                 33502,,                 56036,                108665,                232322,,,                  2323,,                 90598,,                  3510,                 89411,                321733,,                 32803,                288930,                288930,,,,,,                   -319,                288611,,                289150,                   -220,,                288783,                   -172,,                              2.93,                              2.93,,                              2.79,                              2.79,,,,,                  2323,,,                    162,                   -481,,
1733,2013年01月01日至2013年03月31日,,                523974,,                352162,                171812,                171812,,,                  9207,,                 16693,,                 26711,                 52611,                119201,,,                    925,,                 26627,,                  1752,                 25800,                145001,,                 19076,                125925,                125925,,,,,,                    473,                126398,,                126021,                    -96,,                126460,                    -62,,                              1.28,                              1.28,,                              1.22,                              1.22,,,,,                    925,,,                    113,                    360,,
1733,2012年07月01日至2012年09月30日,,                456170,,                269175,                186995,                186995,,,                  8993,,                 15442,,                 25327,                 49762,                137233,,,                    540,,                 -9712,,                  1067,                -10239,                126994,,                 19131,                107863,                107863,,,,,,                    529,                108392,,                108063,                   -200,,                108612,                   -220,,                              1.11,                              1.11,,                              1.10,                              1.10,,,,,                    540,,                              0,                    -66,                    595,,                              0
1733,2012年04月01日至2012年06月30日,,                550926,,                352451,                198475,                198475,,,                 10484,,                 17071,,                 24701,                 52256,                146219,,,                  1837,,                 24143,,                      1,                 25979,                172198,,                 25927,                146271,                146271,,,,,,                 -1410,                144861,,                146271,                              0,,                144861,                              0,,                              1.53,                              1.53,,                              1.52,                              1.52,,,,,,,,                              0,                 -1410,,
1733,2012年01月01日至2012年12月31日,,              2026086,,              1217199,                808887,                808887,,,                 42016,,                 65468,,                 98297,                205781,                603106,,,                 25754,,                -29833,,                  2853,                 -6932,                596174,,                 73217,                522957,                522957,,,,,,                    859,                523816,,                523221,                   -264,,                524100,                   -284,,                              5.41,                              5.41,,                              5.28,                              5.28,,,,,                 25754,,                              0,                    -65,                  1392,                   -468,
1733,2012年01月01日至2012年09月30日,,              1544119,,                927440,                616679,                616679,,,                 30680,,                 49034,,                 73808,                153522,                463157,,,                  3429,,                 -3264,,                  1074,                   -909,                462248,,                 67442,                394806,                394806,,,,,,                    542,                395348,,                395006,                   -200,,                395568,                   -220,,                              4.11,                              4.11,,                              4.05,                              4.05,,,,,                  3429,,                              0,                    -66,                    608,,                              0
1733,2012年01月01日至2012年06月30日,,              1087949,,                658265,                429684,                429684,,,                 21687,,                 33592,,                 48481,                103760,                325924,,,                  2889,,                  6448,,                      7,                  9330,                335254,,                 48311,                286943,                286943,,,,,,                     13,                286956,,                286943,                              0,,                286956,                              0,,                              3.00,                              3.00,,                              2.99,                              2.99,,,,,,,,                              0,                     13,,
1733,2012年01月01日至2012年03月31日,,                537023,,                305814,                231209,                231209,,,                 11203,,                 16521,,                 23780,                 51504,                179705,,,                  1052,,                -17695,,                      6,                -16649,                163056,,                 22384,                140672,                140672,,,,,,                  1423,                142095,,                140672,                              0,,                142095,                              0,,                              1.47,                              1.47,,                              1.46,                              1.46,,,,,,,,                              0,                  1423,,
