證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
4958,2013年第2季,,             12367890,,             10186249,              2181641,              2181641,,,                118827,,                542811,,                533198,              1194836,                986805,,,                 68028,,                 70209,,                 93062,,                -10103,                 35072,              1021877,,                205388,                816489,                816489,,,,,,                405945,              1222434,,                816489,,              1222434,,                              1.11,                              1.11,,                              1.05,                              1.05,                405932,                     13,,,,
4958,2013年度,,             64483145,,             52589550,             11893595,             11893595,,,                770541,,              2765066,,              2171870,              5707477,              6186118,,,                341580,,                 12269,,                382761,,                -87275,               -116187,              6069931,,                599119,              5470812,              5470812,,,,,,              1338119,              6808931,,              5470812,,              6808931,,                              7.41,                              7.41,,                              6.86,                              6.86,              1289349,                 48199,                    688,                    117,,
4958,2013年07月01日至2013年09月30日,,             16994441,,             13967193,              3027248,              3027248,,,                236111,,                524815,,                553606,              1314532,              1712716,,,                117494,,                   -309,,                 94889,,                -48179,                -25883,              1686833,,                250734,              1436099,              1436099,,,,,,               -220562,              1215537,,              1436099,,              1215537,,                              1.94,                              1.94,,                              1.82,                              1.82,               -227778,                  7216,,,,
4958,2013年04月01日至2013年06月30日,,             12367890,,             10186249,              2181641,              2181641,,,                118827,,                542811,,                533198,              1194836,                986805,,,                 68028,,                 70209,,                 93062,,                -10103,                 35072,              1021877,,                205388,                816489,                816489,,,,,,                405945,              1222434,,                816489,,              1222434,,                              1.11,                              1.11,,                              1.05,                              1.05,                386811,                     13,,,,                 19121
4958,2013年01月01日至2013年12月31日,,             64483145,,             52589550,             11893595,             11893595,,,                770541,,              2765066,,              2171870,              5707477,              6186118,,,                341580,,                 12269,,                382761,,                -87275,               -116187,              6069931,,                599119,              5470812,              5470812,,,,,,              1338119,              6808931,,              5470812,,              6808931,,                              7.41,                              7.41,,                              6.88,                              6.88,              1289349,                 48199,                    688,                    117,,
4958,2013年01月01日至2013年09月30日,,             41682880,,             34165260,              7517620,              7517620,,,                496804,,              1798294,,              1607806,              3902904,              3614716,,,                233517,,                 69041,,                281684,,                -70230,                -49356,              3565360,,                264766,              3300594,              3300594,,,,,,                793909,              4094503,,              3300594,,              4094503,,                              4.47,                              4.47,,                              4.18,                              4.18,                781959,                 11950,,,,
4958,2013年01月01日至2013年06月30日,,             24688439,,             20198067,              4490372,              4490372,,,                260693,,              1273479,,              1054200,              2588372,              1902000,,,                116023,,                 69350,,                186795,,                -22051,                -23473,              1878527,,                 14032,              1864495,              1864495,,,,,,              1014471,              2878966,,              1864495,,              2878966,,                              2.52,                              2.52,,                              2.39,                              2.39,              1009737,                  4734,,,,
4958,2013年01月01日至2013年03月31日,,             12320549,,             10011818,              2308731,              2308731,,,                141866,,                730668,,                521002,              1393536,                915195,,,                 47995,,                   -859,,                 93733,,                -11948,                -58545,                856650,,               -191356,              1048006,              1048006,,,,,,                608526,              1656532,,              1048006,,              1656532,,                              1.42,                              1.42,,                              1.34,                              1.34,                603805,                  4721,,,,
4958,2012年07月01日至2012年09月30日,,             13327963,,             10818016,              2509947,              2509947,,,                216336,,                725956,,                451498,              1393790,              1116157,,,                 68940,,                -18771,,                111306,,                 -3135,                -64272,              1051885,,                258667,                793218,                793218,,,,,,               -386431,                406787,,                793218,,                406787,,                              1.07,                              1.07,,                              1.03,                              1.03,               -394955,                  8524,,,,
4958,2012年04月01日至2012年06月30日,,             12135743,,              9951448,              2184295,              2184295,,,                 74345,,                533148,,                434912,              1042405,              1141890,,,                 96725,,                 -9270,,                 90567,,                  2184,                   -928,              1140962,,                231085,                909877,                909877,,,,,,                123049,              1032926,,                909877,,              1032926,,                              1.23,                              1.23,,                              1.14,                              1.14,                133838,                 -5472,,,,                 -5317
4958,2012年01月01日至2012年12月31日,,             55368788,,             44593735,             10775053,             10775053,,,                637072,,              3035508,,              1768670,              5441250,              5333803,,,                314992,,                162185,,                433818,,                 -7540,                 35819,              5369622,,              1313770,              4055852,              4055852,,,,,,               -935523,              3120329,,              4055852,,              3120329,,                              5.49,                              5.49,,                              5.12,                              5.12,               -943299,                  7707,                     83,                     14,,
4958,2012年01月01日至2012年09月30日,,             37880972,,             31032788,              6848184,              6848184,,,                442685,,              1983278,,              1244515,              3670478,              3177706,,,                205822,,                294293,,                329647,,                  1069,                171537,              3349243,,                700381,              2648862,              2648862,,,,,,             -1144949,              1503913,,              2648862,,              1503913,,                              3.59,                              3.59,,                              3.35,                              3.35,             -1158631,                 13682,,,,
4958,2012年01月01日至2012年06月30日,,             24553009,,             20214772,              4338237,              4338237,,,                226349,,              1257322,,                793017,              2276688,              2061549,,,                136882,,                313064,,                218341,,                  4204,                235809,              2297358,,                441714,              1855644,              1855644,,,,,,               -758518,              1097126,,              1855644,,              1097126,,                              2.51,                              2.51,,                              2.33,                              2.33,               -758022,                  5158,,,,                 -5654
4958,2012年01月01日至2012年03月31日,,             12417266,,             10263324,              2153942,              2153942,,,                152004,,                724174,,                358105,              1234283,                919659,,,                 40157,,                322334,,                127774,,                  2020,                236737,              1156396,,                210629,                945767,                945767,,,,,,               -881567,                 64200,,                945767,,                 64200,,                              1.34,                              1.34,,                              1.34,                              1.34,               -892197,                 10630,,,,
