證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益
1109,2014年01月01日至2014年03月31日,,              1192024,,                932059,                259965,                259965,,,                 51308,,                 67414,                118722,                141243,,,                  8916,,                 -3570,,                 10592,,                              0,                 -5246,                135997,,                 28994,                107003,                107003,,,                -10439,                    778,                    656,                -10317,                -10317,                 96686,,                 85720,                 21283,,                 78882,                 17804,,                              0.20,,                              0.20,,                              0,,,,,,,,
1109,2013年第3季,,                985555,,                881793,                103762,                103762,,,                 47038,,                 42149,                 89187,                 14575,,,                  7652,,                  6257,,                  8311,,                              0,                  5598,                 20173,,                  6022,                 14151,                 14151,,,,,,,                -20650,                 -6499,,                 21072,                 -6921,,                  9088,                -15587,,                              0.05,,                              0.05,,                              0,,,                -25999,                  5383,                              0,                     34,,
1109,2013年第2季,,              1010171,,                830137,                180034,                180034,,,                 79363,,                 44004,                123367,                 56667,,,                  4866,,                 26923,,                  7420,,,                 24369,                 81036,,                  9337,                 71699,                 71699,,,,,,,                 31459,                103158,,                 68919,                  2780,,                 87470,                 15688,,                              0.16,,                              0.16,,,,,                 38731,                 -8767,,                 -1495,,
1109,2013年度,,              4551240,,              3746125,                805115,                805115,,,                244154,,                238095,                482249,                322866,,,                 29505,,                 56577,,                 37923,,                              0,                 48159,                371025,,                 48325,                322700,                322700,,,,,,,                101176,                423876,,                274532,                 48168,,                330324,                 93552,,                              0.65,,                              0.65,,                              0,,                              0,                134350,                  1845,                -42341,                 -7322,,
1109,2013年07月01日至2013年09月30日,,                985555,,                881793,                103762,                103762,,,                 47038,,                 42149,                 89187,                 14575,,,                  7652,,                  6257,,                  8311,,,                  5598,                 20173,,                  6022,                 14151,                 14151,,,,,,,                -20650,                 -6499,,                 21072,                 -6921,,                  9088,                -15587,,                              0.05,,                              0.05,,,,,                -25999,                  5383,,                     34,,
1109,2013年04月01日至2013年06月30日,,              1010171,,                830137,                180034,                180034,,,                 79363,,                 44004,                123367,                 56667,,,                  4866,,                 26923,,                  7420,,,                 24369,                 81036,,                  9337,                 71699,                 71699,,,,,,,                 31459,                103158,,                 68919,                  2780,,                 87470,                 15688,,                              0.16,,                              0.16,,,,,                 38731,                 -8767,,                 -1495,,
1109,2013年01月01日至2013年12月31日,,              4551240,,              3746125,                805115,                805115,,,                292224,,                190025,                482249,                322866,,,                 29505,,                 56577,,                 37923,,,                 48159,                371025,,                 48325,                322700,                322700,,,,,,,                101176,                423876,,                274532,                 48168,,                330324,                 93552,,                              0.65,,                              0.65,,                              0,,                              0,                134350,                  1845,                -42341,                 -7322,,
1109,2013年01月01日至2013年09月30日,,              2911968,,              2501893,                410075,                410075,,,                177711,,                125203,                302914,                107161,,,                 19164,,                 44175,,                 25657,,                              0,                 37682,                144843,,                 23903,                120940,                120940,,,,,,,                 84772,                205712,,                127657,                 -6717,,                181772,                 23940,,                              0.30,,                              0.30,,                              0,,,                 91979,                 -7673,                              0,                   -466,,
1109,2013年01月01日至2013年06月30日,,              1926413,,              1620100,                306313,                306313,,,                130673,,                 83054,                213727,                 92586,,,                 11512,,                 37918,,                 17346,,,                 32084,                124670,,                 17881,                106789,                106789,,,,,,,                105422,                212211,,                106585,                    204,,                172684,                 39527,,                              0.25,,                              0.25,,,,,                117978,                -13056,,                   -500,,
1109,2013年01月01日至2013年03月31日,,                916242,,                789963,                126279,                126279,,,                 51310,,                 39050,                 90360,                 35919,,,                  6646,,                 10995,,                  9926,,,                  7715,                 43634,,                  8544,                 35090,                 35090,,,,,,,                 73963,                109053,,                 37666,                 -2576,,                 85214,                 23839,,                              0.09,,                              0.09,,                              0,,,                 79247,                 -4289,,                    995,,
1109,2012年07月01日至2012年09月30日,,                872593,,                825850,                 46743,                 46743,,,                 40317,,                 34638,                 74955,                -28212,,,                 11327,,                 -3761,,                 11170,,,                 -3604,                -31816,,                  1205,                -33021,                -33021,,,,,,,                -35902,                -68923,,                -11672,                -21349,,                -32120,                -36803,,                             -0.03,,                             -0.03,,,,,                -46364,                 10462,,                              0,,
1109,2012年04月01日至2012年06月30日,,                952315,,                880497,                 71818,                 71818,,,                 38471,,                 22725,                 61196,                 10622,,,                 12373,,                 -9995,,                 10677,,,                 -8299,                  2323,,                  6900,                 -4577,                 -4577,,,,,,,                  9467,                  4890,,                  9887,                -14464,,                 13617,                 -8727,,                              0.02,,                              0.02,,,,,                 17208,                 -7741,,                              0,,
1109,2012年01月01日至2012年12月31日,,              3661986,,              3261634,                400352,                400352,,,                158773,,                151872,                310645,                 89707,,,                 43938,,                  1318,,                 46488,,,                 -1232,                 88475,,                 32677,                 55798,                 55798,,,,,,,                -13593,                 42205,,                 85393,                -29595,,                 99363,                -57158,,                              0.20,,                              0.20,,                              0,,                              0,                -81432,                 27812,                 48225,                  8198,,
1109,2012年01月01日至2012年09月30日,,              2619661,,              2416557,                203104,                203104,,,                112237,,                 88425,                200662,                  2442,,,                 32037,,                -11864,,                 35834,,,                -15661,                -13219,,                 12283,                -25502,                -25502,,,,,,,                -67635,                -93137,,                 13418,                -38920,,                -26073,                -67064,,                              0.03,,                              0.03,,,,,                -84439,                 16804,,                              0,,
1109,2012年01月01日至2012年06月30日,,              1747068,,              1590707,                156361,                156361,,,                 71920,,                 53787,                125707,                 30654,,,                 20710,,                 -8103,,                 24664,,,                -12057,                 18597,,                 11078,                  7519,                  7519,,,,,,,                -31733,                -24214,,                 25090,                -17571,,                  6047,                -30261,,                              0.06,,                              0.06,,,,,                -38075,                  6342,,                              0,,
1109,2012年01月01日至2012年03月31日,,                794753,,                710210,                 84543,                 84543,,,                 33449,,                 31062,                 64511,                 20032,,,                  8337,,                  1892,,                 13987,,,                 -3758,                 16274,,                  4178,                 12096,                 12096,,,,,,,                -22773,                -10677,,                 15203,                 -3107,,                 -7570,                 -3107,,                              0.04,,                              0.04,,                              0,,,                -36856,                 14083,,,                              0,                              0
