證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3023,2014年01月01日至2014年03月31日,,              2741173,,              2144342,                596831,                596831,,,                145864,,                143644,,                 86606,                376114,                220717,,,                 29637,,                 32297,,                  8562,,                    954,                 54326,                275043,,                 78715,                196328,                196328,,,                -12313,                 28230,,                 20832,                 -2699,                 39448,                 39448,                235776,,                200788,                 -4460,,                239361,                 -3585,,                              0.97,,                              0.96,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,
3023,2013年第3季,,              2895131,,              2283318,                611813,                611813,,,                178226,,                143164,,                 89321,                410711,                201102,,,                 17659,,                 75155,,                  8561,,                  7792,                 92045,                293147,,                 89407,                203740,                203740,,,,,,,,,                 -8254,                195486,,                211298,                 -7558,,                203065,                 -7579,,                              1.02,,                              1.02,,,,,,,,,,,,,,,,                -50591,                 15344,,,                 18031,                 -8962
3023,2013年第2季,,              2695954,,              2134694,                561260,                561260,,,                151368,,                131095,,                 91784,                374247,                187013,,,                 57180,,                -18766,,                  9013,,                  6189,                 35590,                222603,,                 65133,                157470,                157470,,,,,,,,,                101336,                258806,,                166158,                 -8688,,                265915,                 -7109,,                              0.80,,                              0.80,,,,,,,,,,,,,,,,                 72516,                 40191,,,                  1260,                 12631
3023,2013年度,,             10555261,,              8287168,              2268093,              2268093,,,                605388,,                583321,,                346386,              1535095,                732998,,,                154837,,                 -6441,,                 37075,,                 22725,                134046,                867044,,                258618,                608426,                608426,,,,,,,,,                319823,                928249,,                663263,                -54837,,                992896,                -64647,,                              3.20,,                              3.19,,,,,,,,,,,,,,,,                170153,                178192,                -20921,,                 22183,                 29784
3023,2013年07月01日至2013年09月30日,,              2895131,,              2283318,                611813,                611813,,,                178226,,                143164,,                 89321,                410711,                201102,,,                 17659,,                 75155,,                  8561,,                  7792,                 92045,                293147,,                 89407,                203740,                203740,,,,,,,,,                 -8254,                195486,,                211298,                 -7558,,                203065,                 -7579,,                              1.02,,                              1.02,,,,,,,,,,,,,,,,                -50185,                 25499,,,                  7470,                 -8962
3023,2013年04月01日至2013年06月30日,,              2695954,,              2134694,                561260,                561260,,,                151368,,                131095,,                 91784,                374247,                187013,,,                 57180,,                -18766,,                  9013,,                  6189,                 35590,                222603,,                 65133,                157470,                157470,,,,,,,,,                101336,                258806,,                166158,                 -8688,,                265915,                 -7109,,                              0.80,,                              0.80,,,,,,,,,,,,,,,,                 71106,                 40191,,,                  2670,                 12631
3023,2013年01月01日至2013年12月31日,,             10555261,,              8287168,              2268093,              2268093,,,                605388,,                583321,,                346386,              1535095,                732998,,,                154837,,                 -6441,,                 37075,,                 22725,                134046,                867044,,                258618,                608426,                608426,,,,,,,,,                319823,                928249,,                663263,                -54837,,                992896,                -64647,,                              3.20,,                              3.19,,,,,,,,,,,,,,,,                170153,                178192,                -20921,,                 22183,                 29784
3023,2013年01月01日至2013年09月30日,,              7913669,,              6234247,              1679422,              1679422,,,                458527,,                395220,,                263211,              1116958,                562464,,,                107325,,                 38988,,                 27951,,                 17366,                135728,                698192,,                205097,                493095,                493095,,,,,,,,,                191479,                684574,,                512055,                -18960,,                699902,                -15328,,                              2.48,,                              2.47,,,,,,,,,,,,,,,,                123269,                 60934,,,                 27388,                 20112
3023,2013年01月01日至2013年06月30日,,              5018538,,              3950929,              1067609,              1067609,,,                280301,,                252056,,                173890,                706247,                361362,,,                 89666,,                -36167,,                 19390,,                  9574,                 43683,                405045,,                115690,                289355,                289355,,,,,,,,,                199733,                489088,,                300757,                -11402,,                496837,                 -7749,,                              1.45,,                              1.45,,,,,,,,,,,,,,,,                173860,                 45590,,,                  9357,                 29074
3023,2013年01月01日至2013年03月31日,,              2322584,,              1816235,                506349,                506349,,,                128933,,                120961,,                 82106,                332000,                174349,,,                 32486,,                -17401,,                 10377,,                  3385,                  8093,                182442,,                 50557,                131885,                131885,,,,,,,,,                 98397,                230282,,                134599,                 -2714,,                230922,                   -640,,                              0.64,,                              0.64,,,,,,,,,,,,,,,,                101344,                  5399,,,                  8097,                 16443
3023,2012年07月01日至2012年09月30日,,              2637918,,              2097394,                540524,                540524,,,                148764,,                149176,,                 77149,                375089,                165435,,,                 52514,,                 14160,,                 15473,,                  8214,                 59415,                224850,,                 76502,                148348,                148348,,,,,,,,,                 -5701,                142647,,                178281,                -29933,,                178190,                -35543,,                              0.97,,                              0.95,,,,,,,,,,,,,,,,                -35341,                 23567,,,                    485,                 -5588
3023,2012年04月01日至2012年06月30日,,              2483305,,              1961350,                521955,                521955,,,                171512,,                142572,,                 79207,                393291,                128664,,,                 63193,,                 33169,,                 17735,,                  3619,                 82246,                210910,,                 76265,                134645,                134645,,,,,,,,,                -29460,                105185,,                153368,                -18723,,                123136,                -17951,,                              0.85,,                              0.76,,,,,,,,,,,,,,,,                 14287,                -36703,,,                 -4211,                  2833
3023,2012年01月01日至2012年12月31日,,             10011618,,              7858803,              2152815,              2152815,,,                564699,,                576177,,                322537,              1463413,                689402,,,                112423,,                -23839,,                 60944,,                  7979,                 35619,                725021,,                245970,                479051,                479051,,,,,,,,,               -101421,                377630,,                548495,                -69444,,                468382,                -90752,,                              2.93,,                              2.92,,,,,,,,,,,,,,,,               -119243,                 -6568,                -10405,,                 16484,                -18311
3023,2012年01月01日至2012年09月30日,,              7403585,,              5819223,              1584362,              1584362,,,                431016,,                409883,,                233126,              1074025,                510337,,,                126385,,                 34018,,                 49616,,                 10959,                121746,                632083,,                220603,                411480,                411480,,,,,,,,,                -62770,                348710,,                471928,                -60448,,                422045,                -73335,,                              2.60,,                              2.55,,,,,,,,,,,,,,,,               -109018,                 20863,,,                  9054,                -16331
3023,2012年01月01日至2012年06月30日,,              4765667,,              3721829,              1043838,              1043838,,,                282252,,                260707,,                155977,                698936,                344902,,,                 73871,,                 19858,,                 34143,,                  2745,                 62331,                407233,,                144101,                263132,                263132,,,,,,,,,                -57069,                206063,,                293647,                -30515,,                243855,                -37792,,                              1.63,,                              1.49,,,,,,,,,,,,,,,,                -73677,                 -2704,,,                  8569,                -10743
3023,2012年01月01日至2012年03月31日,,              2282362,,              1760479,                521883,                521883,,,                110740,,                118135,,                 76770,                305645,                216238,,,                 10678,,                -13311,,                 16408,,                   -874,                -19915,                196323,,                 67836,                128487,                128487,,,,,,,,,                -27609,                100878,,                140279,                -11792,,                120719,                -19841,,                              0.78,,                              0.73,,,,,,,,,,,,,,,,                -87964,                 33999,,,                 12780,                -13576
