證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 廉價購買利益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 現金流量避險
2371,2014年01月01日至2014年03月31日,,,,             29847469,                164310,                217028,             29466131,             29466131,,             23842272,              5623859,              5623859,,,              1374638,,              1289227,,              1402300,              4066165,              1557694,,,                692420,,               -659995,,                804533,,                141425,               -630683,                927011,,                 42440,                884571,                884571,,,                449512,                265714,,                 75487,                 90073,                700640,                700640,              1585211,,                685578,                198993,,              1040245,                544966,,                              0.30,,                              0.30,,,,,,,,,
2371,2013年第3季,,,,             29609994,                239842,                238406,             29131746,             29131746,,             24953580,              4178166,              4178166,,,              1342680,,              1392404,,              1588135,              4323219,               -145053,,,                141258,,                598836,,                789183,,                129062,                 79973,                -65080,,                204078,               -269158,               -269158,,,,,,,,,               -588349,               -857507,,               -136055,               -133103,,               -322010,               -535497,,                             -0.06,,                             -0.06,                              0,                141258,               -571409,                -65870,,,                -17037,                -65967,
2371,2013年第2季,,,,             29121142,                217107,                215119,             28688916,             28688916,,             25680142,              3008774,              3008774,,,              1257577,,              1379724,,              1440797,              4078098,             -1069324,,,              2152155,,             -2249588,,                802701,,                106996,               -793138,             -1862462,,                160343,             -2022805,             -2022805,,,,,,,,,                247065,             -1775740,,               -652181,             -1370624,,               -652328,             -1123412,,                             -0.28,,                             -0.28,              1498470,                653685,                359989,                -22416,,,                 51373,                141881,
2371,2013年度,,,,            114501453,                761962,                812621,            112926870,            112926870,,            100648704,             12278166,             12278166,,,              5022250,,              5355641,,              5666380,             16044271,             -3766105,,,              3493658,,             -1572524,,              3179873,,                 80669,             -1178070,             -4944175,,                375377,             -5319552,             -5319552,,,,,,,,,                830492,             -4489060,,             -1611408,             -3708144,,             -1364192,             -3124868,,                             -0.70,,                             -0.70,              1498470,              1995188,                884448,               -209532,                 93970,,                141010,                 79404,
2371,2013年07月01日至2013年09月30日,,,,             29609994,                239842,                238406,             29131746,             29131746,,             24953580,              4178166,              4178166,,,              1342680,,              1392404,,              1588135,              4323219,               -145053,,,                141258,,                598836,,                789183,,                129062,                 79973,                -65080,,                204078,               -269158,               -269158,,,,,,,,,               -588349,               -857507,,               -136055,               -133103,,               -322010,               -535497,,                             -0.06,,                             -0.06,                              0,                141258,               -571409,                -65870,,,                -17037,                -65967,                              0
2371,2013年04月01日至2013年06月30日,,,,             29121142,                217107,                215119,             28688916,             28688916,,             25680142,              3008774,              3008774,,,              1257577,,              1379724,,              1440797,              4078098,             -1069324,,,              2152155,,             -2249588,,                802701,,                106996,               -793138,             -1862462,,                160343,             -2022805,             -2022805,,,,,,,,,                247065,             -1775740,,               -652181,             -1370624,,               -652328,             -1123412,,                             -0.28,,                             -0.28,              1498470,                653685,                359989,                -22416,,,                 51373,                141881,                              0
2371,2013年01月01日至2013年12月31日,,,,            114501453,                761962,                812621,            112926870,            112926870,,            100648704,             12278166,             12278166,,,              5022250,,              5355641,,              5666380,             16044271,             -3766105,,,              3493658,,             -1572524,,              3179873,,                 80669,             -1178070,             -4944175,,                375377,             -5319552,             -5319552,,,,,,,,,                830492,             -4489060,,             -1611408,             -3708144,,             -1364192,             -3124868,,                             -0.70,,                             -0.70,              1498470,              1995188,                884448,               -209532,                 93970,,                141010,                 79404,
2371,2013年01月01日至2013年09月30日,,,,             84493548,                615324,                662130,             83216094,             83216094,,             74647154,              8568940,              8568940,,,              3632131,,              3953952,,              4240351,             11826434,             -3257494,,,              2587074,,             -1964397,,              2341436,,                294105,             -1424654,             -4682148,,                489437,             -5171585,             -5171585,,,,,,,,,                471635,             -4699950,,             -1592539,             -3579046,,             -1508259,             -3191691,,                             -0.69,,                             -0.69,              1498470,              1088604,                511572,                -83654,,,                 93805,                 50088,                              0
2371,2013年01月01日至2013年06月30日,,,,             54883554,                375482,                423724,             54084348,             54084348,,             49693574,              4390774,              4390774,,,              2289451,,              2561548,,              2652216,              7503215,             -3112441,,,              2445816,,             -2563233,,              1552253,,                165043,             -1504627,             -4617068,,                285359,             -4902427,             -4902427,,,,,,,,,              1059984,             -3842443,,             -1456484,             -3445943,,             -1186249,             -2656194,,                             -0.63,,                             -0.63,              1498470,                947346,              1082981,                -17784,,,                110842,                116055,
2371,2013年01月01日至2013年03月31日,,,,             25762412,                158375,                208605,             25395432,             25395432,,             24013432,              1382000,              1382000,,,              1031874,,              1181824,,              1211419,              3425117,             -2043117,,,                293661,,               -313645,,                749552,,                 58047,               -711489,             -2754606,,                125016,             -2879622,             -2879622,,,,,,,,,                812919,             -2066703,,               -804303,             -2075319,,               -533921,             -1532782,,                             -0.35,,                             -0.35,,,                722992,                  4632,,,                 59469,                -25826,
2371,2012年07月01日至2012年09月30日,,,,             29583718,                149401,                135452,             29298865,             29298865,,             29531109,               -232244,               -232244,,,              1022339,,              1355467,,              1473531,              3851337,             -4083581,,,                710349,,                 88690,,                736903,,                 22100,                 84236,             -3999345,,                104543,             -4103888,             -4103888,,,,,,,,,                215565,             -3888323,,             -1245673,             -2858215,,             -1191807,             -2696516,,                             -0.54,,                             -0.54,                              0,                710349,                221111,                 92232,,,                -36829,                 60949,                              0
2371,2012年04月01日至2012年06月30日,,,,             24997210,                172103,                327705,             24497402,             24497402,,             24284491,                212911,                212911,,,              1563843,,              1097444,,              1203659,              3864946,             -3652035,,,                474673,,               -134357,,                766919,,                104534,               -322069,             -3974104,,                 58702,             -4032806,             -4032806,,,,,,,,,                799355,             -3233451,,             -1009817,             -3022989,,               -940225,             -2293226,,                             -0.43,,                             -0.43,                              0,                474673,                884904,                -23726,,,                 19140,                 86865,                  5902
2371,2012年01月01日至2012年12月31日,,,,            107524498,                765833,                660122,            106098543,            106098543,,            105573558,                524985,                524985,,,              5106976,,              5516659,,              5295197,             15918832,            -15393847,,,              3257731,,                 91379,,              3108781,,               -115297,                125032,            -15268815,,                -60189,            -15208626,            -15208626,,,,,,,,,             -1290912,            -16499538,,             -4018631,            -11189995,,             -4415092,            -12084446,,                             -1.74,,                             -1.74,                              0,              3257731,             -1168562,                 96416,               -252253,,                -88395,               -121882,
2371,2012年01月01日至2012年09月30日,,,,             82581586,                506949,                453054,             81621583,             81621583,,             81720618,                -99035,                -99035,,,              3872794,,              3833692,,              3892156,             11598642,            -11697677,,,              1679366,,                 16331,,              2267229,,                 31840,               -539692,            -12237369,,                230063,            -12467432,            -12467432,,,,,,,,,                 44669,            -12422763,,             -3115992,             -9351440,,             -2960677,             -9462086,,                             -1.34,,                             -1.34,                              0,              1679366,               -347226,                448228,,,                -77622,                -21289,                              0
2371,2012年01月01日至2012年06月30日,,,,             52997868,                357548,                504825,             52135495,             52135495,,             52189509,                -54014,                -54014,,,              2850455,,              2478225,,              2418625,              7747305,             -7801319,,,                969017,,                114864,,              1530326,,                  9740,               -436705,             -8238024,,                125520,             -8363544,             -8363544,,,,,,,,,               -170896,             -8534440,,             -1870319,             -6493225,,             -1768870,             -6765570,,                             -0.81,,                             -0.81,                              0,                969017,               -568337,                355996,,,                -40793,                -82238,                              0
2371,2012年01月01日至2012年03月31日,,,,             28000658,                185445,                177120,             27638093,             27638093,,             27905018,               -266925,               -266925,,,              1286612,,              1380781,,              1214966,              3882359,             -4149284,,,                494344,,                249221,,                763407,,                -94794,               -114636,             -4263920,,                 66818,             -4330738,             -4330738,,,,,,,,,               -970251,             -5300989,,               -860502,             -3470236,,               -828645,             -4472344,,                             -0.37,,                             -0.37,,,             -1453241,                379722,,,                -59933,               -169103,                 -5902
