證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）,　 停業單位損益,　　 停業單位損益合計
6152,2013年07月01日至2013年09月30日,,              2608407,,              2226086,                382321,                382321,,,                 46517,,                198755,,                 88456,                333728,                 48593,,,                 29454,,                  8471,,                  5076,,                  1469,                 34318,                 82911,,                 50931,                 31980,                 31980,,,,,,,,                -16863,                 15117,,                 30879,                  1101,,                 14235,                    882,,                              0.18,,                              0.18,                -20406,,                    134,                 -3409,,,
6152,2013年04月01日至2013年06月30日,,              3278523,,              2830431,                448092,                448092,,,                 60769,,                188804,,                 89902,                339475,                108617,,,                 12373,,                  8078,,                  5259,,                  3248,                 18440,                127057,,                 33313,                 93744,                 93744,,,,,,,,                 34660,                128404,,                 94047,                   -303,,                128338,                     66,,                              0.55,,                              0.54,                 41401,,                    238,                  6979,,,
6152,2013年01月01日至2013年12月31日,,             11828464,,             10194501,              1633963,              1633963,,,                214087,,                767893,,                367715,              1349695,                284268,,,                 54911,,                148737,,                 21082,,                 -1829,                180737,                465005,,                117049,                347956,                347956,,,,,,,,                 99168,                447124,,                348865,                   -909,,                446978,                    146,,                              2.03,,                              1.99,                114420,,                  1358,                 19675,                  3065,,
6152,2013年01月01日至2013年09月30日,,              8740001,,              7500305,              1239696,              1239696,,,                169733,,                565812,,                270378,              1005923,                233773,,,                 48879,,                134117,,                 15879,,                  5204,                172321,                406094,,                124678,                281416,                281416,,,,,,,,                 59102,                340518,,                281056,                    360,,                339478,                  1040,,                              1.63,,                              1.61,                 69415,,                  1610,                 11923,,,
6152,2013年01月01日至2013年06月30日,,              6131594,,              5274219,                857375,                857375,,,                123216,,                367057,,                181922,                672195,                185180,,,                 19425,,                125646,,                 10803,,                  3735,                138003,                323183,,                 73747,                249436,                249436,,,,,,,,                 75965,                325401,,                250177,                   -741,,                325243,                    158,,                              1.46,,                              1.43,                 89821,,                  1476,                 15332,,,
6152,2013年01月01日至2013年03月31日,,              2853071,,              2443788,                409283,                409283,,,                 62447,,                178253,,                 92020,                332720,                 76563,,,                  7052,,                117568,,                  5544,,                    487,                119563,                196126,,                 40434,                155692,                155692,,,,,,,,                 41305,                196997,,                156130,                   -438,,                196905,                     92,,                              0.96,,                              0.95,                 48420,,                  1238,                  8353,,,                              0
6152,2012年07月01日至2012年09月30日,,              3368723,,              2850548,                518175,                518175,,,                 52654,,                181976,,                 91439,                326069,                192106,,,                 10834,,                -31498,,                  8710,,                  2380,                -26994,                165112,,                 43256,                121856,                121856,,,,,,,,                 -3408,                118448,,                122244,                   -388,,                118974,                   -526,,                              0.72,,                              0.71,                 -3621,,                   -459,                   -672,,,
6152,2012年04月01日至2012年06月30日,,              3452400,,              2864375,                588025,                588025,,,                 59994,,                192665,,                 96416,                349075,                238950,,,                  5392,,                 19379,,                  4816,,                    -50,                 19905,                258855,,                 74945,                183910,                183910,,,,,,,,                 -1315,                182595,,                183845,                     65,,                182471,                    124,,                              1.14,,                              1.11,                 -2071,,                    523,                   -233,,,
6152,2012年01月01日至2012年12月31日,,             12678033,,             10689077,              1988956,              1988956,,,                206102,,                749095,,                354439,              1309636,                679320,,,                 33302,,                -72451,,                 25931,,                -12098,                -77178,                602142,,                170701,                431441,                431441,,,,,,,,                -47248,                384193,,                432225,                   -784,,                385541,                 -1348,,                              2.55,,                              2.50,                -31290,,                 -1482,                 -5441,                -19917,,
6152,2012年01月01日至2012年09月30日,,              9272505,,              7726019,              1546486,              1546486,,,                151297,,                555700,,                271073,                978070,                568416,,,                 24901,,                -43218,,                 19206,,                  2645,                -34878,                533538,,                145687,                387851,                387851,,,,,,,,                -34022,                353829,,                389035,                 -1184,,                355590,                 -1761,,                              2.30,,                              2.25,                -39204,,                 -1622,                 -6804,,,
6152,2012年01月01日至2012年06月30日,,              5903782,,              4875471,              1028311,              1028311,,,                 98643,,                373724,,                179634,                652001,                376310,,,                 14067,,                -11720,,                 10496,,                    265,                 -7884,                368426,,                102431,                265995,                265995,,,,,,,,                -30614,                235381,,                266791,                   -796,,                236616,                 -1235,,                              1.66,,                              1.61,                -35583,,                 -1163,                 -6132,,,
6152,2012年01月01日至2012年03月31日,,              2451382,,              2011096,                440286,                440286,,,                 38649,,                181059,,                 83218,                302926,                137360,,,                  8675,,                -31099,,                  5680,,                    315,                -27789,                109571,,                 27486,                 82085,                 82085,,,,,,,,                -29299,                 52786,,                 82946,                   -861,,                 54145,                 -1359,,                              0.54,,                              0.54,                -33512,,                 -1686,                 -5899,,,                              0
