證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益
3043,2014年01月01日至2014年06月30日,,,                665126,                665126,,                600042,                 65084,                 65084,,,                 73126,,                 98811,,                 38320,                210257,               -145173,,,,                    279,                     48,                              0,                 25831,                120828,                146986,,                              0,                    292,                              0,                              0,                     34,                      5,                              0,                  8046,                              0,,                  7016,                -14809,,                 10713,,                              0,                  1726,                 -1726,                119738,                -25435,,                  2154,                -27589,                -27589,,,                    195,,                              0,                              0,                    195,,                  1407,                   -215,,                              0,                              0,                  1192,                  1387,                -26202,,                -29470,                  1881,,                -28085,                  1883,,                             -0.14,                             -0.14,,,,,,,,
3043,2014年01月01日至2014年03月31日,,,                344743,                344743,,                296947,                 47796,                 47796,,,                 40555,,                 42543,,                 20216,                103314,                -55518,,,,                    213,                     24,,                 14006,                 93679,                107922,,,,                  3416,                              0,                     18,                      3,                              0,,,,                              0,                  3395,,                  5433,,,                    666,                   -666,                105218,                 49700,,                    607,                 49093,                 49093,,,,,,,,,,,,,,,                 -2874,                 46219,,                 47738,                  1355,,                 44825,                  1394,,                              0.25,                              0.25,                 -3211,                   -353,                    651,,                              0,                     39,                              0,
3043,2013年第3季,,,,                503427,,                484339,                 19088,                 19088,,,                 27542,,                 48514,,                 16819,                 92875,                -73787,,,,                    539,                     14,                     82,                              0,                 23687,                 24322,,,                              0,                 -8657,                              0,                    807,                              0,                              0,                              0,                    270,,                 18652,                -28386,,                  7838,,,                  1002,                 -1002,                -12904,                -86691,,                 46443,               -133134,               -133134,,,,,,,,,,,,,,,                  2676,               -130458,,               -130122,                 -3012,,               -127206,                 -3252,,                             -0.67,                             -0.67,                  3441,                    -58,                   -398,,                    -36,                    275,                    548,
3043,2013年第2季,,,                433867,                433867,,                410968,                 22899,                 22899,,,                 18563,,                109623,,                 17226,                145412,               -122513,,,,                    527,                     15,                     51,                              0,                 27749,                 28342,,,                              0,                 20034,                              0,                 11419,                    178,                              0,                              0,                   -285,,                  1708,                  7014,,                  7595,,                              0,                    815,                   -815,                 26946,                -95567,,                    769,                -96336,                -96336,,,,,,,,,,,,,,,                 -1045,                -97381,,                -77249,                -19087,,                -78194,                -19187,,                             -0.40,                             -0.40,                 -1199,                     60,                              0,,                   -120,                              0,                   -214,
3043,2013年度,,,,              1820525,,              1830209,                 -9684,                 -9684,,,                185892,,                215654,,                 68771,                470317,               -480001,,,,                  2047,                     64,                    133,                              0,                 98314,                100558,,,                              0,                 16517,                  1287,                 79450,                    135,,,,,                              0,                -61781,,                 29808,,,                  6469,                 -6469,                  2500,               -477501,,                 45463,               -522964,               -522964,,,,,,,,,,,,,,,                -11009,               -533973,,               -485191,                -37773,,               -496469,                -37504,,                             -2.68,                             -2.68,                 -5237,                    425,                 -6466,,                              0,                    269,                              0,
3043,2013年07月01日至2013年09月30日,,,                503427,                503427,,                484339,                 19088,                 19088,,,                 27542,,                 48514,,                 16819,                 92875,                -73787,,,,                    539,                     14,                     82,,                 23687,                 24322,,,,                 -8657,                              0,                    807,                              0,                              0,,                    270,,                 18652,                -28386,,                  7838,,                 -1002,,                 -1002,                -12904,                -86691,,                 46443,               -133134,               -133134,,,,,,,,,,,,,,,                  2676,               -130458,,               -136838,                  3704,,               -134060,                  3602,,                             -0.70,                             -0.70,                  3405,                    -58,,,                   -123,                              0,                    548,
3043,2013年04月01日至2013年06月30日,,,                433867,                433867,,                410968,                 22899,                 22899,,,                 18563,,                109623,,                 17226,                145412,               -122513,,,,                    527,                     15,                     51,,                 27749,                 28342,,,,                 20034,                              0,                 11419,                    178,                              0,,                   -285,,                  1708,                  7014,,                  7595,,                   -815,,                   -815,                 26946,                -95567,,                    769,                -96336,                -96336,,,,,,,,,,,,,,,                 -1045,                -97381,,               -114939,                 18603,,                -78194,                -19187,,                             -0.59,                             -0.59,                 -1199,                     60,,,                   -120,,                   -214,
3043,2013年01月01日至2013年12月31日,,,              1820525,              1820525,,              1830209,                 -9684,                -11807,,,                185892,,                215654,,                 68771,                470317,               -482124,,,,                  2047,                     64,                    133,,                 98314,                100558,,,,                 16517,                  1287,                 79450,                    135,                              0,,,,                              0,                -61781,,                 29808,,,                  4346,                 -4346,                  4623,               -477501,,                 45463,               -522964,               -522964,,,,,,,,,,,,,,,                -11009,               -533973,,               -485191,                -37773,,               -496469,                -37504,,                             -2.68,                             -2.68,                 -5237,                    425,                 -6466,,                              0,                    269,                              0,                  2123
3043,2013年01月01日至2013年09月30日,,,,              1247371,,              1271039,                -23668,                -23668,,,                 79726,,                202463,,                 51260,                333449,               -357117,,,,                  1506,                     43,                    133,                              0,                 56074,                 57756,,,                              0,                 39500,                              0,                 12423,                    178,                              0,                              0,                  1563,,                 28610,                 -3274,,                 23799,,,                  2444,                 -2444,                 28239,               -328878,,                 49329,               -378207,               -378207,,,,,,,,,,,,,,,                 -2889,               -381096,,               -363066,                -15141,,               -366183,                -14913,,                             -1.86,                             -1.86,                 -3763,                     43,                              0,,                    -36,                    275,                   -592,
3043,2013年01月01日至2013年06月30日,,,                743944,                743944,,                786700,                -42756,                -42756,,,                 52184,,                153949,,                 34441,                240574,               -283330,,,,                    967,                     29,                     51,                              0,                 32387,                 33434,,,                              0,                 48157,                              0,                 11616,                    178,                              0,                              0,                  1293,,                  9958,                 25112,,                 15961,,                              0,                  1442,                 -1442,                 41143,               -242187,,                  2886,               -245073,               -245073,,,,,,,,,,,,,,,                 -5565,               -250638,,               -226228,                -18845,,               -232123,                -18515,,                             -1.16,                             -1.16,                 -7204,                    101,                              0,,                    398,                              0,                 -1140,
3043,2013年01月01日至2013年03月31日,,,                310077,                310077,,                375732,                -65655,                -65655,,,                 33621,,                 44326,,                 17215,                 95162,               -160817,,,,                    440,                     14,,                              0,                  4638,                  5092,,,,                 28123,                              0,                    197,                              0,                  8250,,,,                  1578,                 18098,,                  8366,,,                    627,                   -627,                 14197,               -146620,,                  2117,               -148737,               -148737,,,,,,,,,,,,,,,                 -4216,               -152953,,               -148979,                    242,,               -153499,                    546,,                             -0.76,                             -0.76,                 -5486,                     41,                              0,,                    252,                              0,                   -977,
3043,2012年07月01日至2012年09月30日,,,                581562,                581562,,                570079,                 11483,                 11483,,,                 55347,,                 46463,,                 16359,                118169,               -106686,,,,                    719,                     14,                     35,,                  9080,                  9848,,,,                 -8398,                     27,                    101,                      5,                              0,,                  2055,,                  5211,                -15743,,                  9252,,                   -430,,                   -430,                -15577,               -122263,,                   -486,               -121777,               -121777,,,,,,,,,,,,,,,                     80,               -121697,,               -118765,                 -3012,,               -118445,                 -3252,,                             -0.61,                             -0.61,                     71,                    204,,,                   -289,                              0,                    -94,
3043,2012年04月01日至2012年06月30日,,,                565883,                565883,,                520850,                 45033,                 45033,,,                117430,,                361159,,                 23202,                501791,               -456758,,,,                    710,                    104,                              0,,                  6162,                  6976,,,,                 -6032,                 -3351,                  4333,                              0,                              0,,                              0,,                              0,                -13716,,                 10458,,                 -1610,,                 -1610,                -18808,               -475566,,                    884,               -476450,               -476450,,,,,,,,,,,,,,,                    111,               -476339,,               -476024,                   -426,,               -475239,                 -1100,,                             -2.44,                             -2.44,                    424,                   -228,,,                     48,,                    133,
3043,2012年01月01日至2012年12月31日,,,              2301519,              2301519,,              2161337,                140182,                140182,,,                206219,,                893381,,                 76025,              1175625,             -1035443,,,,                  2611,                    149,                     35,,                              0,                  2795,,,,                -17598,                              0,                 16107,                    110,                     61,,,,                    495,                -34371,,                 37079,,,                  4108,                 -4108,                -72763,             -1108206,,                  7721,             -1115927,             -1115927,,,,,,,,,,,,,,,                    921,             -1115006,,             -1117513,                  1586,,             -1115397,                    391,,                             -5.72,                             -5.72,                 -6531,                     70,                  8717,,                              0,                 -1335,                              0,                              0
3043,2012年01月01日至2012年09月30日,,,              1621138,              1621138,,              1440866,                180272,                180272,,,                448135,,                458667,,                 59157,                965959,               -785687,,,,                  1977,                    135,                     35,,                 17177,                 19324,,,,                  8303,                              0,                  5134,                      5,                     61,,                  2055,,                  5211,                 -4163,,                 28624,,                 -2039,,                 -2039,                -15502,               -801189,,                  7853,               -809042,               -809042,,,,,,,,,,,,,,,                 -7752,               -816794,,               -805247,                 -3795,,               -812017,                 -4777,,                             -4.13,                             -4.13,                 -7229,                    -12,,,                   -916,                 -1183,                 -1588,
3043,2012年01月01日至2012年06月30日,,,              1039576,              1039576,,                870787,                168789,                168789,,,                392788,,                412204,,                 42798,                847790,               -679001,,,,                  1258,                    121,                              0,,                  8097,                  9476,,,,                 16701,                    -27,                  5033,                              0,                     61,,                              0,,                              0,                 11580,,                 19372,,                 -1609,,                 -1609,                     75,               -678926,,                  8339,               -687265,               -687265,,,,,,,,,,,,,,,                 -6850,               -694115,,               -686482,                   -783,,               -692812,                 -1303,,                             -3.52,                             -3.52,                 -7300,                   -216,,,                   -627,,                 -1293,
3043,2012年01月01日至2012年03月31日,,,,                473693,,                349937,                123756,                123756,,,                275358,,                 51045,,                 19596,                345999,               -222243,,,,                    548,                     17,,,                  1935,                  2500,,,,                 22733,                  3324,                    700,,                     61,,                              0,,                              0,                 25296,,                  8914,,                      1,,                      1,                 18883,               -203360,,                  7455,               -210815,               -210815,,,,,,,,,,,,,,,                 -6961,               -217776,,               -211172,                    357,,               -217573,                   -203,,                             -1.08,                             -1.08,                 -7724,                     12,,,                   -675,,                 -1426,
