證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
1589,2014年01月01日至2014年03月31日,,              1636341,,              1145149,                491192,                491192,,,                 77670,,                102807,,                 16484,                196961,                294231,,,,                  6464,                  1796,                  1803,                 10063,,                -13365,                  8702,                -22067,,                 14762,                 14762,                -26766,                267465,,                 59153,                208312,                208312,,,                 76741,                 76741,                 76741,                285053,,                208312,                              0,,                285053,                              0,,                              2.06,                              2.06,,                              2.06,                              2.06,
1589,2013年第3季,,              1631011,,              1146950,                484061,                484061,,,                107937,,                 95600,,                 20149,                223686,                260375,,,,                    173,                  1476,                  2086,                  3735,,                    314,                 -1881,                  2195,,                 16973,                 16973,                -11043,                249332,,                 62297,                187035,                187035,,,,,                -47239,                139796,,                187035,                              0,,                139796,                              0,,                              1.85,                              1.85,,                              1.85,                              1.85,                -47239
1589,2013年第2季,,              1414860,,              1047848,                367012,                367012,,,                 82599,,                 91908,,                 25883,                200390,                166622,,,,                  3576,                  1425,                   -359,                  4642,,                  3507,                 -5010,                  8517,,                 17720,                 17720,                 -4561,                162061,,                 38225,                123836,                123836,,,,,                104591,                228427,,                123836,,,                228427,,,                              1.23,                              1.23,,                              1.22,                              1.22,                104591
1589,2013年度,,              5899431,,              4212042,              1687389,              1687389,,,                346197,,                389792,,                 89492,                825481,                861908,,,,                 14507,                  5589,                -79793,                -59697,,                  6514,                  7879,                 -1365,,                 71270,                 71270,               -132332,                729576,,                188457,                541119,                541119,,,,,                286228,                827347,,                541119,                              0,,                827347,                              0,,                              5.36,                              5.36,,                              5.35,                              5.35,                286228
1589,2013年07月01日至2013年09月30日,,              1631011,,              1146950,                484061,                484061,,,                107937,,                 95600,,                 20149,                223686,                260375,,,,                    173,                  1476,                  2086,                  3735,,                    314,                 -1881,                  2195,,                 16973,                 16973,                -11043,                249332,,                 62297,                187035,                187035,,,,,                -47239,                139796,,                187035,,,                139796,,,                              1.85,                              1.85,,                              1.85,                              1.85,                -47239
1589,2013年04月01日至2013年06月30日,,              1414860,,              1047848,                367012,                367012,,,                 82599,,                 91908,,                 25883,                200390,                166622,,,,                  3576,                  1425,                   -359,                  4642,,                  3507,                 -5010,                  8517,,                 17720,                 17720,                 -4561,                162061,,                 38225,                123836,                123836,,,,,                104591,                228427,,                123836,                              0,,                228427,                              0,,                              1.23,                              1.23,,,                              1.22,                104591
1589,2013年01月01日至2013年12月31日,,              5899431,,              4212042,              1687389,              1687389,,,                346197,,                389792,,                 89492,                825481,                861908,,,,                 14507,                  5589,                -79793,                -59697,,                  6514,                  7879,                 -1365,,                 71270,                 71270,               -132332,                729576,,                188457,                541119,                541119,,,,,                286228,                827347,,                541119,,,                827347,,,                              5.36,                              5.36,,                              5.35,                              5.35,                286228
1589,2013年01月01日至2013年09月30日,,              4215058,,              3057561,              1157497,              1157497,,,                247368,,                288810,,                 59614,                595792,                561705,,,,                  5669,                  4260,                  2234,                 12163,,                  3821,                  1354,                  2467,,                 52430,                 52430,                -37800,                523905,,                128457,                395448,                395448,,,,,                221709,                617157,,                395448,                              0,,                617157,                              0,,                              3.92,                              3.92,,                              3.90,                              3.90,                221709
1589,2013年01月01日至2013年06月30日,,              2584047,,              1910611,                673436,                673436,,,                139431,,                193210,,                 39465,                372106,                301330,,,,                  5496,                  2784,                    148,                  8428,,                  3507,                  3235,                    272,,                 35457,                 35457,                -26757,                274573,,                 66160,                208413,                208413,,,,,                268948,                477361,,                208413,,,                477361,,,                              2.07,                              2.07,,                              2.05,                              2.05,                268948
1589,2013年01月01日至2013年03月31日,,              1169187,,                873494,                295693,                295693,,,                 46101,,                101302,,                 13582,                160985,                134708,,,,                  1920,                  1359,                    507,                  3786,,                              0,                  8245,                 -8245,,                 17737,                 17737,                -22196,                112512,,                 27935,                 84577,                 84577,,,,,                164357,                248934,,                 84577,,,                248934,,,                              0.84,                              0.84,,                              0.83,                              0.83,                164357
1589,2012年07月01日至2012年09月30日,,              1316943,,              1026057,                290886,                290886,,,                 55399,,                 91369,,                              0,                146768,                144118,,,,                    601,                  1308,                  3765,                  5674,,                    110,                 -5467,                  5577,,                 20586,                 20586,                 -9335,                134783,,                 23825,                110958,                110958,,,,,                 54343,                165301,,                110958,,,                165301,,,                              1.10,                              1.10,,                              1.10,                              1.10,                 54343
1589,2012年04月01日至2012年06月30日,,              1544860,,              1186917,                357943,                357943,,,                142666,,                101162,,                              0,                243828,                114115,,,,                    744,                  1095,                 -2442,                   -603,,                    110,                  9959,                 -9849,,                 25807,                 25807,                -36259,                 77856,,                 21474,                 56382,                 56382,,,,,                 42460,                 98842,,                 56382,                              0,,                 98842,                              0,,                              0.57,                              0.57,,,                              0.57,                 42460
1589,2012年01月01日至2012年12月31日,,              5261316,,              4045865,              1215451,              1215451,,,                294063,,                374666,,                              0,                668729,                546722,,,,                  4241,                  6014,                 -2181,                  8074,,                    220,                 -5781,                  6001,,                 96691,                 96691,                -82616,                464106,,                 93721,                370385,                370385,,,,,               -209700,                160685,,                370385,,,                160685,,,                              3.79,                              3.79,,                              3.77,                              3.77,               -209700
1589,2012年01月01日至2012年09月30日,,              4145841,,              3205340,                940501,                940501,,,                262080,,                284602,,                              0,                546682,                393819,,,,                  2261,                  4509,                    903,                  7673,,                    221,                 -7288,                  7509,,                 76305,                 76305,                -61123,                332696,,                 65540,                267156,                267156,,,,,               -191853,                 75303,,                267156,,,                 75303,,,                              2.76,                              2.76,,                              2.75,                              2.75,               -191853
1589,2012年01月01日至2012年06月30日,,              2828898,,              2179283,                649615,                649615,,,                206681,,                193233,,                              0,                399914,                249701,,,,                  1660,                  3201,                 -2861,                  2000,,                    110,                 -1821,                  1931,,                 55719,                 55719,                -51788,                197913,,                 41715,                156198,                156198,,,,,               -137510,                 18688,,                156198,                              0,,                 18688,                              0,,                              1.65,                              1.65,,,                              1.65,               -137510
1589,2012年01月01日至2012年03月31日,,              1284038,,                992366,                291672,                291672,,,                 64015,,                 92071,,                              0,                156086,                135586,,,,                    916,,                  1687,                  2603,,,                -11780,                 11780,,                 29912,                 29912,                -15529,                120057,,                 20241,                 99816,                 99816,,,,,               -179970,                -80154,,                 99816,,,                -80154,,,                              1.10,                              1.10,,                              0.00,                              0.00,               -179970
