證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）
6405,2014年01月01日至2014年03月31日,,                458765,,                326022,                132743,                132743,,,                  4281,,                 19046,,                  8886,                 32213,                100530,,,                  5871,,                 -1138,,                  1387,                  3346,                103876,,                 27323,                 76553,                 76553,,,                 -3680,                 -3680,                 -3680,                 72873,,                 76553,,                 72873,,                              1.16,                              1.16,,                              1.15,                              1.15,,,
6405,2013年第3季,,                567295,,                364334,                202961,                202961,,,                  4451,,                 19386,,                  6059,                 29896,                173065,,,                    694,,                 -1272,,                  1461,                 -2039,                171026,,                 45700,                125326,                125326,,,,,                 -3812,                121514,,                125326,,                121514,,                              2.08,                              2.08,,                              2.07,                              2.07,                 -3812,,
6405,2013年第2季,,                441969,,                310926,                131043,                131043,,,                  4432,,                 20380,,                  5283,                 30095,                100948,,,                  1825,,                    371,,                  1693,                    503,                101451,,                 39719,                 61732,                 61732,,,,,                  5390,                 67122,,                 61732,,                 67122,,                              1.03,                              1.03,,                              1.02,                              1.02,                  5390,,
6405,2013年度,,              2013227,,              1365297,                647930,                647930,,,                 18989,,                 78780,,                 28937,                126706,                521224,,,                  5964,,                  4463,,                  6460,                  3967,                525191,,                146874,                378317,                378317,,,,,                 16124,                394441,,                378317,,                394441,,                              6.24,                              6.24,,                              6.18,                              6.18,                 16124,,
6405,2013年07月01日至2013年09月30日,,                567295,,                364334,                202961,                202961,,,                  4451,,                 19386,,                  6059,                 29896,                173065,,,                    694,,                 -1272,,                  1461,                 -2039,                171026,,                 45700,                125326,                125326,,,,,                 -3812,                121514,,                125326,,                121514,,                              2.08,                              2.08,,                              2.07,                              2.07,                 -3812,,
6405,2013年04月01日至2013年06月30日,,                441969,,                310926,                131043,                131043,,,                  4432,,                 20380,,                  5283,                 30095,                100948,,,                  1825,,                    371,,                  1693,                    503,                101451,,                 39719,                 61732,                 61732,,,,,                  5390,                 67122,,                 61732,,                 67122,,                              1.03,                              1.03,,                              1.02,                              1.02,                  5390,,
6405,2013年01月01日至2013年12月31日,,              2013227,,              1365297,                647930,                647930,,,                 18989,,                 78780,,                 28937,                126706,                521224,,,                  5964,,                  4463,,                  6460,                  3967,                525191,,                146874,                378317,                378317,,,,,                 16124,                394441,,                378317,,                394441,,                              6.24,                              6.24,,                              6.18,                              6.18,                 16124,,
6405,2013年01月01日至2013年09月30日,,              1492808,,              1000591,                492217,                492217,,,                 14123,,                 55256,,                 14231,                 83610,                408607,,,                  3932,,                    843,,                  5039,                   -264,                408343,,                116594,                291749,                291749,,,,,                  8328,                300077,,                291749,,                300077,,                              4.85,                              4.85,,                              4.81,                              4.81,                  8328,,
6405,2013年01月01日至2013年06月30日,,                925513,,                636257,                289256,                289256,,,                  9672,,                 35870,,                  8172,                 53714,                235542,,,                  3238,,                  2115,,                  3578,                  1775,                237317,,                 70894,                166423,                166423,,,,,                 12140,                178563,,                166423,,                178563,,                              2.77,                              2.77,,                              2.75,                              2.75,                 12140,,
6405,2013年01月01日至2013年03月31日,,                483544,,                325331,                158213,                158213,,,                  5240,,                 15490,,                  2889,                 23619,                134594,,,                  1413,,                  1744,,                  1885,                  1272,                135866,,                 31175,                104691,                104691,,,,,                  6750,                111441,,                104691,,                111441,,                              1.74,                              1.74,,                              1.73,                              1.73,                  6750,                              0,                              0
6405,2012年07月01日至2012年09月30日,,                506009,,                319337,                186672,                186672,,,                  6303,,                 18910,,                 10434,                 35647,                151025,,,                    268,,                 -2402,,                  2679,                 -4813,                146212,,                 28192,                118020,                118020,,,,,                 -4175,                113845,,                118020,,                113845,,                              2.07,                              2.07,,                              2.01,                              2.01,                 -4175,,
6405,2012年04月01日至2012年06月30日,,                462488,,                298923,                163565,                163565,,,                  5586,,                 15961,,                  5435,                 26982,                136583,,,                    326,,                    811,,                  2631,                 -1494,                135089,,                 35262,                 99827,                 99827,,,,,                  1459,                101286,,                 99827,,                101286,,                              1.75,                              1.75,,                              1.66,                              1.66,                  1459,,
6405,2012年01月01日至2012年12月31日,,              1874497,,              1214803,                659694,                659694,,,                 22825,,                 70037,,                 28103,                120965,                538729,,,                  1958,,                 -2363,,                 10631,                -11036,                527693,,                121321,                406372,                406372,,,,,                 -3862,                402510,,                406372,,                402510,,                              6.75,                              6.75,,                              6.59,                              6.59,                 -3862,,
6405,2012年01月01日至2012年09月30日,,              1331217,,                857725,                473492,                473492,,,                 16585,,                 51054,,                 21264,                 88903,                384589,,,                  1318,,                 -2197,,                  7995,                 -8874,                375715,,                 85383,                290332,                290332,,,,,                 -5966,                284366,,                290332,,                284366,,                              5.10,                              5.10,,                              4.94,                              4.94,                 -5966,,
6405,2012年01月01日至2012年06月30日,,                825208,,                538388,                286820,                286820,,,                 10282,,                 32144,,                 10830,                 53256,                233564,,,                  1050,,                    205,,                  5316,                 -4061,                229503,,                 57191,                172312,                172312,,,,,                 -1791,                170521,,                172312,,                170521,,                              3.02,                              3.02,,                              2.86,                              2.86,                 -1791,,
