證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1227,2014年01月01日至2014年03月31日,,              5307080,,              3883952,              1423128,              1423128,,,                611136,,                137691,,                 23468,                772295,                650833,,,                 20735,,                -11085,,                  4305,                  5345,                656178,,                114013,                542165,                542165,,,                 59570,                  7921,                 10896,                 56595,                 56595,                598760,,                539088,                  3077,,                595676,                  3084,,                              0.75,,                              0.75,,,,,,,,
1227,2013年第3季,,              5573201,,              4085950,              1487251,              1487251,,,                830744,,                150403,,                 22071,              1003218,                484033,,,                 18019,,                 -1889,,                  5655,                 10475,                494508,,                 89547,                404961,                404961,,,,,,,                -30379,                374582,,                401779,                  3182,,                371399,                  3183,,                              0.56,,                              0.56,                -38360,                  1559,,,                              0,                 -6422,,
1227,2013年第2季,,              4441329,,              3262769,              1178560,              1178560,,,                673699,,                101205,,                 20347,                795251,                383309,,,                 19971,,                 12127,,                  2670,                 29428,                412737,,                 77081,                335656,                335656,,,,,,,                 49222,                384878,,                336275,                   -619,,                385506,                   -628,,                              0.47,,                              0.47,                 82160,                -22176,,,                              0,                 10762,,
1227,2013年度,,             20379206,,             14723320,              5655886,              5655886,,,              3106699,,                459059,,                 92822,              3658580,              1997306,,,                 82122,,                186499,,                 17650,                250971,              2248277,,                385422,              1862855,              1862855,,,,,,,                159561,              2022416,,              1859582,                  3273,,              2018987,                  3429,,                              2.60,,                              2.60,                236193,                -14007,                -28638,,                 -2158,                 31829,,
1227,2013年07月01日至2013年09月30日,,              5573201,,              4085950,              1487251,              1487251,,,                830744,,                150403,,                 22071,              1003218,                484033,,,                 18019,,                 -1889,,                  5655,                 10475,                494508,,                 89547,                404961,                404961,,,,,,,                -30379,                374582,,                401779,                  3182,,                371399,                  3183,,                              0.61,,                              0.61,                -38360,                  1559,,,                              0,                 -6422,,                              0
1227,2013年04月01日至2013年06月30日,,              4441329,,              3262769,              1178560,              1178560,,,                673699,,                101205,,                 20347,                795251,                383309,,,                 19971,,                 12127,,                  2670,                 29428,                412737,,                 77081,                335656,                335656,,,,,,,                 49222,                384878,,                336275,                   -619,,                385506,                   -628,,                              0.51,,                              0.51,                 82160,                -22176,,,                              0,                 10762,,                              0
1227,2013年01月01日至2013年12月31日,,             20379206,,             14723320,              5655886,              5655886,,,              3106699,,                459059,,                 92822,              3658580,              1997306,,,                 82122,,                186499,,                 17650,                250971,              2248277,,                385422,              1862855,              1862855,,,,,,,                159561,              2022416,,              1859582,                  3273,,              2018987,                  3429,,                              2.83,,                              2.83,                236193,                -14007,                -28638,,                 -2158,                 31829,,                              0
1227,2013年01月01日至2013年09月30日,,             15090860,,             10842867,              4247993,              4247993,,,              2212560,,                358262,,                 60636,              2631458,              1616535,,,                 61853,,                 82821,,                 11721,                132953,              1749488,,                309202,              1440286,              1440286,,,,,,,                117800,              1558086,,              1438717,                  1569,,              1556522,                  1564,,                              2.01,,                              2.01,                163213,                -18989,,,                 -2158,                 24266,,
1227,2013年01月01日至2013年06月30日,,              9517659,,              6756917,              2760742,              2760742,,,              1381816,,                207859,,                 38565,              1628240,              1132502,,,                 43834,,                 84710,,                  6066,                122478,              1254980,,                219655,              1035325,              1035325,,,,,,,                148179,              1183504,,              1036938,                 -1613,,              1185123,                 -1619,,                              1.45,,                              1.45,                201573,                -20548,,,                 -2158,                 30688,,
1227,2013年01月01日至2013年03月31日,,              5076330,,              3494148,              1582182,              1582182,,,                708117,,                106654,,                 18218,                832989,                749193,,,                 23863,,                 72583,,                  3396,                 93050,                842243,,                142574,                699669,                699669,,,,,,,                 98957,                798626,,                700663,                   -994,,                799617,                   -991,,                              1.07,,                              1.07,                119413,                  1628,,,                 -2158,                 19926,,
1227,2012年07月01日至2012年09月30日,,              4836258,,              3311918,              1524340,              1524340,,,                746230,,                111721,,                 19239,                877190,                647150,,,                 67299,,                  4832,,                  1621,                 71250,                718400,,                130406,                587994,                587994,,,,,,,                -61535,                526459,,                587506,                    488,,                525960,                    499,,                              0.90,,                              0.89,                -83275,                  9316,,,                   -326,                -12750,,                    740
1227,2012年04月01日至2012年06月30日,,              4185374,,              2926636,              1258738,              1258738,,,                790307,,                 74340,,                 16593,                881240,                377498,,,                 24193,,                 17166,,                  1413,                 93805,                471303,,                 84737,                386566,                386566,,,,,,,                 19944,                406510,,                385282,                  1284,,                405224,                  1286,,                              0.59,,                              0.59,                 25685,                 -2556,,,                  1201,                  4386,,                 53859
1227,2012年01月01日至2012年12月31日,,             17853762,,             12413591,              5440171,              5440171,,,              2540875,,                420539,,                 72559,              3033973,              2406198,,,                230973,,                 57142,,                  7018,                336831,              2743029,,                496735,              2246294,              2246294,,,,,,,               -112182,              2134112,,              2241130,                  5164,,              2129157,                  4955,,                              3.41,,                              3.41,               -142804,                 28731,                -21856,,                 -1063,                -24810,,                 55734
1227,2012年01月01日至2012年09月30日,,             13229859,,              9214889,              4014970,              4014970,,,              1905560,,                312752,,                 52821,              2271133,              1743837,,,                170516,,                 12379,,                  5022,                233607,              1977444,,                378847,              1598597,              1598597,,,,,,,                -97325,              1501272,,              1594378,                  4219,,              1497029,                  4243,,                              2.43,,                              2.43,               -142791,                 25005,,,                 -1063,                -21524,,                 55734
1227,2012年01月01日至2012年06月30日,,              8393601,,              5902971,              2490630,              2490630,,,              1159330,,                201031,,                 33582,              1393943,              1096687,,,                103217,,                  7547,,                  3401,                162357,              1259044,,                248441,              1010603,              1010603,,,,,,,                -35791,                974812,,              1006872,                  3731,,                971069,                  3743,,                              1.53,,                              1.53,                -59516,                 15689,,,                   -737,                 -8773,,                 54994
1227,2012年01月01日至2012年03月31日,,              4208227,,              2976335,              1231892,              1231892,,,                369023,,                126691,,                 16989,                512703,                719189,,,                 79024,,                 -9619,,                  1988,                 68552,                787741,,                163704,                624037,                624037,,,,,,,                -55735,                568302,,                621590,                  2447,,                565845,                  2457,,                              1.09,,                              1.09,                -85201,                 18245,,,                 -1938,                -13159,,                  1135
