證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2023,2014年01月01日至2014年06月30日,,,             29766558,             29766558,,             27533718,              2232840,              2232840,,,                981864,,                406762,,                 18885,              1407511,                825329,,,                108976,,                155453,,                463648,,               -127257,               -326476,                498853,,                191512,                307341,                307341,,,                -41012,               -161012,,                154013,                 -6342,                -41669,                -41669,                265672,,                451100,               -143759,,                410780,               -145108,,                              0.27,                              0,                              0,,                              0,,                              0,,,,,,
2023,2014年01月01日至2014年03月31日,,,,             14739344,,             13656114,              1083230,              1083230,,,                494429,,                216199,,                  9688,                720316,                362914,,,                 56981,,                 15711,,                227032,,                -94221,               -248561,                114353,,                 75883,                 38470,                 38470,,,,,,,,,                 56746,                 95216,,                119517,                -81047,,                161585,                -66369,,                              0.07,,,,,,,                190381,                -68204,,,                -35127,                 30304
2023,2013年第3季,,,,             13506548,,             12636968,                869580,                869580,,,                430049,,                191750,,                 10684,                632483,                237097,,,                 49185,,                 33113,,                252420,,                -10906,               -181028,                 56069,,                 82787,                -26718,                -26718,,,,,,,,,               -171868,               -198586,,                 76264,               -102982,,                -51116,               -147470,,                              0.04,,,,,,,               -149376,                -15465,,,                 -5174,                  1853
2023,2013年第2季,,,,             13401463,,             12575611,                825852,                825852,,,                386128,,                205389,,                 10212,                601729,                224123,,,                 49109,,                 18312,,                261833,,                -52898,               -247310,                -23187,,                  1736,                -24923,                -24923,,,,,,,,,                -28947,                -53870,,                101779,               -126702,,                -25434,                -28436,,                              0.07,,,,,,,                153909,               -128760,,,                -54096,                              0
2023,2013年度,,,,             54861313,,             51178191,              3683122,              3683122,,,              1695288,,                825185,,                 41608,              2562081,              1121041,,,                349456,,                236150,,                999831,,                -92260,               -506485,                614556,,                251208,                363348,                363348,,,,,,,,,                227875,                591223,,                771983,               -408635,,                822158,               -230935,,                              0.46,,,,,,,                509003,               -110818,                -14857,,                -81980,                 73473
2023,2013年07月01日至2013年09月30日,,,,             13506548,,             12636968,                869580,                869580,,,                430049,,                191750,,                 10684,                632483,                237097,,,                 49185,,                 33113,,                252420,,                -10906,               -181028,                 56069,,                 82787,                -26718,                -26718,,,,,,,,,               -171868,               -198586,,                 76264,               -102982,,                -51116,               -147470,,                              0.04,,,,,,,               -151229,                -15465,,,                 -5174,
2023,2013年04月01日至2013年06月30日,,,,             13406676,,             12575611,                831065,                831065,,,                386128,,                205389,,                 10212,                601729,                229336,,,                 49110,,                 18312,,                261833,,                -58112,               -252523,                -23187,,                  1736,                -24923,                -24923,,,,,,,,,                -28946,                -53869,,                101779,               -126702,,                -25433,                -28436,,                              0.07,,,,,,,                153909,               -128759,,,                -54096,                              0
2023,2013年01月01日至2013年12月31日,,,,             54861313,,             51178191,              3683122,              3683122,,,              1695288,,                825185,,                 41608,              2562081,              1121041,,,                349456,,                236150,,                999831,,                -92260,               -506485,                614556,,                251208,                363348,                363348,,,,,,,,,                227875,                591223,,                771983,               -408635,,                822158,               -230935,,                              0.47,,,,,,,                509003,               -110818,                -17046,,                -81980,                 71284
2023,2013年01月01日至2013年09月30日,,,,             40762979,,             38108454,              2654525,              2654525,,,              1198257,,                598659,,                 31310,              1828226,                826299,,,                154539,,                230473,,                752659,,                -62507,               -430154,                396145,,                131402,                264743,                264743,,,,,,,,,                -66606,                198137,,                577604,               -312861,,                376026,               -177889,,                              0.35,,,,,,,                328379,               -213457,,,               -114678,                 66850
2023,2013年01月01日至2013年06月30日,,,,             27256431,,             25471486,              1784945,              1784945,,,                768208,,                406909,,                 20626,              1195743,                589202,,,                105354,,                197360,,                500239,,                -51601,               -249126,                340076,,                 48615,                291461,                291461,,,,,,,,,                105262,                396723,,                501340,               -209879,,                427142,                -30419,,                              0.31,,,,,,,                477755,               -197992,,,               -109504,                 64997
2023,2013年01月01日至2013年03月31日,,,,             13854968,,             12895875,                959093,                959093,,,                382080,,                201520,,                 10414,                594014,                365079,,,                 56245,,                179048,,                238406,,                  1297,                 -1816,                363263,,                 46879,                316384,                316384,,,,,,,,,                134209,                450593,,                399561,                -83177,,                452576,                 -1983,,                              0.24,,,,,,,                323846,                -69232,,,                -55408,                 64997
2023,2012年07月01日至2012年09月30日,,,,             13113045,,             12761518,                351527,                351527,,,                373355,,                205970,,                 10826,                590151,               -238624,,,                 96348,,                -40155,,                245011,,                -13570,               -202388,               -441012,,                 25701,               -466713,               -466713,,,,,,,,,                -37156,               -503869,,               -382474,                -84239,,               -358197,               -145672,,                             -0.23,,,,,,,               -220591,                133442,,,                 49993,
2023,2012年04月01日至2012年06月30日,,,,             15132270,,             14466965,                665305,                665305,,,                411367,,                189622,,                 10734,                611723,                 53582,,,                 83802,,                -23005,,                240467,,                -82492,               -262162,               -208580,,                 41209,               -249789,               -249789,,,,,,,,,                -33311,               -283100,,               -164884,                -84905,,               -235437,                -47663,,                             -0.10,,,,,,,                 98577,               -116823,,,                -15065,                              0
2023,2012年01月01日至2012年12月31日,,,,             56624377,,             54633687,              1990690,              1990690,,,              1561049,,                791965,,                 42722,              2395736,               -405046,,,                320906,,               -211102,,                965124,,               -120538,               -975858,             -1380904,,                 37334,             -1418238,             -1418238,,,,,,,,,               -594472,             -2012710,,             -1040862,               -377376,,             -1509972,               -502738,,                             -0.64,,,,,,,               -476277,                -97830,               -139084,,                 28070,                -90649
2023,2012年01月01日至2012年09月30日,,,,             42966489,,             41495389,              1471100,              1471100,,,              1191391,,                606050,,                 31368,              1828809,               -357709,,,                245782,,               -137978,,                714074,,                -90628,               -696898,             -1054607,,                 47218,             -1101825,             -1101825,,,,,,,,,               -327933,             -1429758,,               -851463,               -250362,,             -1078043,               -351715,,                             -0.52,,,,,,,               -368886,                 20246,,,                 20707,
2023,2012年01月01日至2012年06月30日,,,,             29853444,,             28733871,              1119573,              1119573,,,                818036,,                400080,,                 20542,              1238658,               -119085,,,                149434,,                -97823,,                469063,,                -77058,               -494510,               -613595,,                 21517,               -635112,               -635112,,,,,,,,,               -290777,               -925889,,               -468989,               -166123,,               -719846,               -206043,,                             -0.29,,,,,,,               -148295,               -113196,,,                -29286,                              0
2023,2012年01月01日至2012年03月31日,,,,             14720242,,             14266906,                453336,                453336,,,                406669,,                210458,,                  9808,                626935,               -173599,,,                 65632,,                -74818,,                228596,,                  6366,               -231416,               -405015,,                -19692,               -385323,               -385323,,,,,,,,,               -257467,               -642790,,               -304105,                -81218,,               -484411,               -158379,,                             -0.19,,,,,,,               -283385,                  3626,,,                -16940,                -39232
