證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 銷貨折讓,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8011,2014年01月01日至2014年03月31日,,,,                515964,                     22,                514695,,,                 59249,                 59249,,                              0,,                              0,                573944,,,                385117,,                 44681,                 44681,,                              0,                              0,                429798,                144146,                144146,,                 71031,                 73115,,,                 25100,,                  3536,,                  4745,                 23891,                 97006,,                 17487,                 79519,                 79519,,,                    381,                 -1150,                     67,                   -836,                   -836,                 78683,,                 96029,                -16510,,                 95205,                -16522,,                              1.21,                              1.21,,                              1.11,                              1.11,                  1247,,                    370,,                 63152,,                  7509,,,,
8011,2013年第3季,,,,                391433,                    334,                391099,,,                 42973,                 42973,,,,,                434072,,,                306369,,                 32174,                 32174,,,                              0,                338543,                 95529,                 95529,,                 68884,                 26645,,,                 27468,,                 -6969,,                  4854,                 15645,                 42290,,                 15258,                 27032,                 27032,,,,,,,                  1334,                 28366,,                 42303,                -15271,,                 43684,                -15318,,                              0.54,                              0.54,,                              0.53,                              0.53,,,,,,,,                 -3009,                  3840,,                   -503
8011,2013年第2季,,,,                376190,                              0,                376190,,,                 88276,                 88276,,,,,                464466,,,                270447,,                 66283,                 66283,,,                              0,                336730,                127736,                127736,,                 60589,                 67147,,,                  7912,,                    636,,                  3143,                  5405,                 72552,,                 22674,                 49878,                 49878,,,,,,,                    791,                 50669,,                 60416,                -10538,,                 61151,                -10482,,                              0.76,                              0.76,,                              0.76,                              0.76,,,,,,,,                  1905,                   -800,,                    314
8011,2013年度,,,,              1528575,                  8395,              1520180,,,                227448,                227448,,                              0,,                              0,              1747628,,,              1183336,,                171734,                171734,,                              0,                              0,              1355070,                392558,                392558,,                274327,                118231,,,                 73330,,                 -1114,,                 15362,                 56854,                175085,,                 58555,                116530,                116530,,,,,,,                  5903,                122433,,                165638,                -49108,,                171359,                -48926,,                              2.11,                              2.11,,                              2.10,                              2.10,,,,,,,,                  4398,                  2680,                   -459,                    716
8011,2013年07月01日至2013年09月30日,,,,                391433,                    334,                391099,,,                 42973,                 42973,,,,,                434072,,,                306369,,                 32174,                 32174,,,,                338543,                 95529,                 95529,,                 68884,                 26645,,,                 27468,,                 -6969,,                  4854,                 15645,                 42290,,                 15258,                 27032,                 27032,,,,,,,                  1334,                 28366,,                 42303,                -15271,,                 43684,                -15318,,                              0.54,                              0.54,,                              0.53,                              0.53,,,,,,,,                 -3009,                  3840,,                   -503
8011,2013年04月01日至2013年06月30日,,,,                376190,                              0,                376190,,,                 88276,                 88276,,,,,                464466,,,                270447,,                 66283,                 66283,,,,                336730,                127736,                127736,,                 60589,                 67147,,,                  7912,,                    636,,                  3143,                  5405,                 72552,,                 22674,                 49878,                 49878,,,,,,,                    791,                 50669,,                 60416,                -10538,,                 61151,                -10482,,                              0.76,                              0.76,,                              0.76,                              0.76,,,,,,,,                  1905,                   -800,,                    314
8011,2013年01月01日至2013年12月31日,,,,              1528575,                  8395,              1520180,,,                227448,                227448,,,,,              1747628,,,              1183336,,                171734,                171734,,,,              1355070,                392558,                392558,,                274327,                118231,,,                 73330,,                 -1114,,                 15362,                 56854,                175085,,                 58555,                116530,                116530,,,,,,,                  5903,                122433,,                165638,                -49108,,                171359,                -48926,,                              2.11,                              2.11,,                              2.10,                              2.10,,,,,,,,                  4398,                  2680,                   -459,                    716
8011,2013年01月01日至2013年09月30日,,,,              1036994,                    558,              1036436,,,                131450,                131450,,,,,              1167886,,,                794331,,                 98658,                 98658,,,                              0,                892989,                274897,                274897,,                184874,                 90023,,,                 56883,,                 -2776,,                 10642,                 43465,                133488,,                 44037,                 89451,                 89451,,,,,,,                  7180,                 96631,,                120579,                -31128,,                127637,                -31006,,                              1.54,                              1.54,,                              1.54,                              1.54,,,,,,,,                  2867,                  4780,,                    467
8011,2013年01月01日至2013年06月30日,,,,                645561,                    224,                645337,,,                 88477,                 88477,,,,,                733814,,,                487962,,                 66484,                 66484,,,                              0,                554446,                179368,                179368,,                115990,                 63378,,,                 29415,,                  4193,,                  5788,                 27820,                 91198,,                 28779,                 62419,                 62419,,,,,,,                  5846,                 68265,,                 78276,                -15857,,                 83953,                -15688,,                              1.01,                              1.01,,                              1.00,                              1.00,,,,,,,,                  5876,                    940,,                    970
8011,2013年01月01日至2013年03月31日,,,,                269371,                    224,                269147,,,                    201,                    201,,,,,                269348,,,                217515,,                    201,                    201,,,,                217716,                 51632,                 51632,,                 55401,                 -3769,,,                 21503,,                  3557,,                  2645,                 22415,                 18646,,                  6105,                 12541,                 12541,,,,,,,                  5055,                 17596,,                 17860,                 -5319,,                 22802,                 -5206,,                              0.23,                              0.23,,                              0.23,                              0.23,,,                  3093,,                 48636,,                  3672,                  3971,                  1740,,                    656
8011,2012年07月01日至2012年09月30日,,,,                618332,                  5073,                613259,,,                  1104,                  1104,,,,,                614363,,,                474386,,                  1104,                  1104,,,,                475490,                138873,                138873,,                 52685,                 86188,,,                  7116,,                 -4369,,                  1832,                    915,                 87103,,                 17257,                 69846,                 69846,,,,,,,                  3320,                 73166,,                 74243,                 -4397,,                 77597,                 -4431,,                              1.08,                              1.08,,                              1.07,                              1.07,,,,,,,,                 -1427,                  4510,,                   -237
8011,2012年04月01日至2012年06月30日,,,,                565304,                  8574,                556730,,,                  1218,                  1218,,,,,                557948,,,                439428,,                  3105,                  3105,,,,                442533,                115415,                115415,,                 66521,                 48894,,,                  6630,,                    563,,                    956,                  6237,                 55131,,                 22904,                 32227,                 32227,,,,,,,                   -263,                 31964,,                 37393,                 -5166,,                 37045,                 -5081,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,                    509,                   -700,,                     72
8011,2012年01月01日至2012年12月31日,,,,              2011196,                 14818,              1996378,,,                  6463,                  6463,,,,,              2002841,,,              1566015,,                  8336,                  8336,,,,              1574351,                428490,                428490,,                203160,                225330,,,                 28579,,                -11335,,                  5891,                 11353,                236683,,                 57765,                178918,                178918,,,,,,,                 -1926,                176992,,                193664,                -14746,,                191787,                -14795,,                              2.80,                              2.80,,                              2.79,                              2.79,,,,,,,,                 -4683,                  2900,                 -1121,                   -978
8011,2012年01月01日至2012年09月30日,,,,              1575254,                 14583,              1560671,,,                  6120,                  6120,,,,,              1566791,,,              1232640,,                  7931,                  7931,,,,              1240571,                326220,                326220,,                160088,                166132,,,                 19658,,                 -9348,,                  3655,                  6655,                172787,,                 47407,                125380,                125380,,,,,,,                  3801,                129181,,                137813,                -12433,,                141664,                -12483,,                              2.00,                              2.00,,                              1.99,                              1.99,,,,,,,,                 -4591,                  7620,,                   -772
8011,2012年01月01日至2012年06月30日,,,,                956922,                  9510,                947412,,,                  5016,                  5016,,,,,                952428,,,                758254,,                  6827,                  6827,,,,                765081,                187347,                187347,,                107403,                 79944,,,                 12542,,                 -4979,,                  1823,                  5740,                 85684,,                 30150,                 55534,                 55534,,,,,,,                    481,                 56015,,                 63570,                 -8036,,                 64067,                 -8052,,                              0.92,                              0.92,,                              0.92,                              0.92,,,,,,,,                 -3164,                  3110,,                   -535
8011,2012年01月01日至2012年03月31日,,,,                391618,                              0,                390682,,,                  3798,                  3798,,,,,                394480,,,                318826,,                  3722,                  3722,,,,                322548,                 71932,                 71932,,                 40882,                 31050,,,                  5912,,                 -5542,,                    867,                   -497,                 30553,,                  7246,                 23307,                 23307,,,,,,,                    744,                 24051,,                 26177,                 -2870,,                 27022,                 -2971,,                              0.38,                              0.38,,                              0.38,                              0.38,                    936,,                  2365,,                 37630,,                    887,                 -3673,                  3810,,                   -607
