證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 稀釋繼續營業單位淨利（淨損）
1324,2014年01月01日至2014年03月31日,,,,                377060,                377060,                    161,                    335,                376564,                376564,,                312815,                 63749,                 63749,,,                 17745,,                 24952,,                  6774,                 49471,                 14278,,,,                    785,                    785,                  1575,                  2360,,                  2634,                    276,                    780,                    245,,                  1885,,                      8,                  4237,                 18515,,                  3365,                 15150,                 15150,,,                 -1071,                 -1071,                 -1071,                 14079,,                 15150,,,                 14079,,,,                              0.20,,                              0.20,,,,
1324,2013年第3季,,,,                343573,                343573,                    675,                  1373,                341525,                341525,,                284089,                 57436,                 57436,,,                 15455,,                 19854,,                  4733,                 40042,                 17394,,,,                  1173,                  1173,                    191,                  1364,,                              0,                    180,                    310,                              0,                  9043,                 -9173,,                      5,                 -7814,                  9580,,                  1984,                  7596,                  7596,,,,,                 -2854,                  4742,,                  7596,                              0,,                  4742,                              0,,                              0.10,                              0.10,,,                 -2854,,,
1324,2013年第2季,,,,                360638,                360638,                     58,                    308,                360272,                360272,,                292707,                 67565,                 67565,,,                 17309,,                 24290,,                  6023,                 47622,                 19943,,,,                    672,                    672,                    194,                    866,,                              0,                    652,                     44,                              0,                  6183,                 -5575,,                     11,                 -4720,                 15223,,                  2627,                 12596,                 12596,,,,,                  4230,                 16826,,                 12596,                              0,,                 16826,                              0,,                              0.17,                              0.17,,,                  4230,,,
1324,2013年度,,,,              1492709,              1492709,                  1422,                  2986,              1488301,              1488301,,              1248456,                239845,                239845,,,                 73436,,                 93907,,                 23625,                190968,                 48877,,,,                  3363,                  3363,                    550,                  3913,,                    604,                  1225,                    383,                      3,,                  1443,,                    101,                  5255,                 54132,,                 10628,                 43504,                 43504,,,,,                 22688,                 66192,,                 43504,,,                 66192,,,                              0.58,                              0.58,,,                 19773,                  2915,                              0,
1324,2013年07月01日至2013年09月30日,,,,                343573,                343573,                    675,                  1373,                341525,                341525,,                284089,                 57436,                 57436,,,                 15455,,                 19854,,                  4733,                 40042,                 17394,,,,                  1173,                  1173,                    191,                  1364,,,                    180,                    310,                              0,                  9043,                 -9173,,                      5,                 -7814,                  9580,,                  1984,                  7596,                  7596,,,,,                 -2854,                  4742,,                  7596,                              0,,                  4742,                              0,,                              0.10,                              0.10,,,                 -2854,,,
1324,2013年04月01日至2013年06月30日,,,,                360638,                360638,                     58,                    308,                360272,                360272,,                292707,                 67565,                 67565,,,                 17309,,                 24290,,                  6023,                 47622,                 19943,,,,                    672,                    672,                    194,                    866,,                              0,                    652,                     44,                              0,                  6183,                 -5575,,                     11,                 -4720,                 15223,,                  2627,                 12596,                 12596,,,,,                  4230,                 16826,,                 12596,                              0,,                 16826,                              0,,                              0.17,                              0.17,,,                  4230,,,
1324,2013年01月01日至2013年12月31日,,,,              1492709,              1492709,                  2986,                  1422,              1488301,              1488301,,              1248456,                239845,                239845,,,                 73436,,                 93907,,                 23625,                190968,                 48877,,,,                  3363,                  3363,                    550,                  3913,,                    604,                  1225,                    383,                      3,                              0,                  1443,,                    101,                  5255,                 54132,,                 10628,                 43504,                 43504,,,,,                 22688,                 66192,,                 43504,,,                 66192,,,                              0.58,                              0.58,,,                 19773,                  2915,,
1324,2013年01月01日至2013年09月30日,,,,              1091586,              1091586,                  1015,                  2260,              1088311,              1088311,,                908628,                179683,                179683,,,                 49501,,                 68389,,                 17559,                135449,                 44234,,,,                  2639,                  2639,                    517,                  3156,,                              0,                    874,                    403,                              0,                  6280,                 -5809,,                     85,                 -2738,                 41496,,                  7226,                 34270,                 34270,,,,,                 15114,                 49384,,                 34270,                              0,,                 49384,                              0,,                              0.46,                              0.46,,,                 15114,,,
1324,2013年01月01日至2013年06月30日,,,,                748013,                748013,                    340,                    887,                746786,                746786,,                624539,                122247,                122247,,,                 34046,,                 48535,,                 12826,                 95407,                 26840,,,,                  1466,                  1466,                    326,                  1792,,                  2763,                    694,                     93,                              0,                              0,                  3364,,                     80,                  5076,                 31916,,                  5242,                 26674,                 26674,,,,,                 17968,                 44642,,                 26674,                              0,,                 44642,                              0,,                              0.36,                              0.36,,,                 17968,,,
1324,2013年01月01日至2013年03月31日,,,,                387375,                387375,                    282,                    579,                386514,                386514,,                331832,                 54682,                 54682,,,                 16737,,                 24245,,                  6803,                 47785,                  6897,,,,                    794,                    794,                    132,                    926,,                  8946,                     42,                     49,                              0,,                  8939,,                     68,                  9797,                 16694,,                  2615,                 14079,                 14079,,,,,                 13738,                 27817,,                 14079,,,                 27817,,,                              0.19,                              0.19,,,                 13738,,,
1324,2012年07月01日至2012年09月30日,,,,                371866,                371866,                    326,                    619,                370921,                370921,,                306282,                 64639,                 64639,,,                 16080,,                 23567,,                  6060,                 45707,                 18932,,,,                    705,                    705,                    133,                    838,,,                    389,                    694,                      1,                    479,                   -785,,                     67,                    -14,                 18918,,                  3272,                 15646,                 15646,,,,,                 -2409,                 13237,,                 15646,                              0,,                 13237,                              0,,                              0.20,                              0.20,,,                 -2409,,,
1324,2012年04月01日至2012年06月30日,,,,                323346,                323346,                    318,                    383,                322645,                322645,,                264937,                 57708,                 57708,,,                 14976,,                 28937,,                  6334,                 50247,                  7461,,,,                    675,                    675,                    281,                    956,,                              0,                    278,                     91,                     35,                  5946,                 -5794,,                     50,                 -4888,                  2573,,                  1742,                    831,                    831,,,,,                   -663,                    168,,                    831,                              0,,                    168,                              0,,                              0.02,                              0.02,,,                   -663,,,
1324,2012年01月01日至2012年12月31日,,,,              1367595,              1367595,                  1166,                  1905,              1364524,              1364524,,              1127168,                237356,                237356,,,                 64825,,                100576,,                 24383,                189784,                 47572,,,,                  2685,                  2685,                    685,                  3370,,                              0,                  1150,                     57,                    127,                  8297,                 -7331,,                    183,                 -4144,                 43428,,                  9146,                 34282,                 34282,,,,,                -23563,                 10719,,                 34282,,,                 10719,,,                              0.46,                              0.46,,,                 -9880,                -13683,,
1324,2012年01月01日至2012年09月30日,,,,              1005958,              1005958,                    730,                  1375,              1003853,              1003853,,                835672,                168181,                168181,,,                 46481,,                 74970,,                 18537,                139988,                 28193,,,,                  1887,                  1887,                    794,                  2681,,,                    940,                    804,                     92,                  3739,                 -3695,,                    124,                 -1138,                 27055,,                  7242,                 19813,                 19813,,,,,                -10277,                  9536,,                 19813,                              0,,                  9536,                              0,,                              0.26,                              0.26,,,                -10277,,,
1324,2012年01月01日至2012年06月30日,,,,                634092,                634092,                    404,                    756,                632932,                632932,,                529390,                103542,                103542,,,                 30401,,                 51403,,                 12477,                 94281,                  9261,,,,                  1182,                  1182,                    661,                  1843,,                              0,                    551,                    110,                     91,                  3260,                 -2910,,                     57,                 -1124,                  8137,,                  3970,                  4167,                  4167,,,,,                 -7868,                 -3701,,                  4167,                              0,,                 -3701,                              0,,                              0.06,                              0.06,,,                 -7868,,,
1324,2012年01月01日至2012年03月31日,,,,                310746,                310746,                     85,                    374,                310287,                310287,,                264453,                 45834,                 45834,,,                 15425,,                 24190,,                  6143,                 45758,                     76,,,,                    506,                    506,                  2105,                  2611,,                  2686,                    273,                     19,                     56,,                  2884,,                      7,                  5488,                  5564,,                  2228,                  3336,                  3336,,,,,                 -7205,                 -3869,,                  3336,                              0,,                 -3869,                              0,,                              0.04,                              0.04,,                              0.04,                 -7205,,,                              0.04
