證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資損失之份額
9917,2014年01月01日至2014年03月31日,,,              3143679,              3143679,,              1928254,              1215425,              1215425,,,                250245,,                320643,,                 38109,                608997,                606428,,,                 15796,,                -27674,,                  6334,,                 16068,                 16068,                 -2144,                604284,,                 98224,                506060,                506060,,,                              0,                              0,,                  1386,                    535,,                 -7498,                 -5577,                 -5577,                500483,,                491313,                 14747,,                482406,                 18077,,                              1.15,,                              1.14,                  6334,                              0,                              0,                              0,                              0,,,                              0,                              0,                              0,,,                              0,,,,,,,
9917,2013年第3季,,,              3146898,              3146898,,              1934506,              1212392,              1212392,,,                215538,,                348128,,                 35252,                598918,                613474,,,                 23017,,                -25713,,                  5751,,                 27982,                 27982,                 19535,                633009,,                109122,                523887,                523887,,,,,,,,,,,                 60462,                584349,,                511409,                 12478,,                569037,                 15312,,                              1.18,,                              1.18,,,,,,,,,,,,,,                   -637,                 55792,,,                  5307,,
9917,2013年第2季,,,              3130594,              3130594,,              1920888,              1209706,              1209706,,,                213892,,                367552,,                 34487,                615931,                593775,,,                 14467,,                -11569,,                  4564,,                   -309,                   -309,                 -1975,                591800,,                119799,                472001,                472001,,,,,,,,,,,                 20725,                492726,,                464912,                  7089,,                485191,                  7535,,                              1.09,,                              1.09,                  4564,,,,,,,,,,,,,                    418,                 24315,,,                 -4008,,
9917,2013年度,,,             12612747,             12612747,,              7801426,              4811321,              4811321,,,                855703,,              1448479,,                139815,              2443997,              2367324,,,                 64348,,               -119777,,                 21547,,                125439,                125439,                 48463,              2415787,,                431647,              1984140,              1984140,,,,,,,,,,,                280711,              2264851,,              1945567,                 38573,,              2213699,                 51152,,                              4.51,,                              4.50,                 21547,,,,,,,,,,,,                              0,                 17793,                141638,                 66349,,                 65349,                 10418,
9917,2013年07月01日至2013年09月30日,,,              3146898,              3146898,,              1934506,              1212392,              1212392,,,                215538,,                348128,,                 35252,                598918,                613474,,,                 23017,,                -25713,,                  5751,,                 27982,                 27982,                 19535,                633009,,                109122,                523887,                523887,,,,,,,,,,,                 60462,                584349,,                511409,                 12478,,                569037,                 15312,,                              1.20,,                              1.19,                  5751,,,,,,,,,,,,,                   -637,                 55792,,,                  5307,,
9917,2013年04月01日至2013年06月30日,,,              3130594,              3130594,,              1920888,              1209706,              1209706,,,                213892,,                367552,,                 34487,                615931,                593775,,,                 14467,,                -11569,,                  4564,,                              0,                   -309,                 -1975,                591800,,                119799,                472001,                472001,,,,,,,,,,,                 20725,                492726,,                464912,                  7089,,                485191,                  7535,,                              1.09,,                              1.09,                  4564,,,,,,,,,,,,,                    418,                 24315,,,                 -4008,,                    309
9917,2013年01月01日至2013年12月31日,,,             12612747,             12612747,,              7801426,              4811321,              4811321,,,                855703,,              1448479,,                139815,              2443997,              2367324,,,                 64348,,               -119777,,                 21547,,                125439,                125439,                 48463,              2415787,,                431647,              1984140,              1984140,,,,,,,,,,,                280711,              2264851,,              1945567,                 38573,,              2213699,                 51152,,                              4.57,,                              4.57,                 21547,,,,,,,,,,,,                              0,                 17793,                141638,                 66349,,                 65349,                 10418,
9917,2013年01月01日至2013年09月30日,,,              9330617,              9330617,,              5757867,              3572750,              3572750,,,                629644,,              1053883,,                103968,              1787495,              1785255,,,                 47865,,                -44031,,                 15134,,                 22381,                 22381,                 11081,              1796336,,                331949,              1464387,              1464387,,,,,,,,,,,                133098,              1597485,,              1443614,                 20773,,              1571393,                 26092,,                              3.32,,                              3.31,,,,,,,,,,,,,,                  1820,                 96119,,,                 35159,,
9917,2013年01月01日至2013年06月30日,,,              6183719,              6183719,,              3823361,              2360358,              2360358,,,                414106,,                705755,,                 68716,              1188577,              1171781,,,                 24848,,                -18318,,                  9383,,                 -5601,                 -5601,                 -8454,              1163327,,                222827,                940500,                940500,,,,,,,,,,,                 72636,              1013136,,                932205,                  8295,,              1002356,                 10780,,                              2.17,,                              2.17,                  9383,,,,,,,,,,,,,                  2457,                 40327,,,                 29852,,
9917,2013年01月01日至2013年03月31日,,,              3053125,              3053125,,              1902473,              1150652,              1150652,,,                200214,,                338203,,                 34229,                572646,                578006,,,                 10381,,                 -6749,,                  4819,,                 -5292,                 -5292,                 -6479,                571527,,                103028,                468499,                468499,,,,,,,,,,,                 51911,                520410,,                467293,                  1206,,                517165,                  3245,,                              1.08,,                              1.08,                  4819,,,,,,,,,,,,                              0,                  2039,                 16012,,,                 33860,,
9917,2012年07月01日至2012年09月30日,,,              3043255,              3043255,,              1890552,              1152703,              1152703,,,                184614,,                355948,,                 37116,                577678,                575025,,,                 24058,,                    745,,                  4834,,                  3336,                  3336,                 23305,                598330,,                 88203,                510127,                510127,,,,,,,,,,,                 22626,                532753,,                511753,                 -1626,,                537390,                 -4637,,                              1.18,,                              1.17,                  4834,,,,,,,,,,,,,                 -4685,                 43560,,,                -16249,,
9917,2012年04月01日至2012年06月30日,,,              3018869,              3018869,,              1872416,              1146453,              1146453,,,                173408,,                354947,,                 37376,                565731,                580722,,,                 11908,,                -13522,,                  4617,,                 16065,                 16065,                  9834,                590556,,                111144,                479412,                479412,,,,,,,,,,,                 36586,                515998,,                476903,                  2509,,                511937,                  4061,,                              1.10,,                              1.10,                  4617,,,,,,,,,,,,,                  1430,                 24761,,,                 10395,,                              0
9917,2012年01月01日至2012年12月31日,,,             12058666,             12058666,,              7486643,              4572023,              4572023,,,                699132,,              1438599,,                151444,              2289175,              2282848,,,                 64152,,                -60427,,                 22147,,                 16130,                 16130,                 -2292,              2280556,,                399946,              1880610,              1880610,,,,,,,,,,,                -39346,              1841264,,              1879717,                    893,,              1840511,                    753,,                              4.33,,                              4.33,                 22147,,,,,,,,,,,,                              0,                -50454,                114047,               -236671,,                 21824,               -111908,
9917,2012年01月01日至2012年09月30日,,,              9055694,              9055694,,              5638131,              3417563,              3417563,,,                531006,,              1062388,,                112393,              1705787,              1711776,,,                 45318,,                  1760,,                 16070,,                 11970,                 11970,                 42978,              1754754,,                298441,              1456313,              1456313,,,,,,,,,,,                 89856,              1546169,,              1456681,                   -368,,              1549315,                 -3146,,                              3.36,,                              3.35,                 16070,,,,,,,,,,,,,                 -4685,                107420,,,                -12879,,
9917,2012年01月01日至2012年06月30日,,,              6012439,              6012439,,              3747579,              2264860,              2264860,,,                346392,,                706440,,                 75277,              1128109,              1136751,,,                 21260,,                  1015,,                 11236,,                  8634,                  8634,                 19673,              1156424,,                210238,                946186,                946186,,,,,,,,,,,                 67230,              1013416,,                944928,                  1258,,              1011925,                  1491,,                              2.18,,                              2.18,                 11236,,,,,,,,,,,,,                              0,                 63860,,,                  3370,,                              0
9917,2012年01月01日至2012年03月31日,,,              2993570,              2993570,,              1875163,              1118407,              1118407,,,                172984,,                351493,,                 37901,                562378,                556029,,,                  9352,,                 14537,,                  6619,,,                 -7431,                  9839,                565868,,                 99094,                466774,                466774,,,,,,,,,,,                 30644,                497418,,                468025,                 -1251,,                499988,                 -2570,,                              1.08,,                              1.08,                  6619,,,,,,,,,,,,                              0,                 -1430,                 39099,,,                 -7025,,                  7431
