證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2105,2014年01月01日至2014年03月31日,,             31591686,,             23057605,              8534081,              8534081,,,              1703053,,                638560,,                791148,              3132761,              5401320,,,                256053,,               -501719,,                330242,,                 10355,               -565553,              4835767,,              1138643,              3697124,              3697124,,,                268145,                  2371,                 47576,                222940,                222940,              3920064,,              3668317,                 28807,,              3892321,                 27743,,                              1.13,                              1.13,,                              1.13,                              1.13,,,,,,
2105,2013年第3季,,             34857782,,             25713840,              9143942,              9143942,,,              1837397,,                670752,,                815529,              3323678,              5820264,,,                246471,,               -170214,,                267223,,                  1181,               -189785,              5630479,,                905597,              4724882,              4724882,,,,,,,               -777521,              3947361,,              4713917,                 10965,,              3944493,                  2868,,                              1.45,                              1.45,,                              1.45,                              1.45,               -958479,                 19473,,,,               -161485
2105,2013年第2季,,             35329819,,             26372604,              8957215,              8957215,,,              1793285,,                689284,,                737387,              3219956,              5737259,,,                218764,,                573977,,                279368,,                  4076,                517449,              6254708,,              1590970,              4663738,              4663738,,,,,,,               -702827,              3960911,,              4637708,                 26030,,              3984565,                -23654,,                              1.43,                              1.43,,                              1.43,                              1.43,               -833239,                 -2801,,,,               -133213
2105,2013年度,,            133086543,,             97758748,             35327795,             35327795,,,              7377724,,              2752317,,              2982983,             13113024,             22214771,,,              1002495,,              1212483,,              1193424,,                 24716,              1046270,             23261041,,              4619122,             18641919,             18641919,,,,,,,              2159184,             20801103,,             18548522,                 93397,,             20762696,                 38407,,                              5.72,                              5.72,,                              5.71,                              5.71,              2468238,                 35518,                 92140,,                  1660,                438372
2105,2013年07月01日至2013年09月30日,,             34857782,,             25713840,              9143942,              9143942,,,              1837397,,                670752,,                815529,              3323678,              5820264,,,                246471,,               -170214,,                267223,,                  1181,               -189785,              5630479,,                905597,              4724882,              4724882,,,,,,,               -777521,              3947361,,              4713917,                 10965,,              3944493,                  2868,,                              1.45,                              1.45,,                              1.45,                              1.45,               -958479,                 19473,,,,               -161485
2105,2013年04月01日至2013年06月30日,,             35329819,,             26372604,              8957215,              8957215,,,              1793285,,                689284,,                737387,              3219956,              5737259,,,                218764,,                573977,,                279368,,                  4076,                517449,              6254708,,              1590970,              4663738,              4663738,,,,,,,               -702827,              3960911,,              4637708,                 26030,,              3984565,                -23654,,                              1.43,                              1.43,,                              1.43,                              1.43,               -833239,                 -2801,,,,               -133213
2105,2013年01月01日至2013年12月31日,,            133086543,,             97758748,             35327795,             35327795,,,              7377724,,              2752317,,              2982983,             13113024,             22214771,,,              1002495,,              1212483,,              1193424,,                 24716,              1046270,             23261041,,              4619122,             18641919,             18641919,,,,,,,              2159184,             20801103,,             18548522,                 93397,,             20762696,                 38407,,                              5.72,                              5.72,,                              5.71,                              5.71,              2468238,                 35518,                 92140,,                  1660,                438372
2105,2013年01月01日至2013年09月30日,,            100283222,,             74864422,             25418800,             25418800,,,              5197985,,              2018770,,              2239645,              9456400,             15962400,,,                804534,,              1200122,,                825773,,                 10274,              1189157,             17151557,,              3490416,             13661141,             13661141,,,,,,,              1698137,             15359278,,             13596985,                 64156,,             15361362,                 -2084,,                              4.19,                              4.19,,                              4.19,                              4.19,              2038243,                 17727,,,,                357833
2105,2013年01月01日至2013年06月30日,,             65425440,,             49150582,             16274858,             16274858,,,              3360588,,              1348018,,              1424116,              6132722,             10142136,,,                558063,,              1370336,,                558550,,                  9093,              1378942,             11521078,,              2584819,              8936259,              8936259,,,,,,,              2475658,             11411917,,              8883068,                 53191,,             11416869,                 -4952,,                              2.74,                              2.74,,                              2.74,                              2.74,              2996722,                 -1746,,,,                519318
2105,2013年01月01日至2013年03月31日,,             30095621,,             22777978,              7317643,              7317643,,,              1567303,,                658734,,                686729,              2912766,              4404877,,,                339299,,                796359,,                279182,,                  5017,                861493,              5266370,,                993849,              4272521,              4272521,,,,,,,              3178485,              7451006,,              4245360,                 27161,,              7432304,                 18702,,                              1.31,                              1.31,,                              1.31,                              1.31,              3829961,                  1055,,,,                652531
2105,2012年07月01日至2012年09月30日,,             33114211,,             25379057,              7735154,              7735154,,,              1391806,,                605542,,                659938,              2657286,              5077868,,,                172228,,                181661,,                327755,,                  6995,                 33129,              5110997,,                925613,              4185384,              4185384,,,,,,,               -505508,              3679876,,              4167213,                 18171,,              3708362,                -28486,,                              1.29,                              1.29,,                              1.28,                              1.28,               -600617,                    936,,,,                -94173
2105,2012年04月01日至2012年06月30日,,             34954693,,             26478479,              8476214,              8476214,,,              1705532,,              1025377,,                489752,              3220661,              5255553,,,                125714,,               -699394,,                272259,,                  9670,               -836269,              4419284,,                959971,              3459313,              3459313,,,,,,,                102562,              3561875,,              3447724,                 11589,,              3669581,               -107706,,                              1.06,                              1.06,,                              1.06,                              1.06,                150719,                 -2260,,,,                 45897
2105,2012年01月01日至2012年12月31日,,            130242287,,             99573228,             30669059,             30669059,,,              6161689,,              3100469,,              2284500,             11546658,             19122401,,,                726441,,                846584,,              1333593,,                 15676,                255108,             19377509,,              3376131,             16001378,             16001378,,,,,,,             -1390965,             14610413,,             15928385,                 72993,,             14500219,                110194,,                              4.91,                              4.91,,                              4.91,                              4.91,             -1601030,                 -1852,                -71370,,                 -1653,               -284940
2105,2012年01月01日至2012年09月30日,,             98856810,,             76328163,             22528647,             22528647,,,              4385806,,              2291539,,              1662246,              8339591,             14189056,,,                444896,,                -46110,,                975437,,                 16665,               -559986,             13629070,,              2641741,             10987329,             10987329,,,,,,,             -1281307,              9706022,,             10934029,                 53300,,              9689066,                 16956,,                              3.37,                              3.37,,                              3.37,                              3.37,             -1544213,                  6588,,,,               -256318
2105,2012年01月01日至2012年06月30日,,             65742599,,             50949106,             14793493,             14793493,,,              2994000,,              1685997,,              1002308,              5682305,              9111188,,,                272668,,               -227771,,                647682,,                  9670,               -593115,              8518073,,              1716128,              6801945,              6801945,,,,,,,               -775799,              6026146,,              6766816,                 35129,,              5980704,                 45442,,                              2.09,                              2.09,,                              2.09,                              2.09,               -943596,                  5652,,,,               -162145
2105,2012年01月01日至2012年03月31日,,             30787906,,             24470627,              6317279,              6317279,,,              1288468,,                660620,,                512556,              2461644,              3855635,,,                146954,,                471623,,                375423,,                              0,                243154,              4098789,,                756157,              3342632,              3342632,,,,,,,               -878361,              2464271,,              3319092,                 23540,,              2311123,                153148,,                              1.18,                              1.18,,                              1.18,                              1.18,             -1094167,                  2983,,,                  4781,               -208042
