證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4106,2013年第3季,,                494330,,                295524,                198806,                198806,,,                 69263,,                 86434,,                 19728,                175425,                 23381,,,                    820,,                  2721,,                    503,                  3038,                 26419,,                 11333,                 15086,                 15086,,,,,                 18714,                 33800,,                 12735,                  2351,,                 22563,                 11237,,                              0.15,,                              0.15,,,,,,                 18714,,
4106,2013年第2季,,                510292,,                281754,                228538,                228538,,,                 70995,,                 74653,,                 18884,                164532,                 64006,,,                    739,,                  4466,,                    503,                  4702,                 68708,,                 28248,                 40460,                 40460,,,,,                 12537,                 52997,,                 37108,                  3352,,                 46991,                  6006,,                              0.45,,                              0.44,,,,,,                 12537,,
4106,2013年度,,              2016971,,              1165974,                850997,                850997,,,                246553,,                342196,,                 79883,                668632,                182365,,,                  3639,,                 20224,,                  2671,                 21192,                203557,,                 57328,                146229,                146229,,,,,                 55670,                201899,,                133466,                 12763,,                178365,                 23534,,                              1.60,,                              1.59,,              2016971,,              1165974,,                 50318,                  5943,                    591
4106,2013年07月01日至2013年09月30日,,                494330,,                295524,                198806,                198806,,,                 69263,,                 86434,,                 19728,                175425,                 23381,,,                    820,,                  2721,,                    503,                  3038,                 26419,,                 11333,                 15086,                 15086,,,,,                 18714,                 33800,,                 12735,                  2351,,                 22563,                 11237,,                              0.15,,                              0.15,,                494330,,                295524,,                 18714,,
4106,2013年04月01日至2013年06月30日,,                510292,,                281754,                228538,                228538,,,                 70995,,                 74653,,                 18884,                164532,                 64006,,,                    739,,                  4466,,                    503,                  4702,                 68708,,                 28248,                 40460,                 40460,,,,,                 12537,                 52997,,                 37108,                  3352,,                 46991,                  6006,,                              0.45,,                              0.44,,                510292,,                281754,,                 12537,,
4106,2013年01月01日至2013年12月31日,,              2016971,,              1165974,                850997,                850997,,,                304597,,                284152,,                 79883,                668632,                182365,,,                  3639,,                 20224,,                  2671,                 21192,                203557,,                 57328,                146229,                146229,,,,,                 55670,                201899,,                133466,                 12763,,                178365,                 23534,,                              1.60,,                              1.59,,              2016971,,              1165974,,                 50318,                  5943,                    591
4106,2013年01月01日至2013年09月30日,,              1495968,,                876496,                619472,                619472,,,                209467,,                215288,,                 55335,                480090,                139382,,,                  2214,,                 11486,,                  1869,                 11831,                151213,,                 51269,                 99944,                 99944,,,,,                 23799,                123743,,                 91256,                  8688,,                111123,                 12620,,                              1.09,,                              1.09,,,,,,                 23799,,
4106,2013年01月01日至2013年06月30日,,              1001638,,                580972,                420666,                420666,,,                140204,,                128854,,                 35607,                304665,                116001,,,                  1394,,                  8765,,                  1366,                  8793,                124794,,                 39936,                 84858,                 84858,,,,,                  5085,                 89943,,                 78521,                  6337,,                 88560,                  1383,,                              0.94,,                              0.93,,,,,,                  5085,,
4106,2013年01月01日至2013年03月31日,,                491346,,                299218,                192128,                192128,,,                 69209,,                 54201,,                 16723,                140133,                 51995,,,                    655,,                  4299,,                    863,                  4091,                 56086,,                 11688,                 44398,                 44398,,,,,                 -7452,                 36946,,                 41413,                  2985,,                 41569,                 -4623,,                              0.50,,                              0.49,,,,,,                 -7452,,
4106,2012年07月01日至2012年09月30日,,                420615,,                233882,                186733,                186733,,,                 71352,,                 47621,,                 20433,                139406,                 47327,,,                    756,,                  6762,,                    414,                  7104,                 54431,,                 13421,                 41010,                 41010,,,,,                 -3954,                 37056,,                 40158,                    852,,                 35349,                  1707,,                              0.48,,                              0.48,,                420615,,                233882,,                 -3954,,
4106,2012年04月01日至2012年06月30日,,                470095,,                290534,                179561,                179561,,,                 52389,,                 28052,,                 21491,                101932,                 77629,,,                    656,,                  2056,,                    140,                  2572,                 80201,,                 17087,                 63114,                 63114,,,,,                  1144,                 64258,,                 62399,                    715,,                 63466,                    792,,                              0.75,,                              0.74,,                470095,,                290534,,                  1144,,
4106,2012年01月01日至2012年12月31日,,              1845771,,              1121603,                724168,                724168,,,                259468,,                154659,,                 83888,                498015,                226153,,,                  3307,,                 24266,,                  2490,                 25083,                251236,,                 59378,                191858,                191858,,,,,                -26630,                165228,,                187462,                  4396,,                165152,                     76,,                              2.25,,                              2.23,,              1845771,,              1121603,,                -25213,                 -1417,                              0
4106,2012年01月01日至2012年09月30日,,              1326833,,                792649,                534184,                534184,,,                178531,,                104943,,                 62821,                346295,                187889,,,                  2216,,                 13284,,                    955,                 14545,                202434,,                 42289,                160145,                160145,,,,,                -11633,                148512,,                158443,                  1702,,                146111,                  2401,,                              1.90,,                              1.88,,              1326833,,                792649,,                -11633,,
4106,2012年01月01日至2012年06月30日,,                906218,,                558767,                347451,                347451,,,                107179,,                 57322,,                 42388,                206889,                140562,,,                  1460,,                  6522,,                    541,                  7441,                148003,,                 28868,                119135,                119135,,,,,                 -7679,                111456,,                118285,                    850,,                110762,                    694,,                              1.42,,                              1.40,,                906218,,                558767,,                 -7679,,
4106,2012年01月01日至2012年03月31日,,                436123,,                268233,                167890,                167890,,,                 54790,,                 29270,,                 20897,                104957,                 62933,,,                    804,,                  4466,,                    401,                  4869,                 67802,,                 11781,                 56021,                 56021,,,,,                 -8823,                 47198,,                 55886,                    135,,                 47296,                    -98,,                              0.67,,                              0.66,,,,,,                 -8823,,
