證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計
2449,2013年第3季,,              3839638,,              2758238,              1081400,              1081400,,,                 57470,,                249229,,                130738,                437437,                643963,,,                 40494,,                 17939,,                 38320,,                -25826,                 -5713,                638250,,                131441,                506809,                506809,,,,,,                -43000,                463809,,                506374,                    435,,                463374,                    435,,                              0.43,,                              0.42,                -36961,                 -6039,,                              0,                              0,,
2449,2013年第2季,,              3775948,,              2682408,              1093540,              1093540,,,                 69754,,                253585,,                115676,                439015,                654525,,,                 26348,,                 51469,,                 40403,,                 -1446,                 35968,                690493,,                120000,                570493,                570493,,,,,,                 71007,                641500,,                570161,                    332,,                641168,                    332,,                              0.48,,                              0.48,                 77607,                 -6600,,                              0,                              0,,
2449,2013年度,,             14694477,,             10680063,              4014414,              4014414,,,                272741,,                977629,,                478292,              1728662,              2285752,,,                133227,,                102687,,                158722,,                -43145,                 34047,              2319799,,                502324,              1817475,              1817475,,,,,,                204168,              2021643,,              1816371,                  1104,,              2021119,                    524,,                              1.53,,                              1.51,                214202,                 -5202,                 -4832,,,,
2449,2013年07月01日至2013年09月30日,,              3839638,,              2758238,              1081400,              1081400,,,                 57470,,                249229,,                130738,                437437,                643963,,,                 40494,,                 17939,,                 38320,,                -25826,                 -5713,                638250,,                131441,                506809,                506809,,,,,,                -43000,                463809,,                506374,                    435,,                463374,                    435,,                              0.43,,                              0.42,                -36961,                 -6039,,                              0,                              0,,                              0
2449,2013年04月01日至2013年06月30日,,              3775948,,              2682408,              1093540,              1093540,,,                 69754,,                253585,,                115676,                439015,                654525,,,                 26348,,                 51469,,                 40403,,                 -1446,                 35968,                690493,,                120000,                570493,                570493,,,,,,                 71007,                641500,,                570161,                    332,,                641168,                    332,,                              0.48,,                              0.48,                 77607,                 -6600,,                              0,                              0,,                              0
2449,2013年01月01日至2013年12月31日,,             14694477,,             10680063,              4014414,              4014414,,,                272741,,                977629,,                478292,              1728662,              2285752,,,                133227,,                102687,,                158722,,                -43145,                 34047,              2319799,,                502324,              1817475,              1817475,,,,,,                204168,              2021643,,              1816371,                  1104,,              2021119,                    524,,                              1.53,,                              1.51,                214202,                 -5202,                 -4832,,,,
2449,2013年01月01日至2013年09月30日,,             10997550,,              7993203,              3004347,              3004347,,,                200509,,                732691,,                346017,              1279217,              1725130,,,                 86205,,                108633,,                120455,,                -17271,                 57112,              1782242,,                346441,              1435801,              1435801,,,,,,                148237,              1584038,,              1434928,                    873,,              1583165,                    873,,                              1.21,,                              1.19,                152019,                 -3782,,                              0,                              0,,                              0
2449,2013年01月01日至2013年06月30日,,              7157912,,              5234965,              1922947,              1922947,,,                143039,,                483462,,                215279,                841780,              1081167,,,                 45711,,                 90694,,                 82135,,                  8555,                 62825,              1143992,,                215000,                928992,                928992,,,,,,                191237,              1120229,,                928554,                    438,,              1119791,                    438,,                              0.78,,                              0.77,                188980,                  2257,,                              0,                              0,,
2449,2013年01月01日至2013年03月31日,,              3381964,,              2552557,                829407,                829407,,,                 73285,,                229877,,                 99603,                402765,                426642,,,                 19363,,                 39225,,                 41732,,                 10001,                 26857,                453499,,                 95000,                358499,                358499,,,,,,                120230,                478729,,                358393,                    106,,                478623,                    106,,                              0.30,,                              0.30,                111373,                  8857,,                              0,                              0,,
2449,2012年07月01日至2012年09月30日,,              4051034,,              2885957,              1165077,              1165077,,,                 53376,,                275352,,                125239,                453967,                711110,,,                 35001,,                 46865,,                 43216,,                 10143,                 48793,                759903,,                130000,                629903,                629903,,,,,,                -84887,                545016,,                629413,                    490,,                544526,                    490,,                              0.54,,                              0.50,                -87617,                  2730,,                              0,                              0,,                              0
2449,2012年04月01日至2012年06月30日,,              3644271,,              2707723,                936548,                936548,,,                 62125,,                266726,,                128220,                457071,                479477,,,                 28448,,                   -858,,                 50703,,                 19976,                 -3137,                476340,,                105000,                371340,                371340,,,,,,                 32340,                403680,,                370827,                    513,,                403167,                    513,,                              0.31,,                              0.31,                 32204,                    136,,                              0,                              0,,                              0
2449,2012年01月01日至2012年12月31日,,             14677539,,             11031525,              3646014,              3646014,,,                226231,,              1040582,,                487819,              1754632,              1891382,,,                104321,,                102479,,                187054,,                 63507,                 83253,              1974635,,                415000,              1559635,              1559635,,,,,,               -151168,              1408467,,              1558020,                  1615,,              1407240,                  1227,,                              1.31,,                              1.28,               -163372,                  2330,                  9874,,,,
2449,2012年01月01日至2012年09月30日,,             10884720,,              8214861,              2669859,              2669859,,,                162650,,                797636,,                368205,              1328491,              1341368,,,                 82521,,                 69475,,                147086,,                 56050,                 60960,              1402328,,                265000,              1137328,              1137328,,,,,,               -157033,                980295,,              1136094,                  1234,,                979061,                  1234,,                              0.96,,                              0.94,               -159067,                  2034,,                              0,                              0,,                              0
2449,2012年01月01日至2012年06月30日,,              6833686,,              5328904,              1504782,              1504782,,,                109274,,                522284,,                242966,                874524,                630258,,,                 47520,,                 22610,,                103870,,                 45907,                 12167,                642425,,                135000,                507425,                507425,,,,,,                -72146,                435279,,                506681,                    744,,                434535,                    744,,                              0.43,,                              0.42,                -71450,                   -696,,                              0,                              0,,                              0
2449,2012年01月01日至2012年03月31日,,              3189415,,              2621181,                568234,                568234,,,                 47149,,                255558,,                114746,                417453,                150781,,,                 19072,,                 23468,,                 53167,,                 25931,                 15304,                166085,,                 30000,                136085,                136085,,,,,,               -104486,                 31599,,                135854,                    231,,                 31368,                    231,,                              0.11,,                              0.11,               -103654,                   -832,,                              0,                              0,,                              0
