證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計
2408,2013年04月01日至2013年06月30日,,             13834981,,             11541709,              2293272,              2293272,,,                157783,,                255792,,                405043,                818618,              1474654,,,                 65057,,                -67670,,                374788,,                597278,                219877,              1694531,,,                  2768,              1691763,,,              1691763,,,,,,,                 17530,              1709293,,              1675941,                 15822,,              1693471,                 15822,,,,                              0.07,,,,,,                    -59,                 17589,                              0,,,,,
2408,2013年01月01日至2013年12月31日,,             46975291,,             39465255,              7510036,              7510036,,,                646652,,              1245230,,              1518207,              3410089,              4099947,,,                260458,,                228252,,              1484285,,              5045424,              4049849,              8149796,,,                 39333,              8110463,,,              8110463,,,,,,,                    578,              8111041,,              8137820,                -27357,,              8138398,                -27357,,,,                              0.34,,,,,,                 -3300,                  3878,                              0,,,,,
2408,2013年01月01日至2013年09月30日,,             33274295,,             27314695,              5959600,              5959600,,,                457224,,                908356,,              1093699,              2459279,              3500321,,,                195312,,                 23151,,              1124992,,              2176265,              1269736,              4770057,,,                 11020,              4759037,,               -584935,              4174102,,,,,,,                  4306,              4178408,,              4180681,                 -6579,,              4184987,                 -6579,,                              1.98,                             -0.24,                              1.74,,,,,,                 -1788,                  6094,                              0,,,,,
2408,2013年01月01日至2013年06月30日,,             22334283,,             17909976,              4424307,              4424307,,,                300607,,                616055,,                705930,              1622592,              2801715,,,                131489,,                 96811,,                753221,,                351416,               -173505,              2628210,,,                  6780,              2621430,,               -424218,              2197212,,,,,,,                  9643,              2206855,,              2201991,                 -4779,,              2211634,                 -4779,,                              1.09,                             -0.17,                              0.92,,,,,,                    640,                  9003,                              0,,             17909976,             17909976,,
2408,2013年01月01日至2013年03月31日,,              8878000,,              6937825,              1940175,              1940175,,,                147029,,                346285,,                328921,                822235,              1117940,,,                 66437,,                168401,,                382272,,               -245863,               -393297,                724643,,,                  4012,                720631,,               -215182,                505449,,,,,,,                 -7887,                497562,,                526050,                -20601,,                518163,                -20601,,                              0.03,                             -0.01,                              0.02,,,,,,                    699,                 -8586,                              0,,,,,
2408,2012年07月01日至2012年09月30日,,              7055026,,             13661273,             -6606247,             -6606247,,,                151957,,                418551,,              1771589,              2342097,             -8948344,,,                 73607,,                119397,,                428780,,               -897765,             -1133541,            -10081885,,,                  3935,            -10085820,,,            -10085820,,,,,,,                 -9669,            -10095489,,            -10090635,                  4815,,            -10100304,                  4815,,,,                             -0.64,,,,,,                 -2883,                 -6786,                              0,,,,,
2408,2012年04月01日至2012年06月30日,,             10319604,,             13567785,             -3248181,             -3248181,,,                177695,,                455038,,              1580051,              2212784,             -5460965,,,                 73366,,                128493,,                412952,,               -999095,             -1210188,             -6671153,,,                  4212,             -6675365,,,             -6675365,,,,,,,                -38490,             -6713855,,             -6681287,                  5922,,             -6719777,                  5922,,,,                             -0.45,,,,,,                  1119,                -39609,                              0,,,,,
2408,2012年01月01日至2012年12月31日,,             33882225,,             56169152,            -22286927,            -22286927,,,                749171,,              1326939,,              6192264,              8268374,            -30555301,,,                299457,,                500829,,              1652535,,             -4558789,             -5411038,            -35966339,,,                 53230,            -36019569,,,            -36019569,,,,,,,                -87349,            -36106918,,            -36032942,                 13373,,            -36120291,                 13373,,,,                             -2.24,,,,,,                -16439,                -70910,                              0,,,,,
2408,2012年01月01日至2012年09月30日,,             26321654,,             42068123,            -15746469,            -15746469,,,                494414,,              1350423,,              5443891,              7288728,            -23035197,,,                225228,,                435206,,              1242483,,             -3514196,             -4096245,            -27131442,,,                  9579,            -27141021,,,            -27141021,,,,,,,                -46125,            -27187146,,            -27153748,                 12727,,            -27199873,                 12727,,,,                             -1.79,,,,,,                 -8316,                -37809,                              0,,,,,
2408,2012年01月01日至2012年06月30日,,             19266628,,             28489261,             -9222633,             -9222633,,,                342457,,                872592,,              3649171,              4864220,            -14086853,,,                151621,,                315809,,                813703,,             -2616431,             -2962704,            -17049557,,,                  5644,            -17055201,,,            -17055201,,,,,,,                -36456,            -17091657,,            -17063113,                  7912,,            -17099569,                  7912,,,,                             -1.15,,,,,,                 -5433,                -31023,                              0,,,,,
2408,2012年01月01日至2012年03月31日,,              8947024,,             14921476,             -5974452,             -5974452,,,                164762,,                417553,,              2069121,              2651436,             -8625888,,,                 78255,,                187316,,                400751,,             -1617336,             -1752516,            -10378404,,,                  1432,            -10379836,,,            -10379836,,,,,,,                  2034,            -10377802,,            -10381826,                  1990,,            -10379792,                  1990,,,,                             -0.70,,,,,,                 -6552,                  8586,                              0,,,,,                 78255
