"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"6155","鈞寶","315.31","27.64","10.76","8.88","7.87"
"6164","華興電子","854.36","26.18","6.70","6.02","4.30"
"6165","捷泰精密","144.19","16.29","-31.82","-29.21","-29.33"
"6166","凌華科技","4577.88","42.20","10.70","10.11","7.75"
"6168","宏齊科技","2126.89","3.68","-5.26","-7.55","-8.42"
"6172","互億科技","139.93","4.72","-2.55","-2.58","-3.33"
"6176","瑞儀光電","18768.57","9.55","1.65","2.96","2.19"
"6177","達麗","1849.79","21.07","14.68","13.65","12.67"
"6183","關貿","606.11","44.21","23.81","24.53","20.51"
"6184","大豐電","821.83","55.24","32.55","37.65","30.94"
"6189","豐藝電子","8529.74","8.88","3.87","3.55","2.89"
"6191","精成科技","11285.70","7.39","-1.91","-0.73","-1.32"
"6192","巨路國際","2450.16","27.02","11.14","11.32","8.53"
"6196","帆宣科技","8302.08","10.03","1.87","1.50","1.12"
"6197","佳必琪","2465.02","20.21","5.66","4.84","3.97"
"6201","亞弘電","1624.96","20.85","6.73","7.39","5.80"
"6202","盛群","1914.40","48.42","21.49","23.57","20.05"
"6205","詮欣","1114.26","25.12","7.95","9.69","7.61"
"6206","飛捷","2576.19","33.74","21.22","20.75","17.87"
"6209","今國光學","1969.83","6.27","-3.43","-2.17","-1.87"
"6213","聯茂","8894.59","11.05","4.50","3.99","2.14"
"6214","精誠資訊","7709.90","26.15","2.48","5.40","4.33"
"6215","和椿科技","930.25","24.07","1.27","1.25","0.10"
"6216","居易","612.29","46.31","24.16","21.61","18.37"
"6224","聚鼎","826.75","54.63","33.65","34.67","28.15"
"6225","天瀚","56.32","44.51","-39.64","-43.38","-68.49"
"6226","光鼎電子","590.85","24.24","-6.33","-10.03","-8.67"
"6230","超眾","2748.63","22.85","11.12","12.67","8.49"
"6235","華孚科技","793.43","14.25","-0.26","0.74","0.74"
"6239","力成","19674.11","18.24","12.75","12.51","11.26"
"6243","迅杰","205.69","24.33","-45.16","-48.19","-48.19"
"6251","定穎電子","5128.39","12.10","-2.64","-2.82","-2.82"
"6257","矽格","2456.36","27.58","17.83","18.40","15.01"
"6269","台郡科技","8221.48","28.22","20.20","18.60","13.03"
"6271","同欣電子","3739.60","23.15","13.84","13.82","10.53"
"6277","宏正科","2352.96","59.07","18.23","18.57","14.35"
"6278","台表科","14339.59","8.25","3.01","3.72","3.12"
"6281","全國電","8674.14","19.92","3.59","3.84","3.19"
"6282","康舒","10181.57","14.78","2.11","2.66","2.12"
"6283","淳安電子","452.35","12.43","-6.46","4.70","4.60"
"6285","啟碁科技","24100.05","13.21","4.30","4.53","3.56"
"6286","立錡","6291.88","36.59","13.84","14.38","11.74"
"6289","華上光電","58.19","-240.29","-323.41","-185.03","-185.03"
"6405","悅城科技","627.97","20.14","10.65","10.89","3.53"
"6409","旭隼","3950.77","29.25","20.72","19.72","15.83"
"6412","群光電能","12261.51","14.66","3.57","4.18","3.51"
